"Year","Units","data.wastemanagement","Value"
"2012","data.percent","data.recycling",13.7
"2012","data.tonnes","",43866
"2012","data.tonnes","data.incineration",30638
"2012","data.tonnes","data.landfill",6222
"2012","data.tonnes","data.recycling",6008
"2012","data.tonnes","data.extraordinarypolluting",998
"2013","data.percent","data.recycling",15.6
"2013","data.tonnes","",45300
"2013","data.tonnes","data.incineration",30490
"2013","data.tonnes","data.landfill",6993
"2013","data.tonnes","data.recycling",7084
"2013","data.tonnes","data.extraordinarypolluting",733
"2014","data.percent","data.recycling",15.4
"2014","data.tonnes","",51079
"2014","data.tonnes","data.incineration",33396
"2014","data.tonnes","data.landfill",8487
"2014","data.tonnes","data.recycling",7869
"2014","data.tonnes","data.extraordinarypolluting",1327
"2015","data.percent","data.recycling",18.8
"2015","data.tonnes","",49902
"2015","data.tonnes","data.incineration",33282
"2015","data.tonnes","data.landfill",6237
"2015","data.tonnes","data.recycling",9385
"2015","data.tonnes","data.extraordinarypolluting",998
"2016","data.percent","data.recycling",16.3
"2016","data.tonnes","",51885
"2016","data.tonnes","data.incineration",33677
"2016","data.tonnes","data.landfill",8691
"2016","data.tonnes","data.recycling",8482
"2016","data.tonnes","data.extraordinarypolluting",1035
