"Year","Value"
"1990",0,809351761128308
"1991",0,789341161934247
"1992",0,778996793660876
"1993",0,668028353147834
"1994",0,692002948030635
"1995",0,680210629879544
"1996",0,700730334609207
"1997",0,696488147891962
"1998",0,741419128742622
"1999",0,772974556562638
"2000",0,812327109370251
"2001",0,989700717746344
"2002",0,941031300286704
"2003",0,946607194607037
"2004",0,950102390678433
"2005",0,949090377838692
"2006",0,936300376023365
"2007",0,963703821935912
"2008",0,896294685443783
"2009",0,927583949531908
"2010",1,00473292463915
"2011",0,886029770417756
"2012",0,978310111582887
"2013",0,955989122996107
"2014",0,994304512609283
"2015",0,973729203552016
"2016",0,982210753147299
"2017",1,15306808972292
"2018",1,27971565298528
"2019",1,35253060413846
"2020",1,40852944471562
