"Year","Series","data.frequencyofchlorophyll-aconcentration",,"data.nutrient""Value"
"2005","data.chlorophyll-adeviationsremotesensing","","",4.89118
"2006","data.chlorophyll-adeviationsremotesensing","","",3.70124
"2007","data.chlorophyll-adeviationsremotesensing","","",3.06608
"2008","data.chlorophyll-adeviationsremotesensing","","",5.38985
"2009","data.chlorophyll-adeviationsremotesensing","","",8.33331
"2010","data.chlorophyll-adeviationsremotesensing","","",10.04076
"2011","data.chlorophyll-adeviationsremotesensing","","",11.6396
"2012","data.chlorophyll-adeviationsremotesensing","","",3.69643
"2013","data.chlorophyll-adeviationsremotesensing","","",6.30942
"2014","data.chlorophyll-adeviationsremotesensing","","",7.05934
"2015","data.chlorophyll-adeviationsremotesensing","","",4.37811
"2016","data.chlorophyll-adeviationsremotesensing","","",2.52618
"2017","data.chlorophyll-adeviationsremotesensing","","",4.39161
"2018","data.chlorophyll-aanomalyremotesensing","data.highfrequency","",11.00894
"2018","data.chlorophyll-aanomalyremotesensing","data.moderatefrequency","",9.49894
"2018","data.chlorophyll-aanomalyremotesensing","data.extremefrequency","",1.52241
"2018","data.chlorophyll-adeviationsremotesensing","","",3.87649
"2019","data.chlorophyll-aanomalyremotesensing","data.highfrequency","",14.42117
"2019","data.chlorophyll-aanomalyremotesensing","data.moderatefrequency","",12.39925
"2019","data.chlorophyll-aanomalyremotesensing","data.extremefrequency","",2.40385
"2019","data.chlorophyll-adeviationsremotesensing","","",6.09887
"2020","data.chlorophyll-aanomalyremotesensing","data.highfrequency","",10.86211
"2020","data.chlorophyll-aanomalyremotesensing","data.moderatefrequency","",7.9429
"2020","data.chlorophyll-aanomalyremotesensing","data.extremefrequency","",2.97794
"2020","data.chlorophyll-adeviationsremotesensing","","",6.08639
"2021","data.chlorophyll-aanomalyremotesensing","data.highfrequency","",11.39691
"2021","data.chlorophyll-aanomalyremotesensing","data.moderatefrequency","",10.4769
"2021","data.chlorophyll-aanomalyremotesensing","data.extremefrequency","",2.17138
"2021","data.chlorophyll-adeviationsremotesensing","","",3.59289
"2022","data.chlorophyll-aanomalyremotesensing","data.highfrequency","",11.56152
"2022","data.chlorophyll-aanomalyremotesensing","data.moderatefrequency","",10.10695
"2022","data.chlorophyll-aanomalyremotesensing","data.extremefrequency","",2.41868
"2022","data.chlorophyll-adeviationsremotesensing","","",5.8465
"1996","data.skopunnutrients","","data.nitrogen",-0.197566104175421
"1996","data.skopunnutrients","","data.silica",22.9182946896709
"1996","data.skopunnutrients","","data.phosphate",
"1997","data.skopunnutrients","","data.nitrogen",-8.7286874793917
"1997","data.skopunnutrients","","data.silica",51.4038234364231
"1997","data.skopunnutrients","","data.phosphate",
"1998","data.skopunnutrients","","data.nitrogen",-5.10588252528154
"1998","data.skopunnutrients","","data.silica",-5.1863755943328
"1998","data.skopunnutrients","","data.phosphate",
"1999","data.skopunnutrients","","data.nitrogen",-0.197566104175421
"1999","data.skopunnutrients","","data.silica",
"1999","data.skopunnutrients","","data.phosphate",
"2000","data.skopunnutrients","","data.nitrogen",-0.836669804840281
"2000","data.skopunnutrients","","data.silica",9.75434967394894
"2000","data.skopunnutrients","","data.phosphate",
"2001","data.skopunnutrients","","data.nitrogen",2.61449017874997
"2001","data.skopunnutrients","","data.silica",13.0881195840666
"2001","data.skopunnutrients","","data.phosphate",
"2002","data.skopunnutrients","","data.nitrogen",1.26811174328442
"2002","data.skopunnutrients","","data.silica",3.46934609363656
"2002","data.skopunnutrients","","data.phosphate",
"2003","data.skopunnutrients","","data.nitrogen",-0.759977360760495
"2003","data.skopunnutrients","","data.silica",2.66736219650497
