"Year","Value"
""1998"",76.7331601644264
""1999"",80.9557256345669
""2000"",79.8896125400155
""2001"",83.1594293449964
""2002"",80.0241286357896
""2003"",77.4629052940099
""2004"",71.6994358009916
""2005"",71.51531507219
""2006"",77.1543280827573
""2007"",77.5774512455302
""2008"",69.4918913084541
""2009"",65.7111959810001
""2010"",68.2213803685147
""2011"",70.3656155553772
""2012"",70.2420415680084
""2013"",68.4550999055809
""2014"",71.7425373134328
""2015"",75.6335070952795
""2016"",74.999141689841
""2017"",75.1108941570983
""2018"",70.4650852115498
""2019"",71.3149112996354
""2020"",67.4489181687456
""2021"",70.8600386265361
