"Year","Units","data.importexport","data.countrygroup","Value"
"1988","percent","merchandiseimport","developed-leastdeveloped",1.7
"1988","dkkmill","merchandiseimport","developed-leastdeveloped",56.3
"1988","percent","merchandiseimport","developed-ex-china",1.6
"1988","dkkmill","merchandiseimport","developed-ex-china",51.7
"1988","percent","merchandiseimport","leastdeveloped",0.0
"1988","dkkmill","merchandiseimport","leastdeveloped",0.0
"1988","percent","merchandiseexport","developed-leastdeveloped",3.9
"1988","dkkmill","merchandiseexport","developed-leastdeveloped",92.3
"1988","percent","merchandiseexport","developed-ex-china",3.9
"1988","dkkmill","merchandiseexport","developed-ex-china",92.3
"1988","percent","merchandiseexport","leastdeveloped",0.0
"1988","dkkmill","merchandiseexport","leastdeveloped",0.0
"1989","percent","merchandiseimport","developed-leastdeveloped",1.8
"1989","dkkmill","merchandiseimport","developed-leastdeveloped",45.0
"1989","percent","merchandiseimport","developed-ex-china",1.6
"1989","dkkmill","merchandiseimport","developed-ex-china",41.4
"1989","percent","merchandiseimport","leastdeveloped",0.0
"1989","dkkmill","merchandiseimport","leastdeveloped",0.0
"1989","percent","merchandiseexport","developed-leastdeveloped",0.9
"1989","dkkmill","merchandiseexport","developed-leastdeveloped",23.1
"1989","percent","merchandiseexport","developed-ex-china",0.9
"1989","dkkmill","merchandiseexport","developed-ex-china",23.1
"1989","percent","merchandiseexport","leastdeveloped",0.0
"1989","dkkmill","merchandiseexport","leastdeveloped",0.0
"1990","percent","merchandiseimport","developed-leastdeveloped",1.6
"1990","dkkmill","merchandiseimport","developed-leastdeveloped",33.4
"1990","percent","merchandiseimport","developed-ex-china",1.4
"1990","dkkmill","merchandiseimport","developed-ex-china",29.8
"1990","percent","merchandiseimport","leastdeveloped",0.0
"1990","dkkmill","merchandiseimport","leastdeveloped",0.0
"1990","percent","merchandiseexport","developed-leastdeveloped",0.4
"1990","dkkmill","merchandiseexport","developed-leastdeveloped",9.7
"1990","percent","merchandiseexport","developed-ex-china",0.4
"1990","dkkmill","merchandiseexport","developed-ex-china",9.7
"1990","percent","merchandiseexport","leastdeveloped",0.0
"1990","dkkmill","merchandiseexport","leastdeveloped",0.0
"1991","percent","merchandiseimport","developed-leastdeveloped",1.7
"1991","dkkmill","merchandiseimport","developed-leastdeveloped",33.2
"1991","percent","merchandiseimport","developed-ex-china",1.5
"1991","dkkmill","merchandiseimport","developed-ex-china",28.8
"1991","percent","merchandiseimport","leastdeveloped",0.0
"1991","dkkmill","merchandiseimport","leastdeveloped",0.0
"1991","percent","merchandiseexport","developed-leastdeveloped",0.7
"1991","dkkmill","merchandiseexport","developed-leastdeveloped",18.7
"1991","percent","merchandiseexport","developed-ex-china",0.7
"1991","dkkmill","merchandiseexport","developed-ex-china",18.7
"1991","percent","merchandiseexport","leastdeveloped",0.0
"1991","dkkmill","merchandiseexport","leastdeveloped",0.0
"1992","percent","merchandiseimport","developed-leastdeveloped",2.9
"1992","dkkmill","merchandiseimport","developed-leastdeveloped",57.2
"1992","percent","merchandiseimport","developed-ex-china",2.4
"1992","dkkmill","merchandiseimport","developed-ex-china",48.3
"1992","percent","merchandiseimport","leastdeveloped",0.0
"1992","dkkmill","merchandiseimport","leastdeveloped",0.0
"1992","percent","merchandiseexport","developed-leastdeveloped",0.9
"1992","dkkmill","merchandiseexport","developed-leastdeveloped",22.7
"1992","percent","merchandiseexport","developed-ex-china",0.9
"1992","dkkmill","merchandiseexport","developed-ex-china",22.7
"1992","percent","merchandiseexport","leastdeveloped",0.0
"1992","dkkmill","merchandiseexport","leastdeveloped",0.0
"1993","percent","merchandiseimport","developed-leastdeveloped",3.2
"1993","dkkmill","merchandiseimport","developed-leastdeveloped",45.6
"1993","percent","merchandiseimport","developed-ex-china",2.4
"1993","dkkmill","merchandiseimport","developed-ex-china",34.9
"1993","percent","merchandiseimport","leastdeveloped",0.0
"1993","dkkmill","merchandiseimport","leastdeveloped",0.0
"1993","percent","merchandiseexport","developed-leastdeveloped",1.8
"1993","dkkmill","merchandiseexport","developed-leastdeveloped",37.8
"1993","percent","merchandiseexport","developed-ex-china",1.8
"1993","dkkmill","merchandiseexport","developed-ex-china",37.8
"1993","percent","merchandiseexport","leastdeveloped",0.0
"1993","dkkmill","merchandiseexport","leastdeveloped",0.0
"1994","percent","merchandiseimport","developed-leastdeveloped",4.2
"1994","dkkmill","merchandiseimport","developed-leastdeveloped",65.9
"1994","percent","merchandiseimport","developed-ex-china",3.1
"1994","dkkmill","merchandiseimport","developed-ex-china",48.8
"1994","percent","merchandiseimport","leastdeveloped",0.0
"1994","dkkmill","merchandiseimport","leastdeveloped",0.0
"1994","percent","merchandiseexport","developed-leastdeveloped",0.4
"1994","dkkmill","merchandiseexport","developed-leastdeveloped",7.4
"1994","percent","merchandiseexport","developed-ex-china",0.4
"1994","dkkmill","merchandiseexport","developed-ex-china",7.4
"1994","percent","merchandiseexport","leastdeveloped",0.0
"1994","dkkmill","merchandiseexport","leastdeveloped",0.0
"1995","percent","merchandiseimport","developed-leastdeveloped",3.8
"1995","dkkmill","merchandiseimport","developed-leastdeveloped",68.4
"1995","percent","merchandiseimport","developed-ex-china",2.5
"1995","dkkmill","merchandiseimport","developed-ex-china",45.3
"1995","percent","merchandiseimport","leastdeveloped",0.0
"1995","dkkmill","merchandiseimport","leastdeveloped",0.0
"1995","percent","merchandiseexport","developed-leastdeveloped",0.5
"1995","dkkmill","merchandiseexport","developed-leastdeveloped",10.5
"1995","percent","merchandiseexport","developed-ex-china",0.5
"1995","dkkmill","merchandiseexport","developed-ex-china",10.5
"1995","percent","merchandiseexport","leastdeveloped",0.0
"1995","dkkmill","merchandiseexport","leastdeveloped",0.0
