"Year","data.sex","Value"
"1985","",0.0439439714364186
"1985","data.male",0.0841184387617766
"1985","data.female",0
"1986","",0.0652741514360313
"1986","data.male",0.0832379565081677
"1986","data.female",0.0455944374786276
"1987","",0.0214762794493482
"1987","data.male",0.0410728221136074
"1987","data.female",0
"1988","",0.0211729832733432
"1988","data.male",0.0405005872585152
"1988","data.female",0
"1989","",0.0629273818014012
"1989","data.male",0.080327737167644
"1989","data.female",0.043905865823674
"1990","",0
"1990","data.male",0
"1990","data.female",0
"1991","",0
"1991","data.male",0
"1991","data.female",0
"1992","",0.0851661805097196
"1992","data.male",0.122930667103753
"1992","data.female",0.0443203474715242
"1993","",0.0217412572969095
"1993","data.male",0.0419137833476539
"1993","data.female",0
"1994","",0
"1994","data.male",0
"1994","data.female",0
"1995","",0.0229985510912812
"1995","data.male",0.0444919024737498
"1995","data.female",0
"1996","",0
"1996","data.male",0
"1996","data.female",0
"1997","",0
"1997","data.male",0
"1997","data.female",0
"1998","",0
"1998","data.male",0
"1998","data.female",0
"1999","",0.0221970655479346
"1999","data.male",0.0429212181041698
"1999","data.female",0
"2000","",0
"2000","data.male",0
"2000","data.female",0
"2001","",0
"2001","data.male",0
"2001","data.female",0
"2002","",0.0211445547485384
"2002","data.male",0.0407930162356205
"2002","data.female",0
"2003","",0.0417562686598326
"2003","data.male",0
"2003","data.female",0.0867773077340275
"2004","",0
"2004","data.male",0
"2004","data.female",0
"2005","",0
"2005","data.male",0
"2005","data.female",0
"2006","",0
"2006","data.male",0
"2006","data.female",0
"2007","",0
"2007","data.male",0
"2007","data.female",0
"2008","",0
"2008","data.male",0
"2008","data.female",0
"2009","",0
"2009","data.male",0
"2009","data.female",0
"2010","",0.0206362144928134
"2010","data.male",0
"2010","data.female",0.042932274337233
"2011","",0
"2011","data.male",0
"2011","data.female",0
"2012","",0
"2012","data.male",0
"2012","data.female",0
"2013","",0
"2013","data.male",0
"2013","data.female",0
"2014","",0
"2014","data.male",0
"2014","data.female",0
"2015","",0.0204735532875408
"2015","data.male",0.0396361402326641
"2015","data.female",0
"2016","",0
"2016","data.male",0
"2016","data.female",0
"2017","",0
"2017","data.male",0
"2017","data.female",0
"2018","",0
"2018","data.male",0
"2018","data.female",0
"2019","",0
"2019","data.male",0
"2019","data.female",0
"2020","",0.0381141136562869
"2020","data.male",0.0368398754812209
"2020","data.female",0.0394796581061608
"2021","",0
"2021","data.male",0
"2021","data.female",0
