"Year","Units","material type","Value"
"1998","data.domesticmaterialconsumption","",886.67
"1998","data.domesticmaterialconsumption","data.biomass",357.44
"1998","data.domesticmaterialconsumption","data.metallicminerals",2.65
"1998","data.domesticmaterialconsumption","data.non-metallicminerals",287.80
"1998","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",238.78
"1998","data.domesticmaterialconsumptionpercapita","",19.93
"1998","data.domesticmaterialconsumptionpercapita","data.biomass",8.03
"1998","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.06
"1998","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",6.47
"1998","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",5.37
"1998","data.domesticmaterialconsumptionperunitofgdp","",
"1998","data.domesticmaterialconsumptionperunitofgdp","data.biomass",
"1998","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",
"1998","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",
"1998","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",
"1998","","",
"1998","","data.biomass",
"1998","","data.metallicminerals",
"1998","","data.non-metallicminerals",
"1998","","data.fossilenergyandotherproducts",
"1999","data.domesticmaterialconsumption","",933.86
"1999","data.domesticmaterialconsumption","data.biomass",364.67
"1999","data.domesticmaterialconsumption","data.metallicminerals",3.85
"1999","data.domesticmaterialconsumption","data.non-metallicminerals",311.04
"1999","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",254.30
"1999","data.domesticmaterialconsumptionpercapita","",20.73
"1999","data.domesticmaterialconsumptionpercapita","data.biomass",8.09
"1999","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.09
"1999","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",6.90
"1999","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",5.64
"1999","data.domesticmaterialconsumptionperunitofgdp","",118.71
"1999","data.domesticmaterialconsumptionperunitofgdp","data.biomass",46.35
"1999","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",0.49
"1999","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",39.54
"1999","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",32.33
"1999","","",
"1999","","data.biomass",
"1999","","data.metallicminerals",
"1999","","data.non-metallicminerals",
"1999","","data.fossilenergyandotherproducts",
"2000","data.domesticmaterialconsumption","",1161.35
"2000","data.domesticmaterialconsumption","data.biomass",430.54
"2000","data.domesticmaterialconsumption","data.metallicminerals",5.53
"2000","data.domesticmaterialconsumption","data.non-metallicminerals",497.37
"2000","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",227.91
"2000","data.domesticmaterialconsumptionpercapita","",25.39
"2000","data.domesticmaterialconsumptionpercapita","data.biomass",9.41
"2000","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.12
"2000","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",10.88
