"Year","data.age","data.sex","Value"
"2011","data.15-24years","",4.4
"2011","data.15-24years","data.male",4.2
"2011","data.15-24years","data.female",4.7
"2011","data.15-19years","",3.0
"2011","data.15-19years","data.male",3.2
"2011","data.15-19years","data.female",2.8
"2011","data.20-24years","",6.1
"2011","data.20-24years","data.male",5.3
"2011","data.20-24years","data.female",7.2
"2017","data.15-24years","",2.3
"2018","data.15-24years","",5.2
"2019","data.15-24years","",9.9
"2020","data.15-24years","",7.4
"2021","data.15-24years","",4.4
