"Year","Units","data.outcome","data.sex","Value"
"2009","data.persons","data.lethal","",1
"2009","data.persons","data.lethal","data.male",1
"2009","data.persons","data.lethal","data.female",-
"2009","data.persons","data.non-lethal","",140
"2009","data.persons","data.non-lethal","data.male",72
"2009","data.persons","data.non-lethal","data.female",68
"2009","data.pr.100.000","data.lethal","",3.6
"2009","data.pr.100.000","data.lethal","data.male",6.7
"2009","data.pr.100.000","data.lethal","data.female",-
"2009","data.pr.100.000","data.non-lethal","",510.6
"2009","data.pr.100.000","data.non-lethal","data.male",485.4
"2009","data.pr.100.000","data.non-lethal","data.female",540.3
"2010","data.persons","data.lethal","",-
"2010","data.persons","data.lethal","data.male",-
"2010","data.persons","data.lethal","data.female",-
"2010","data.persons","data.non-lethal","",83
"2010","data.persons","data.non-lethal","data.male",41
"2010","data.persons","data.non-lethal","data.female",42
"2010","data.pr.100.000","data.lethal","",-
"2010","data.pr.100.000","data.lethal","data.male",-
"2010","data.pr.100.000","data.lethal","data.female",-
"2010","data.pr.100.000","data.non-lethal","",314.5
"2010","data.pr.100.000","data.non-lethal","data.male",276.3
"2010","data.pr.100.000","data.non-lethal","data.female",363.7
"2011","data.persons","data.lethal","",-
"2011","data.persons","data.lethal","data.male",-
"2011","data.persons","data.lethal","data.female",-
"2011","data.persons","data.non-lethal","",127
"2011","data.persons","data.non-lethal","data.male",65
"2011","data.persons","data.non-lethal","data.female",62
"2011","data.pr.100.000","data.lethal","",-
"2011","data.pr.100.000","data.lethal","data.male",-
"2011","data.pr.100.000","data.lethal","data.female",-
"2011","data.pr.100.000","data.non-lethal","",497.5
"2011","data.pr.100.000","data.non-lethal","data.male",469.4
"2011","data.pr.100.000","data.non-lethal","data.female",530.7
"2012","data.persons","data.lethal","",1
"2012","data.persons","data.lethal","data.male",1
"2012","data.persons","data.lethal","data.female",-
"2012","data.persons","data.non-lethal","",126
"2012","data.persons","data.non-lethal","data.male",69
"2012","data.persons","data.non-lethal","data.female",57
"2012","data.pr.100.000","data.lethal","",3.6
"2012","data.pr.100.000","data.lethal","data.male",6.7
"2012","data.pr.100.000","data.lethal","data.female",-
"2012","data.pr.100.000","data.non-lethal","",453.4
"2012","data.pr.100.000","data.non-lethal","data.male",464.1
"2012","data.pr.100.000","data.non-lethal","data.female",441.2
"2013","data.persons","data.lethal","",1
"2013","data.persons","data.lethal","data.male",1
"2013","data.persons","data.lethal","data.female",-
"2013","data.persons","data.non-lethal","",144
"2013","data.persons","data.non-lethal","data.male",68
"2013","data.persons","data.non-lethal","data.female",76
"2013","data.pr.100.000","data.lethal","",3.6
"2013","data.pr.100.000","data.lethal","data.male",6.6
"2013","data.pr.100.000","data.lethal","data.female",-
"2013","data.pr.100.000","data.non-lethal","",525.5
"2013","data.pr.100.000","data.non-lethal","data.male",450.1
"2013","data.pr.100.000","data.non-lethal","data.female",618.1
"2014","data.persons","data.lethal","",1
"2014","data.persons","data.lethal","data.male",1
"2014","data.persons","data.lethal","data.female",-
"2014","data.persons","data.non-lethal","",167
"2014","data.persons","data.non-lethal","data.male",76
"2014","data.persons","data.non-lethal","data.female",91
"2014","data.pr.100.000","data.lethal","",3.6
"2014","data.pr.100.000","data.lethal","data.male",6.6
"2014","data.pr.100.000","data.lethal","data.female",-
"2014","data.pr.100.000","data.non-lethal","",600.8
"2014","data.pr.100.000","data.non-lethal","data.male",498.3
"2014","data.pr.100.000","data.non-lethal","data.female",725.4
"2015","data.persons","data.lethal","",-
"2015","data.persons","data.lethal","data.male",-
"2015","data.persons","data.lethal","data.female",-
"2015","data.persons","data.non-lethal","",188
"2015","data.persons","data.non-lethal","data.male",114
"2015","data.persons","data.non-lethal","data.female",74
"2015","data.pr.100.000","data.lethal","",-
"2015","data.pr.100.000","data.lethal","data.male",-
"2015","data.pr.100.000","data.lethal","data.female",-
"2015","data.pr.100.000","data.non-lethal","",658.2
"2015","data.pr.100.000","data.non-lethal","data.male",737.0
"2015","data.pr.100.000","data.non-lethal","data.female",565.1
"2016","data.persons","data.lethal","",2
"2016","data.persons","data.lethal","data.male",2
"2016","data.persons","data.lethal","data.female",-
"2016","data.persons","data.non-lethal","",184
"2016","data.persons","data.non-lethal","data.male",108
"2016","data.persons","data.non-lethal","data.female",76
"2016","data.pr.100.000","data.lethal","",7.0
"2016","data.pr.100.000","data.lethal","data.male",13.0
"2016","data.pr.100.000","data.lethal","data.female",-
"2016","data.pr.100.000","data.non-lethal","",643.9
"2016","data.pr.100.000","data.non-lethal","data.male",701.7
"2016","data.pr.100.000","data.non-lethal","data.female",576.4
"2017","data.persons","data.lethal","",-
"2017","data.persons","data.lethal","data.male",-
"2017","data.persons","data.lethal","data.female",-
"2017","data.persons","data.non-lethal","",178
"2017","data.persons","data.non-lethal","data.male",122
"2017","data.persons","data.non-lethal","data.female",56
"2017","data.pr.100.000","data.lethal","",-
"2017","data.pr.100.000","data.lethal","data.male",-
