"year","data.measure","Value"
"1998","data.manufacturingvalueaddedasaproportionofgdp",10.1003687843625
"1998","data.manufacturingvalueaddedpercapita",16803.9464664966
"1999","data.manufacturingvalueaddedasaproportionofgdp",10.8414897673827
"1999","data.manufacturingvalueaddedpercapita",18931.0367789048
"2000","data.manufacturingvalueaddedasaproportionofgdp",10.5302819514005
"2000","data.manufacturingvalueaddedpercapita",19859.194962503
"2001","data.manufacturingvalueaddedasaproportionofgdp",11.2595400084915
"2001","data.manufacturingvalueaddedpercapita",23363.7027805234
"2002","data.manufacturingvalueaddedasaproportionofgdp",11.2700541399692
"2002","data.manufacturingvalueaddedpercapita",23985.7079430855
"2003","data.manufacturingvalueaddedasaproportionofgdp",10.5474869369233
"2003","data.manufacturingvalueaddedpercapita",21785.9193152758
"2004","data.manufacturingvalueaddedasaproportionofgdp",9.60883366236984
"2004","data.manufacturingvalueaddedpercapita",20587.8388886009
"2005","data.manufacturingvalueaddedasaproportionofgdp",9.16042831422344
"2005","data.manufacturingvalueaddedpercapita",20050.1928900319
"2006","data.manufacturingvalueaddedasaproportionofgdp",8.93346779234417
"2006","data.manufacturingvalueaddedpercapita",22240.2041642028
"2007","data.manufacturingvalueaddedasaproportionofgdp",8.94297449913217
"2007","data.manufacturingvalueaddedpercapita",23580.6955963512
"2008","data.manufacturingvalueaddedasaproportionofgdp",8.8721176646683
"2008","data.manufacturingvalueaddedpercapita",23238.8262968924
"2009","data.manufacturingvalueaddedasaproportionofgdp",8.61490466248
"2009","data.manufacturingvalueaddedpercapita",21839.8261711308
"2010","data.manufacturingvalueaddedasaproportionofgdp",8.19798386481829
"2010","data.manufacturingvalueaddedpercapita",22180.5015421751
"2011","data.manufacturingvalueaddedasaproportionofgdp",7.97689665938183
"2011","data.manufacturingvalueaddedpercapita",22205.6678151287
"2012","data.manufacturingvalueaddedasaproportionofgdp",8.27483196415235
"2012","data.manufacturingvalueaddedpercapita",24170.5274967278
"2013","data.manufacturingvalueaddedasaproportionofgdp",7.70228679220306
"2013","data.manufacturingvalueaddedpercapita",24183.040492098
"2014","data.manufacturingvalueaddedasaproportionofgdp",9.08479467801502
"2014","data.manufacturingvalueaddedpercapita",30701.2015579961
"2015","data.manufacturingvalueaddedasaproportionofgdp",9.32147600623665
"2015","data.manufacturingvalueaddedpercapita",33024.0693951452
"2016","data.manufacturingvalueaddedasaproportionofgdp",8.27850587701049
"2016","data.manufacturingvalueaddedpercapita",31690.6532988357
"2017","data.manufacturingvalueaddedasaproportionofgdp",9.23514763429385
"2017","data.manufacturingvalueaddedpercapita",36238.54583163
"2018","data.manufacturingvalueaddedasaproportionofgdp",8.99388124043944
"2018","data.manufacturingvalueaddedpercapita",35586.3424220093
"2019","data.manufacturingvalueaddedasaproportionofgdp",10.3419233762073
"2019","data.manufacturingvalueaddedpercapita",43703.8183295292
"2020","data.manufacturingvalueaddedasaproportionofgdp",10.7357445667261
"2020","data.manufacturingvalueaddedpercapita",43461.3662987267
"2021","data.manufacturingvalueaddedasaproportionofgdp",10.6509726676893
"2021","data.manufacturingvalueaddedpercapita",45877.4835990952
