Year,Sex,date.age,Geography,GeoCode,Value
2009,,,,,4.0
2009,,,Eysturoyar region,R4200,3.5
2009,,,Norðoya region,R4100,5.5
2009,,,Sandoyar region,R4500,6.7
2009,,,"Streymoyar region, north",R4300,4.2
2009,,,"Streymoyar region, south",R4700,2.9
2009,,,Suðuroyar region,R4600,6.9
2009,,,Vága region,R4400,4.4
2009,,00-17 years,,,5.1
2009,,00-17 years,Eysturoyar region,R4200,3.6
2009,,00-17 years,Norðoya region,R4100,9.1
2009,,00-17 years,Sandoyar region,R4500,8
2009,,00-17 years,"Streymoyar region, north",R4300,6.6
2009,,00-17 years,"Streymoyar region, south",R4700,2.9
2009,,00-17 years,Suðuroyar region,R4600,11
2009,,00-17 years,Vága region,R4400,5.7
2009,,18-24 years,,,3.8
2009,,18-24 years,Eysturoyar region,R4200,3.6
2009,,18-24 years,Norðoya region,R4100,5.1
2009,,18-24 years,Sandoyar region,R4500,5.4
2009,,18-24 years,"Streymoyar region, north",R4300,3.1
2009,,18-24 years,"Streymoyar region, south",R4700,3
2009,,18-24 years,Suðuroyar region,R4600,5.5
2009,,18-24 years,Vága region,R4400,4.9
2009,,25-54 years,,,3.5
2009,,25-54 years,Eysturoyar region,R4200,2.8
2009,,25-54 years,Norðoya region,R4100,4.8
2009,,25-54 years,Sandoyar region,R4500,6
2009,,25-54 years,"Streymoyar region, north",R4300,2.9
2009,,25-54 years,"Streymoyar region, south",R4700,2.7
2009,,25-54 years,Suðuroyar region,R4600,6.9
2009,,25-54 years,Vága region,R4400,3.8
2009,,55-66 years,,,4.1
2009,,55-66 years,Eysturoyar region,R4200,4.1
2009,,55-66 years,Norðoya region,R4100,3.6
2009,,55-66 years,Sandoyar region,R4500,10.3
2009,,55-66 years,"Streymoyar region, north",R4300,3.8
2009,,55-66 years,"Streymoyar region, south",R4700,3.2
2009,,55-66 years,Suðuroyar region,R4600,5.1
2009,,55-66 years,Vága region,R4400,4.9
2009,,67+ years,,,3.5
2009,,67+ years,Eysturoyar region,R4200,4.6
2009,,67+ years,Norðoya region,R4100,2.7
2009,,67+ years,Sandoyar region,R4500,3.5
2009,,67+ years,"Streymoyar region, north",R4300,4.7
2009,,67+ years,"Streymoyar region, south",R4700,2.9
2009,,67+ years,Suðuroyar region,R4600,3.4
2009,,67+ years,Vága region,R4400,2.8
2009,Females,,,,4.2
2009,Females,,Eysturoyar region,R4200,3.5
2009,Females,,Norðoya region,R4100,5.7
2009,Females,,Sandoyar region,R4500,6.6
2009,Females,,"Streymoyar region, north",R4300,4.8
2009,Females,,"Streymoyar region, south",R4700,3
2009,Females,,Suðuroyar region,R4600,8
2009,Females,,Vága region,R4400,4.1
2009,Females,00-17 years,,,5.3
2009,Females,00-17 years,Eysturoyar region,R4200,3.3
2009,Females,00-17 years,Norðoya region,R4100,8.7
2009,Females,00-17 years,Sandoyar region,R4500,8.9
2009,Females,00-17 years,"Streymoyar region, north",R4300,7.9
2009,Females,00-17 years,"Streymoyar region, south",R4700,3.1
2009,Females,00-17 years,Suðuroyar region,R4600,12.5
2009,Females,00-17 years,Vága region,R4400,5.5
2009,Females,18-24 years,,,4.8
2009,Females,18-24 years,Eysturoyar region,R4200,4.3
2009,Females,18-24 years,Norðoya region,R4100,6.4
2009,Females,18-24 years,Sandoyar region,R4500,8.3
2009,Females,18-24 years,"Streymoyar region, north",R4300,5.5
2009,Females,18-24 years,"Streymoyar region, south",R4700,3.6
2009,Females,18-24 years,Suðuroyar region,R4600,7.5
2009,Females,18-24 years,Vága region,R4400,5.2
2009,Females,25-54 years,,,4
2009,Females,25-54 years,Eysturoyar region,R4200,3.1
2009,Females,25-54 years,Norðoya region,R4100,5.8
2009,Females,25-54 years,Sandoyar region,R4500,5.8
2009,Females,25-54 years,"Streymoyar region, north",R4300,3.5
2009,Females,25-54 years,"Streymoyar region, south",R4700,3
2009,Females,25-54 years,Suðuroyar region,R4600,7.8
2009,Females,25-54 years,Vága region,R4400,4.3
2009,Females,55-66 years,,,3.4
2009,Females,55-66 years,Eysturoyar region,R4200,3.8
2009,Females,55-66 years,Norðoya region,R4100,2.5
2009,Females,55-66 years,Sandoyar region,R4500,6.1
2009,Females,55-66 years,"Streymoyar region, north",R4300,2.5
2009,Females,55-66 years,"Streymoyar region, south",R4700,2.7
2009,Females,55-66 years,Suðuroyar region,R4600,5.7
2009,Females,55-66 years,Vága region,R4400,2.8
2009,Females,67+ years,,,3.4
2009,Females,67+ years,Eysturoyar region,R4200,4.4
2009,Females,67+ years,Norðoya region,R4100,2.2
2009,Females,67+ years,Sandoyar region,R4500,4.8
2009,Females,67+ years,"Streymoyar region, north",R4300,4.1
2009,Females,67+ years,"Streymoyar region, south",R4700,2.8
2009,Females,67+ years,Suðuroyar region,R4600,4.4
2009,Females,67+ years,Vága region,R4400,1.9
2009,Males,,,,3.9
2009,Males,,Eysturoyar region,R4200,3.5
2009,Males,,Norðoya region,R4100,5.3
2009,Males,,Sandoyar region,R4500,6.9
2009,Males,,"Streymoyar region, north",R4300,3.8
2009,Males,,"Streymoyar region, south",R4700,2.7
2009,Males,,Suðuroyar region,R4600,5.9
2009,Males,,Vága region,R4400,4.6
2009,Males,00-17 years,,,4.9
2009,Males,00-17 years,Eysturoyar region,R4200,3.9
2009,Males,00-17 years,Norðoya region,R4100,9.4
2009,Males,00-17 years,Sandoyar region,R4500,7.2
2009,Males,00-17 years,"Streymoyar region, north",R4300,5.5
2009,Males,00-17 years,"Streymoyar region, south",R4700,2.7
2009,Males,00-17 years,Suðuroyar region,R4600,9.7
2009,Males,00-17 years,Vága region,R4400,5.8
2009,Males,18-24 years,,,3
2009,Males,18-24 years,Eysturoyar region,R4200,3
2009,Males,18-24 years,Norðoya region,R4100,4
2009,Males,18-24 years,Sandoyar region,R4500,4
2009,Males,18-24 years,"Streymoyar region, north",R4300,1.1
2009,Males,18-24 years,"Streymoyar region, south",R4700,2.5
2009,Males,18-24 years,Suðuroyar region,R4600,3.9
2009,Males,18-24 years,Vága region,R4400,4.6
2009,Males,25-54 years,,,3.2
2009,Males,25-54 years,Eysturoyar region,R4200,2.6
2009,Males,25-54 years,Norðoya region,R4100,4
2009,Males,25-54 years,Sandoyar region,R4500,6.2
2009,Males,25-54 years,"Streymoyar region, north",R4300,2.3
2009,Males,25-54 years,"Streymoyar region, south",R4700,2.4
2009,Males,25-54 years,Suðuroyar region,R4600,6.1
2009,Males,25-54 years,Vága region,R4400,3.4
2009,Males,55-66 years,,,4.7
2009,Males,55-66 years,Eysturoyar region,R4200,4.3
2009,Males,55-66 years,Norðoya region,R4100,4.4
2009,Males,55-66 years,Sandoyar region,R4500,13.6
2009,Males,55-66 years,"Streymoyar region, north",R4300,5
2009,Males,55-66 years,"Streymoyar region, south",R4700,3.7
2009,Males,55-66 years,Suðuroyar region,R4600,4.5
2009,Males,55-66 years,Vága region,R4400,6.9
2009,Males,67+ years,,,3.6
2009,Males,67+ years,Eysturoyar region,R4200,4.8
2009,Males,67+ years,Norðoya region,R4100,3.2
2009,Males,67+ years,Sandoyar region,R4500,2
2009,Males,67+ years,"Streymoyar region, north",R4300,5.2
2009,Males,67+ years,"Streymoyar region, south",R4700,3.1
2009,Males,67+ years,Suðuroyar region,R4600,2.2
2009,Males,67+ years,Vága region,R4400,3.7
2010,,,,,4.2
2010,,,Eysturoyar region,R4200,3.9
2010,,,Norðoya region,R4100,5
2010,,,Sandoyar region,R4500,4.4
2010,,,"Streymoyar region, north",R4300,3.6
2010,,,"Streymoyar region, south",R4700,3.9
2010,,,Suðuroyar region,R4600,5.6
2010,,,Vága region,R4400,3.1
2010,,00-17 years,,,5.1
2010,,00-17 years,Eysturoyar region,R4200,4.7
2010,,00-17 years,Norðoya region,R4100,7.7
2010,,00-17 years,Sandoyar region,R4500,6.4
2010,,00-17 years,"Streymoyar region, north",R4300,4.1
2010,,00-17 years,"Streymoyar region, south",R4700,4.2
2010,,00-17 years,Suðuroyar region,R4600,8.2
2010,,00-17 years,Vága region,R4400,3.8
2010,,18-24 years,,,4.4
2010,,18-24 years,Eysturoyar region,R4200,4.4
2010,,18-24 years,Norðoya region,R4100,4.4
2010,,18-24 years,Sandoyar region,R4500,-
2010,,18-24 years,"Streymoyar region, north",R4300,2.7
2010,,18-24 years,"Streymoyar region, south",R4700,5
2010,,18-24 years,Suðuroyar region,R4600,5.1
2010,,18-24 years,Vága region,R4400,3.2
2010,,25-54 years,,,3.9
2010,,25-54 years,Eysturoyar region,R4200,3.4
2010,,25-54 years,Norðoya region,R4100,4.7
2010,,25-54 years,Sandoyar region,R4500,4
2010,,25-54 years,"Streymoyar region, north",R4300,2.7
2010,,25-54 years,"Streymoyar region, south",R4700,3.8
2010,,25-54 years,Suðuroyar region,R4600,5.8
2010,,25-54 years,Vága region,R4400,2.7
2010,,55-66 years,,,3.8
2010,,55-66 years,Eysturoyar region,R4200,3.3
2010,,55-66 years,Norðoya region,R4100,3.2
2010,,55-66 years,Sandoyar region,R4500,5.2
2010,,55-66 years,"Streymoyar region, north",R4300,4.2
2010,,55-66 years,"Streymoyar region, south",R4700,3.9
2010,,55-66 years,Suðuroyar region,R4600,4.3
2010,,55-66 years,Vága region,R4400,3.8
2010,,67+ years,,,3.3
2010,,67+ years,Eysturoyar region,R4200,4
2010,,67+ years,Norðoya region,R4100,2.9
2010,,67+ years,Sandoyar region,R4500,3.6
2010,,67+ years,"Streymoyar region, north",R4300,4.7
2010,,67+ years,"Streymoyar region, south",R4700,2.8
2010,,67+ years,Suðuroyar region,R4600,3.2
2010,,67+ years,Vága region,R4400,2.5
2010,Females,,,,4.3
2010,Females,,Eysturoyar region,R4200,4
2010,Females,,Norðoya region,R4100,5.3
2010,Females,,Sandoyar region,R4500,3.6
2010,Females,,"Streymoyar region, north",R4300,3.5
2010,Females,,"Streymoyar region, south",R4700,4
2010,Females,,Suðuroyar region,R4600,6.6
2010,Females,,Vága region,R4400,3.2
2010,Females,00-17 years,,,5.5
2010,Females,00-17 years,Eysturoyar region,R4200,4.9
2010,Females,00-17 years,Norðoya region,R4100,8.1
2010,Females,00-17 years,Sandoyar region,R4500,5.7
2010,Females,00-17 years,"Streymoyar region, north",R4300,4
2010,Females,00-17 years,"Streymoyar region, south",R4700,4.3
2010,Females,00-17 years,Suðuroyar region,R4600,10
2010,Females,00-17 years,Vága region,R4400,5.1
2010,Females,18-24 years,,,5.7
2010,Females,18-24 years,Eysturoyar region,R4200,5.8
2010,Females,18-24 years,Norðoya region,R4100,5.6
2010,Females,18-24 years,Sandoyar region,R4500,-
2010,Females,18-24 years,"Streymoyar region, north",R4300,4.7
2010,Females,18-24 years,"Streymoyar region, south",R4700,6.5
2010,Females,18-24 years,Suðuroyar region,R4600,7.4
2010,Females,18-24 years,Vága region,R4400,1.5
2010,Females,25-54 years,,,4.1
2010,Females,25-54 years,Eysturoyar region,R4200,3.6
2010,Females,25-54 years,Norðoya region,R4100,5.2
2010,Females,25-54 years,Sandoyar region,R4500,3
2010,Females,25-54 years,"Streymoyar region, north",R4300,2.9
2010,Females,25-54 years,"Streymoyar region, south",R4700,4
2010,Females,25-54 years,Suðuroyar region,R4600,6.3
2010,Females,25-54 years,Vága region,R4400,2.9
2010,Females,55-66 years,,,3.2
2010,Females,55-66 years,Eysturoyar region,R4200,2.8
2010,Females,55-66 years,Norðoya region,R4100,2.8
2010,Females,55-66 years,Sandoyar region,R4500,4.2
2010,Females,55-66 years,"Streymoyar region, north",R4300,2.6
