Year,Units,Series,growth rate of disposable income,Growth rate of disposable income,Value
2010,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,,0.46231458045049
2010,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,,1.11862104734931
2011,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,,0.65006964421212
2011,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,,2.8723171982252
2012,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,,2.47797456042508
2012,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,,7.81914494985801
2013,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,,3.11652474025707
2013,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,,2.3229403547156
2014,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,,2.20546221513906
2014,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,,2.37976356490782
2015,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,,1.95726180961168
2015,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,,2.68964530101533
2016,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,,4.55801483245514
2016,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,,3.87072843946727
2017,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,,4.30316659397036
2017,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,,2.47658393998673
2018,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,,4.00859717436266
2018,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,,3.26581898874837
2019,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,,5.50312903850416
2019,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,,2.73948433383327
2020,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,,5.77781608556204
2020,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,,1.02208083834439
2021,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,,3.35324806943705
2021,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,,2.62683691820674
2010,,,,Bottom 40 per cent of the population,0.5
2010,,,,,1.1
2011,,,,Bottom 40 per cent of the population,0.7
2011,,,,,2.9
2012,,,,Bottom 40 per cent of the population,2.5
2012,,,,,7.8
2013,,,,Bottom 40 per cent of the population,3.1
2013,,,,,2.3
2014,,,,Bottom 40 per cent of the population,2.2
2014,,,,,2.4
2015,,,,Bottom 40 per cent of the population,2.0
2015,,,,,2.7
2016,,,,Bottom 40 per cent of the population,4.6
2016,,,,,3.9
2017,,,,Bottom 40 per cent of the population,4.3
2017,,,,,2.5
2018,,,,Bottom 40 per cent of the population,4.0
2018,,,,,3.3
2019,,,,Bottom 40 per cent of the population,5.5
2019,,,,,2.7
2020,,,,Bottom 40 per cent of the population,5.8
2020,,,,,1.0
2021,,,,Bottom 40 per cent of the population,3.4
2021,,,,,2.6
