Year,Units,Series,Size of particulate4 matter,Value
2014,microgram/m3,Havnardalur (rural),10 microgram/m3,7.8
2014,microgram/m3,Havnardalur (rural),2.5 microgram/m3,4.82
2014,microgram/m3,Bøkjarabrekka (urban),10 microgram/m3,11.8
2014,microgram/m3,Bøkjarabrekka (urban),2.5 microgram/m3,6.36
2015,microgram/m3,Havnardalur (rural),10 microgram/m3,7.59
2015,microgram/m3,Havnardalur (rural),2.5 microgram/m3,4.49
2015,microgram/m3,Bøkjarabrekka (urban),10 microgram/m3,11.0
2015,microgram/m3,Bøkjarabrekka (urban),2.5 microgram/m3,5.61
2016,microgram/m3,Havnardalur (rural),10 microgram/m3,7.13
2016,microgram/m3,Havnardalur (rural),2.5 microgram/m3,4.13
2016,microgram/m3,Bøkjarabrekka (urban),10 microgram/m3,10.1
2016,microgram/m3,Bøkjarabrekka (urban),2.5 microgram/m3,4.96
2017,microgram/m3,Havnardalur (rural),10 microgram/m3,8.08
2017,microgram/m3,Havnardalur (rural),2.5 microgram/m3,4.7
2017,microgram/m3,Bøkjarabrekka (urban),10 microgram/m3,11.1
2017,microgram/m3,Bøkjarabrekka (urban),2.5 microgram/m3,5.63
2018,microgram/m3,Havnardalur (rural),10 microgram/m3,8.81
2018,microgram/m3,Havnardalur (rural),2.5 microgram/m3,4.99
2018,microgram/m3,Bøkjarabrekka (urban),10 microgram/m3,12.5
2018,microgram/m3,Bøkjarabrekka (urban),2.5 microgram/m3,6.28
2019,microgram/m3,Havnardalur (rural),10 microgram/m3,7.34
2019,microgram/m3,Havnardalur (rural),2.5 microgram/m3,4.14
2019,microgram/m3,Bøkjarabrekka (urban),10 microgram/m3,11.4
2019,microgram/m3,Bøkjarabrekka (urban),2.5 microgram/m3,5.72
2019,microgram/m3,Kaldbak (rural),10 microgram/m3,8.44
2019,microgram/m3,Kaldbak (rural),2.5 microgram/m3,4.53
2020,microgram/m3,Havnardalur (rural),10 microgram/m3,8.79
2020,microgram/m3,Havnardalur (rural),2.5 microgram/m3,4.67
2020,microgram/m3,Kaldbak (rural),10 microgram/m3,8.65
2020,microgram/m3,Kaldbak (rural),2.5 microgram/m3,4.57
2021,microgram/m3,Havnardalur (rural),10 microgram/m3,7.34
2021,microgram/m3,Havnardalur (rural),2.5 microgram/m3,4.21
2021,microgram/m3,Kaldbak (rural),10 microgram/m3,8.07
2021,microgram/m3,Kaldbak (rural),2.5 microgram/m3,4.35
