Year,Units,Series,Value
2012,per cent,Total waste,100.0
2013,per cent,Total waste,100.0
2014,per cent,Total waste,100.0
2015,per cent,Total waste,100.0
2016,per cent,Total waste,100.0
2012,per cent,Incineration,69.8
2013,per cent,Incineration,67.3
2014,per cent,Incineration,65.4
2015,per cent,Incineration,66.7
2016,per cent,Incineration,64.9
2012,per cent,Landfill,14.2
2013,per cent,Landfill,15.4
2014,per cent,Landfill,16.6
2015,per cent,Landfill,12.5
2016,per cent,Landfill,16.8
2012,per cent,Recycling,13.7
2013,per cent,Recycling,15.6
2014,per cent,Recycling,15.4
2015,per cent,Recycling,18.8
2016,per cent,Recycling,16.3
2012,per cent,Extraordinarily polluting,2.3
2013,per cent,Extraordinarily polluting,1.6
2014,per cent,Extraordinarily polluting,2.6
2015,per cent,Extraordinarily polluting,2.0
2016,per cent,Extraordinarily polluting,2.0
2012,tonnes,Total waste,43866.0
2013,tonnes,Total waste,45300.0
2014,tonnes,Total waste,51079.0
2015,tonnes,Total waste,49902.0
2016,tonnes,Total waste,51885.0
2012,tonnes,Incineration,30638.0
2013,tonnes,Incineration,30490.0
2014,tonnes,Incineration,33396.0
2015,tonnes,Incineration,33282.0
2016,tonnes,Incineration,33677.0
2012,tonnes,Landfill,6222.0
2013,tonnes,Landfill,6993.0
2014,tonnes,Landfill,8487.0
2015,tonnes,Landfill,6237.0
2016,tonnes,Landfill,8691.0
2012,tonnes,Recycling,6008.0
2013,tonnes,Recycling,7084.0
2014,tonnes,Recycling,7869.0
2015,tonnes,Recycling,9385.0
2016,tonnes,Recycling,8482.0
2012,tonnes,Extraordinarily polluting,998.0
2013,tonnes,Extraordinarily polluting,733.0
2014,tonnes,Extraordinarily polluting,1327.0
2015,tonnes,Extraordinarily polluting,998.0
2016,tonnes,Extraordinarily polluting,1035.0
