Year,Series,source,Units,Value
1998,Total government revenue,,pct.,81.3311359368879
1999,Total government revenue,,pct.,69.4597686538706
2000,Total government revenue,,pct.,67.6208031905027
2001,Total government revenue,,pct.,65.5109923679932
2002,Total government revenue,,pct.,62.3622907664034
2003,Total government revenue,,pct.,62.4723325551075
2004,Total government revenue,,pct.,59.9030310068517
2005,Total government revenue,,pct.,60.1051833601819
2006,Total government revenue,,pct.,58.7888687941194
2007,Total government revenue,,pct.,59.5119729205444
2008,Total government revenue,,pct.,61.3280603764072
2009,Total government revenue,,pct.,60.1272250160453
2010,Total government revenue,,pct.,57.3035335742935
2011,Total government revenue,,pct.,59.0465783566002
2012,Total government revenue,,pct.,56.8690209466909
2013,Total government revenue,,pct.,54.2184862825562
2014,Total government revenue,,pct.,52.6579352850539
2015,Total government revenue,,pct.,53.2124501934515
2016,Total government revenue,,pct.,51.8502286384134
2017,Total government revenue,,pct.,54.3995527773543
2018,Total government revenue,,pct.,56.5573037725729
2019,Total government revenue,,pct.,54.0740774742602
2020,Total government revenue,,pct.,55.557424304008
2021,Total government revenue,,pct.,54.9887142887852
2022,Total government revenue,,pct.,52.7918067391134
2023,Total government revenue,,pct.,52.2862296168145
2024,Total government revenue,,pct.,53.118681310816
1998,Total government revenue,Taxes,pct.,41.1012198251989
1999,Total government revenue,Taxes,pct.,42.4863353247744
2000,Total government revenue,Taxes,pct.,41.9507048785012
2001,Total government revenue,Taxes,pct.,41.3474582414282
2002,Total government revenue,Taxes,pct.,42.1725525257041
2003,Total government revenue,Taxes,pct.,42.7387485724104
2004,Total government revenue,Taxes,pct.,40.5837494677351
2005,Total government revenue,Taxes,pct.,40.1772007959822
2006,Total government revenue,Taxes,pct.,39.7193029244835
2007,Total government revenue,Taxes,pct.,40.5508564427585
2008,Total government revenue,Taxes,pct.,40.7241387459921
2009,Total government revenue,Taxes,pct.,39.1529706147584
2010,Total government revenue,Taxes,pct.,38.4827133946409
2011,Total government revenue,Taxes,pct.,39.2645287899737
2012,Total government revenue,Taxes,pct.,38.1151534549593
2013,Total government revenue,Taxes,pct.,35.6375550186981
2014,Total government revenue,Taxes,pct.,35.3902218308998
2015,Total government revenue,Taxes,pct.,36.3856326153491
2016,Total government revenue,Taxes,pct.,34.8074262601514
2017,Total government revenue,Taxes,pct.,36.1716725110535
2018,Total government revenue,Taxes,pct.,36.9256213123547
2019,Total government revenue,Taxes,pct.,36.2180002111516
2020,Total government revenue,Taxes,pct.,37.929052965003
2021,Total government revenue,Taxes,pct.,36.7191900083837
2022,Total government revenue,Taxes,pct.,35.9749042295364
2023,Total government revenue,Taxes,pct.,35.4540435086686
2024,Total government revenue,Taxes,pct.,36.8913033364468
1998,Total government revenue,Social contributions,pct.,4.28627392708066
1999,Total government revenue,Social contributions,pct.,4.11592729121647
2000,Total government revenue,Social contributions,pct.,3.71104618809126
2001,Total government revenue,Social contributions,pct.,3.47116509780774
2002,Total government revenue,Social contributions,pct.,3.68549148164705
2003,Total government revenue,Social contributions,pct.,3.13109568135189
2004,Total government revenue,Social contributions,pct.,3.44520574459025
2005,Total government revenue,Social contributions,pct.,3.97991092580309
2006,Total government revenue,Social contributions,pct.,4.34963787743672
2007,Total government revenue,Social contributions,pct.,4.91875377957889
2008,Total government revenue,Social contributions,pct.,5.40898240859639
2009,Total government revenue,Social contributions,pct.,5.55857956438025
2010,Total government revenue,Social contributions,pct.,5.48413170456452
2011,Total government revenue,Social contributions,pct.,5.50153873600642
2012,Total government revenue,Social contributions,pct.,5.6524058465806
2013,Total government revenue,Social contributions,pct.,5.38438627262799
2014,Total government revenue,Social contributions,pct.,5.20519969672512
2015,Total government revenue,Social contributions,pct.,5.32540278339204
2016,Total government revenue,Social contributions,pct.,5.57127921344162
2017,Total government revenue,Social contributions,pct.,5.65838288356965
2018,Total government revenue,Social contributions,pct.,6.0174424379681
2019,Total government revenue,Social contributions,pct.,6.34877646853612
2020,Total government revenue,Social contributions,pct.,6.68591477572683
2021,Total government revenue,Social contributions,pct.,6.2795846858273
2022,Total government revenue,Social contributions,pct.,5.97451332968494
2023,Total government revenue,Social contributions,pct.,5.93955902381566
2024,Total government revenue,Social contributions,pct.,5.88235294117647
1998,Total government revenue,Grants,pct.,15.2615637807827
1999,Total government revenue,Grants,pct.,14.8133229693657
2000,Total government revenue,Grants,pct.,13.866445337136
2001,Total government revenue,Grants,pct.,12.7059825613305
2002,Total government revenue,Grants,pct.,8.45738914220434
2003,Total government revenue,Grants,pct.,8.60644053647049
2004,Total government revenue,Grants,pct.,8.54080006193628
2005,Total government revenue,Grants,pct.,8.32816204870653
2006,Total government revenue,Grants,pct.,7.41049321176461
2007,Total government revenue,Grants,pct.,7.20033586221521
2008,Total government revenue,Grants,pct.,7.26404765356043
2009,Total government revenue,Grants,pct.,7.62299488987643
2010,Total government revenue,Grants,pct.,7.17398564151836
