Year,countrygroup,Units,Series,Value
1988,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,56.2864
1988,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,92.2814
1988,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,1.74765089084975
1988,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,3.93581729623007
1989,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,45.0167
1989,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,23.0665
1989,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,1.77911030691784
1989,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,0.911640274687631
1990,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,33.3541
1990,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,9.6577
1990,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,1.60032591777006
1990,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,0.374552664620874
1991,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,33.2322
1991,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,18.7134
1991,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,1.71635361340566
1991,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,0.672812512628672
1992,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,57.2174
1992,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,22.6652
1992,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,2.85819986968174
1992,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,0.85894353946571
1993,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,45.5506
1993,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,37.7538
1993,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,3.19405004347848
1993,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,1.77046270688178
1994,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,65.933
1994,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,7.4311
1994,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,4.20988229531009
1994,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,0.357895558128469
1995,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,68.4153
1995,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,10.4663
1995,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,3.81621939960754
1995,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,0.516530526493664
1996,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,87.7282
1996,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,91.2863
1996,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,4.08019826086876
1996,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,3.76611747223
1997,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,98.1914000000001
1997,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,51.0948
1997,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,4.14336557846112
1997,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,1.98427494302008
1998,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,228.521
1998,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,35.9537
1998,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,8.78098842095795
1998,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,1.22533984685817
1999,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,235.0997
1999,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,29.2059
