Year,Sex,Value
1986,,0.0435161009573542
1986,Males,0.0832379565081677
1986,Females,0.0
1987,,0.0429525588986964
1987,Males,0.0821456442272148
1987,Females,0.0
1988,,0.0211729832733432
1988,Males,0.0405005872585152
1988,Females,0.0
1989,,0.0209757939338004
1989,Males,0.040163868583822
1989,Females,0.0
1990,,0.0630808696749233
1990,Males,0.0806744383042233
1990,Females,0.0439232222075812
1991,,0.0
1991,Males,0.0
1991,Females,0.0
1992,,0.0
1992,Males,0.0
1992,Females,0.0
1993,,0.0869650291876379
1993,Males,0.125741350042962
1993,Females,0.0451732393729954
1994,,0.0224976939863664
1994,Males,0.0434518119405579
1994,Females,0.0
1995,,0.0
1995,Males,0.0
1995,Females,0.0
1996,,0.0229713432492965
1996,Males,0.0445126972468897
1996,Females,0.0
1997,,0.0
1997,Males,0.0
1997,Females,0.0
1998,,0.0
1998,Males,0.0
1998,Females,0.0
1999,,0.0
1999,Males,0.0
1999,Females,0.0
2000,,0.0218653314237611
2000,Males,0.0422582826233942
2000,Females,0.0
2001,,0.0
2001,Males,0.0
2001,Females,0.0
2002,,0.0
2002,Males,0.0
2002,Females,0.0
2003,,0.0208781343299163
2003,Males,0.0402422583955412
2003,Females,0.0
2004,,0.041474415469957
2004,Males,0.0
2004,Females,0.0862831381177333
2005,,0.0
2005,Males,0.0
2005,Females,0.0
2006,,0.0
2006,Males,0.0
2006,Females,0.0
2007,,0.0
2007,Males,0.0
2007,Females,0.0
2008,,0.0
2008,Males,0.0
2008,Females,0.0
2009,,0.0
2009,Males,0.0
2009,Females,0.0
2010,,0.0
2010,Males,0.0
2010,Females,0.0
2011,,0.0207020049891832
2011,Males,0.0
2011,Females,0.0430496362305739
2012,,0.0
2012,Males,0.0
2012,Females,0.0
2013,,0.0
2013,Males,0.0
2013,Females,0.0
2014,,0.0
2014,Males,0.0
2014,Females,0.0
2015,,0.0
2015,Males,0.0
2015,Females,0.0
2016,,0.0202261281122955
2016,Males,0.0391818822976256
2016,Females,0.0
2017,,0.0
2017,Males,0.0
2017,Females,0.0
2018,,0.0
2018,Males,0.0
2018,Females,0.0
2019,,0.0
2019,Males,0.0
2019,Females,0.0
2020,,0.0
2020,Males,0.0
2020,Females,0.0
2021,,0.0375840944112452
2021,Males,0.036291712787385
2021,Females,0.0389719207311132
