Year,Units,Series,energy source,Energy source,Value
2000,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,704.756831146922
2000,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,701.427271314732
2000,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,3.32955983219018
2000,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2000,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2000,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2000,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2001,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,694.2318625092929
2001,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,690.952026938383
2001,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,3.27983557091005
2001,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2001,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2001,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2001,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2002,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,682.311477875916
2002,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,679.0879590828009
2002,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,3.22351879311456
2002,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2002,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2002,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2002,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2003,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,713.2133719577951
2003,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,668.174994185186
2003,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,45.0383777726091
2003,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2003,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2003,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2003,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2004,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,704.2415258218409
2004,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,659.769706966208
2004,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,44.4718188556336
2004,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2004,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2004,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2004,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2005,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,740.556402359992
2005,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,655.322943561348
2005,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,85.2334587986437
2005,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2005,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2005,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2005,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2006,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,740.756106414977
2006,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,655.499662915521
2006,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,85.2564434994555
2006,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2006,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2006,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2006,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2007,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,741.032797601137
2007,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,655.744508658525
2007,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,85.288288942612
2007,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2007,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2007,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2007,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2008,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,739.628425260454
2008,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,654.501770882956
2008,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,85.1266543774984
2008,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2008,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2008,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2008,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2009,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,737.002868759416
2009,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,652.178399686294
2009,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,84.8244690731224
2009,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2009,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2009,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2009,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2010,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,735.613715250955
2010,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,650.9491291495431
2010,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,84.6645861014121
2010,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2010,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2010,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2010,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2011,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,736.926823228363
2011,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,652.111106525238
2011,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,84.8157167031244
2011,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2011,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2011,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2011,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2012,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,991.863859387616
2012,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,813.614061238432
2012,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,178.249798149183
2012,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2012,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2012,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2012,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2013,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,996.0291885823581
2013,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,817.030830959855
2013,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,178.998357622503
2013,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2013,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2013,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2013,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2014,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,1239.97628631159
2014,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,817.4982058722579
2014,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,422.478080439327
2014,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2014,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2014,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2014,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2015,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,1238.96184469031
2015,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,812.739116947575
2015,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,420.01861234619
2015,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2015,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,6.20411539654638
2015,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2015,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2016,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,1220.44100485228
2016,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,804.6188809041209
2016,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,415.82212394816
2016,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2016,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2016,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2016,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2017,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,1205.70388349515
2017,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,794.9029126213591
2017,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,410.800970873786
2017,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2017,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2017,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2017,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2018,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,1118.3160415004
2018,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,792.098962490024
2018,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,326.217079010375
2018,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,0.0
2018,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2018,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2018,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2019,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,1036.43549560533
2019,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,780.620170281377
2019,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,250.702951412785
2019,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,5.11237391116267
2019,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,0.0
2019,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,0.0
2019,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2020,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,1150.1727291201
2020,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,768.3300916383619
2020,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,368.682323569542
2020,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,5.03188473113285
2020,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,1.93534028120494
2020,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,6.19308889985582
2020,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2021,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,1224.74651215979
2021,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,756.6516734009299
2021,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,428.83281238088
2021,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,4.95540138751239
2021,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,1.90592361058169
2021,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,32.4007013798887
2021,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
