Year,Material type,Measure,Value
1998,Total,Domestic material consumption,886.7
1998,Total,Domestic material consumption per capita,19.9
1998,Total,Domestic material consumption per unit of GDP,118.8
1998,Biomass,Domestic material consumption,357.4
1998,Biomass,Domestic material consumption per capita,8.0
1998,Biomass,Domestic material consumption per unit of GDP,47.9
1998,Metallic minerals,Domestic material consumption,2.6
1998,Metallic minerals,Domestic material consumption per capita,0.1
1998,Metallic minerals,Domestic material consumption per unit of GDP,0.4
1998,Non-metallic minerals,Domestic material consumption,287.8
1998,Non-metallic minerals,Domestic material consumption per capita,6.5
1998,Non-metallic minerals,Domestic material consumption per unit of GDP,38.6
1998,Fossil energy and other products,Domestic material consumption,238.8
1998,Fossil energy and other products,Domestic material consumption per capita,5.4
1998,Fossil energy and other products,Domestic material consumption per unit of GDP,32.0
1999,Total,Domestic material consumption,933.9
1999,Total,Domestic material consumption per capita,20.7
1999,Total,Domestic material consumption per unit of GDP,118.3
1999,Biomass,Domestic material consumption,364.7
1999,Biomass,Domestic material consumption per capita,8.1
1999,Biomass,Domestic material consumption per unit of GDP,46.2
1999,Metallic minerals,Domestic material consumption,3.8
1999,Metallic minerals,Domestic material consumption per capita,0.1
1999,Metallic minerals,Domestic material consumption per unit of GDP,0.5
1999,Non-metallic minerals,Domestic material consumption,311.0
1999,Non-metallic minerals,Domestic material consumption per capita,6.9
1999,Non-metallic minerals,Domestic material consumption per unit of GDP,39.4
1999,Fossil energy and other products,Domestic material consumption,254.3
1999,Fossil energy and other products,Domestic material consumption per capita,5.6
1999,Fossil energy and other products,Domestic material consumption per unit of GDP,32.2
2000,Total,Domestic material consumption,1161.3
2000,Total,Domestic material consumption per capita,25.4
2000,Total,Domestic material consumption per unit of GDP,134.5
2000,Biomass,Domestic material consumption,430.5
2000,Biomass,Domestic material consumption per capita,9.4
2000,Biomass,Domestic material consumption per unit of GDP,49.9
2000,Metallic minerals,Domestic material consumption,5.5
2000,Metallic minerals,Domestic material consumption per capita,0.1
2000,Metallic minerals,Domestic material consumption per unit of GDP,0.6
2000,Non-metallic minerals,Domestic material consumption,497.4
2000,Non-metallic minerals,Domestic material consumption per capita,10.9
2000,Non-metallic minerals,Domestic material consumption per unit of GDP,57.6
2000,Fossil energy and other products,Domestic material consumption,227.9
2000,Fossil energy and other products,Domestic material consumption per capita,5.0
2000,Fossil energy and other products,Domestic material consumption per unit of GDP,26.4
2001,Total,Domestic material consumption,1209.5
2001,Total,Domestic material consumption per capita,26.0
2001,Total,Domestic material consumption per unit of GDP,125.1
2001,Biomass,Domestic material consumption,478.7
2001,Biomass,Domestic material consumption per capita,10.3
2001,Biomass,Domestic material consumption per unit of GDP,49.5
2001,Metallic minerals,Domestic material consumption,7.2
2001,Metallic minerals,Domestic material consumption per capita,0.2
2001,Metallic minerals,Domestic material consumption per unit of GDP,0.7
2001,Non-metallic minerals,Domestic material consumption,467.5
2001,Non-metallic minerals,Domestic material consumption per capita,10.0
2001,Non-metallic minerals,Domestic material consumption per unit of GDP,48.3
2001,Fossil energy and other products,Domestic material consumption,256.1
2001,Fossil energy and other products,Domestic material consumption per capita,5.5
2001,Fossil energy and other products,Domestic material consumption per unit of GDP,26.5
2002,Total,Domestic material consumption,1162.7
2002,Total,Domestic material consumption per capita,24.6
2002,Total,Domestic material consumption per unit of GDP,115.4
2002,Biomass,Domestic material consumption,467.9
2002,Biomass,Domestic material consumption per capita,9.9
2002,Biomass,Domestic material consumption per unit of GDP,46.4
2002,Metallic minerals,Domestic material consumption,5.3
2002,Metallic minerals,Domestic material consumption per capita,0.1
2002,Metallic minerals,Domestic material consumption per unit of GDP,0.5
2002,Non-metallic minerals,Domestic material consumption,456.6
2002,Non-metallic minerals,Domestic material consumption per capita,9.7
2002,Non-metallic minerals,Domestic material consumption per unit of GDP,45.3
2002,Fossil energy and other products,Domestic material consumption,232.9
2002,Fossil energy and other products,Domestic material consumption per capita,4.9
2002,Fossil energy and other products,Domestic material consumption per unit of GDP,23.1
2003,Total,Domestic material consumption,1224.7
2003,Total,Domestic material consumption per capita,25.6
2003,Total,Domestic material consumption per unit of GDP,123.9
2003,Biomass,Domestic material consumption,565.8
2003,Biomass,Domestic material consumption per capita,11.8
2003,Biomass,Domestic material consumption per unit of GDP,57.3
2003,Metallic minerals,Domestic material consumption,5.1
2003,Metallic minerals,Domestic material consumption per capita,0.1
2003,Metallic minerals,Domestic material consumption per unit of GDP,0.5
2003,Non-metallic minerals,Domestic material consumption,424.2
2003,Non-metallic minerals,Domestic material consumption per capita,8.9
2003,Non-metallic minerals,Domestic material consumption per unit of GDP,42.9
2003,Fossil energy and other products,Domestic material consumption,229.5
2003,Fossil energy and other products,Domestic material consumption per capita,4.8
2003,Fossil energy and other products,Domestic material consumption per unit of GDP,23.2
2004,Total,Domestic material consumption,1180.3
2004,Total,Domestic material consumption per capita,24.5
2004,Total,Domestic material consumption per unit of GDP,115.3
2004,Biomass,Domestic material consumption,536.1
2004,Biomass,Domestic material consumption per capita,11.1
2004,Biomass,Domestic material consumption per unit of GDP,52.4
2004,Metallic minerals,Domestic material consumption,6.7
2004,Metallic minerals,Domestic material consumption per capita,0.1
2004,Metallic minerals,Domestic material consumption per unit of GDP,0.7
2004,Non-metallic minerals,Domestic material consumption,409.0
2004,Non-metallic minerals,Domestic material consumption per capita,8.5
2004,Non-metallic minerals,Domestic material consumption per unit of GDP,40.0
2004,Fossil energy and other products,Domestic material consumption,228.5
2004,Fossil energy and other products,Domestic material consumption per capita,4.7
2004,Fossil energy and other products,Domestic material consumption per unit of GDP,22.3
2005,Total,Domestic material consumption,1237.5
2005,Total,Domestic material consumption per capita,25.7
2005,Total,Domestic material consumption per unit of GDP,117.6
2005,Biomass,Domestic material consumption,475.1
2005,Biomass,Domestic material consumption per capita,9.9
2005,Biomass,Domestic material consumption per unit of GDP,45.2
2005,Metallic minerals,Domestic material consumption,4.1
2005,Metallic minerals,Domestic material consumption per capita,0.1
2005,Metallic minerals,Domestic material consumption per unit of GDP,0.4
2005,Non-metallic minerals,Domestic material consumption,533.1
2005,Non-metallic minerals,Domestic material consumption per capita,11.1
2005,Non-metallic minerals,Domestic material consumption per unit of GDP,50.7
2005,Fossil energy and other products,Domestic material consumption,225.3
2005,Fossil energy and other products,Domestic material consumption per capita,4.7
2005,Fossil energy and other products,Domestic material consumption per unit of GDP,21.4
2006,Total,Domestic material consumption,1407.4
2006,Total,Domestic material consumption per capita,29.2
2006,Total,Domestic material consumption per unit of GDP,117.5
2006,Biomass,Domestic material consumption,547.2
2006,Biomass,Domestic material consumption per capita,11.4
2006,Biomass,Domestic material consumption per unit of GDP,45.7
2006,Metallic minerals,Domestic material consumption,2.5
2006,Metallic minerals,Domestic material consumption per capita,0.1
2006,Metallic minerals,Domestic material consumption per unit of GDP,0.2
2006,Non-metallic minerals,Domestic material consumption,621.2
2006,Non-metallic minerals,Domestic material consumption per capita,12.9
2006,Non-metallic minerals,Domestic material consumption per unit of GDP,51.8
2006,Fossil energy and other products,Domestic material consumption,236.5
2006,Fossil energy and other products,Domestic material consumption per capita,4.9
2006,Fossil energy and other products,Domestic material consumption per unit of GDP,19.7
2007,Total,Domestic material consumption,1662.6
2007,Total,Domestic material consumption per capita,34.4
2007,Total,Domestic material consumption per unit of GDP,130.9
2007,Biomass,Domestic material consumption,511.0
2007,Biomass,Domestic material consumption per capita,10.6
2007,Biomass,Domestic material consumption per unit of GDP,40.2
2007,Metallic minerals,Domestic material consumption,2.5
2007,Metallic minerals,Domestic material consumption per capita,0.1
2007,Metallic minerals,Domestic material consumption per unit of GDP,0.2
2007,Non-metallic minerals,Domestic material consumption,894.2
2007,Non-metallic minerals,Domestic material consumption per capita,18.5
2007,Non-metallic minerals,Domestic material consumption per unit of GDP,70.4
2007,Fossil energy and other products,Domestic material consumption,254.9
2007,Fossil energy and other products,Domestic material consumption per capita,5.3
2007,Fossil energy and other products,Domestic material consumption per unit of GDP,20.1
2008,Total,Domestic material consumption,1561.2
2008,Total,Domestic material consumption per capita,32.2
2008,Total,Domestic material consumption per unit of GDP,123.1
2008,Biomass,Domestic material consumption,456.2
2008,Biomass,Domestic material consumption per capita,9.4
2008,Biomass,Domestic material consumption per unit of GDP,36.0
2008,Metallic minerals,Domestic material consumption,0.1
2008,Metallic minerals,Domestic material consumption per capita,0.0
2008,Metallic minerals,Domestic material consumption per unit of GDP,0.0
2008,Non-metallic minerals,Domestic material consumption,891.3
