Year,material type,Units,Series,Value
1998,,"1,000 tonnes",Domestic material consumption,886.6662
1998,,"1,000 tonnes",Domestic material consumption per capita,19.9286658275645
1998,,"1,000 tonnes",Domestic material consumption per unit of GDP,119.776054682751
1998,Biomass,"1,000 tonnes",Domestic material consumption,357.438
1998,Biomass,"1,000 tonnes",Domestic material consumption per capita,8.03375887800054
1998,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,48.28481499993249
1998,Metallic minerals,"1,000 tonnes",Domestic material consumption,2.6467
1998,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.059487098804279
1998,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.357531711402596
1998,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,287.7992
1998,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,6.46856064011508
1998,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,38.87759871398271
1998,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,234.7984
1998,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,5.27731727052054
1998,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,31.7179407513475
1999,,"1,000 tonnes",Domestic material consumption,933.8584
1999,,"1,000 tonnes",Domestic material consumption per capita,20.7289161172893
1999,,"1,000 tonnes",Domestic material consumption per unit of GDP,118.705783653235
1999,Biomass,"1,000 tonnes",Domestic material consumption,364.6654
1999,Biomass,"1,000 tonnes",Domestic material consumption per capita,8.09450178686378
1999,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,46.35380704207449
1999,Metallic minerals,"1,000 tonnes",Domestic material consumption,3.847
1999,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.085392111162904
1999,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.489004703190543
1999,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,311.0436
1999,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,6.90425517746554
1999,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,39.5377653489259
1999,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,249.761
1999,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,5.54396128831768
1999,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,31.7479344095589
2000,,"1,000 tonnes",Domestic material consumption,1161.3464
2000,,"1,000 tonnes",Domestic material consumption per capita,25.3932239337918
2000,,"1,000 tonnes",Domestic material consumption per unit of GDP,134.639491745502
2000,Biomass,"1,000 tonnes",Domestic material consumption,430.5335
2000,Biomass,"1,000 tonnes",Domestic material consumption per capita,9.41375766653183
2000,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,49.91345529586351
2000,Metallic minerals,"1,000 tonnes",Domestic material consumption,5.5322
2000,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.120963386502531
2000,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.641369875718791
2000,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,497.3744
2000,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,10.8752560976943
2000,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,57.6625857911334
2000,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,222.6504
2000,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,4.86832478763297
2000,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,25.8127434613244
2001,,"1,000 tonnes",Domestic material consumption,1209.5108
2001,,"1,000 tonnes",Domestic material consumption per capita,25.9919800575923
2001,,"1,000 tonnes",Domestic material consumption per unit of GDP,125.250944939783
2001,Biomass,"1,000 tonnes",Domestic material consumption,478.68
2001,Biomass,"1,000 tonnes",Domestic material consumption per capita,10.2866721107148
2001,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,49.569728789338
2001,Metallic minerals,"1,000 tonnes",Domestic material consumption,7.1933
2001,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.154581596252203
2001,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.74490250292543
2001,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,467.5236
2001,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,10.0469248291572
2001,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,48.4144272888254
2001,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,250.3464
2001,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,5.37985988739416
2001,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,25.924632638479
2002,,"1,000 tonnes",Domestic material consumption,1162.6814
2002,,"1,000 tonnes",Domestic material consumption per capita,24.5841206072652
2002,,"1,000 tonnes",Domestic material consumption per unit of GDP,115.500064570606
2002,Biomass,"1,000 tonnes",Domestic material consumption,467.8732
2002,Biomass,"1,000 tonnes",Domestic material consumption per capita,9.8928659026515
2002,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,46.4782397059554
2002,Metallic minerals,"1,000 tonnes",Domestic material consumption,5.3165
2002,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.11241383685034
2002,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.528137883077534
2002,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,456.5578
2002,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,9.65360933733666
2002,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,45.3541747379924
2002,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,225.9103
2002,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,4.77672220577663
2002,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,22.4417920826504
2003,,"1,000 tonnes",Domestic material consumption,1224.6534
2003,,"1,000 tonnes",Domestic material consumption per capita,25.5687451066362
2003,,"1,000 tonnes",Domestic material consumption per unit of GDP,123.773627239926
2003,Biomass,"1,000 tonnes",Domestic material consumption,565.8363
2003,Biomass,"1,000 tonnes",Domestic material consumption per capita,11.8137296044596
2003,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,57.1881083047816
2003,Metallic minerals,"1,000 tonnes",Domestic material consumption,5.0811
2003,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.106084995772134
2003,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.513538097692611
2003,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,424.2379
2003,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,8.85738832691324
2003,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,42.8769998888249
2003,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,222.7829
2003,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,4.6513398682576
2003,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,22.5162871552308
2004,,"1,000 tonnes",Domestic material consumption,1180.2787
2004,,"1,000 tonnes",Domestic material consumption per capita,24.4761921549516
2004,,"1,000 tonnes",Domestic material consumption per unit of GDP,114.221993187009
2004,Biomass,"1,000 tonnes",Domestic material consumption,536.0685
2004,Biomass,"1,000 tonnes",Domestic material consumption per capita,11.1167943759526
2004,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,51.8782661711764
2004,Metallic minerals,"1,000 tonnes",Domestic material consumption,6.6865
2004,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.138662214987091
2004,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.647088994696706
2004,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,409.0415
2004,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,8.48255446222121
2004,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,39.585172066736305
2004,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,222.0344
2004,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,4.60446896094066
2004,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,21.4874772577711
2005,,"1,000 tonnes",Domestic material consumption,1237.509
2005,,"1,000 tonnes",Domestic material consumption per capita,25.6696674894729
2005,,"1,000 tonnes",Domestic material consumption per unit of GDP,117.266085473325
2005,Biomass,"1,000 tonnes",Domestic material consumption,475.0506
2005,Biomass,"1,000 tonnes",Domestic material consumption per capita,9.8539816216889
2005,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,45.015692220221695
2005,Metallic minerals,"1,000 tonnes",Domestic material consumption,4.0854
2005,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.084743512622125
2005,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.387131621339903
2005,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,533.0565
2005,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,11.0571988632828
2005,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,50.5123187719132
2005,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,219.275
2005,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,4.54842456802672
2005,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,20.7784516251303
2006,,"1,000 tonnes",Domestic material consumption,1407.4273
2006,,"1,000 tonnes",Domestic material consumption per capita,29.2048867538881
2006,,"1,000 tonnes",Domestic material consumption per unit of GDP,117.298315650862
2006,Biomass,"1,000 tonnes",Domestic material consumption,547.211
2006,Biomass,"1,000 tonnes",Domestic material consumption per capita,11.354927736219
2006,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,45.6058573012076
2006,Metallic minerals,"1,000 tonnes",Domestic material consumption,2.5427
2006,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.052762416608738
2006,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.211914624084276
2006,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,621.2018
2006,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,12.8902773310646
2006,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,51.7724253460792
2006,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,229.8056
2006,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,4.76859197161325
2006,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,19.1525415253319
2007,,"1,000 tonnes",Domestic material consumption,1662.5498
2007,,"1,000 tonnes",Domestic material consumption per capita,34.433440341321
2007,,"1,000 tonnes",Domestic material consumption per unit of GDP,130.571181741787
2007,Biomass,"1,000 tonnes",Domestic material consumption,510.9539
2007,Biomass,"1,000 tonnes",Domestic material consumption per capita,10.5824803761158
2007,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,40.1286352676924
2007,Metallic minerals,"1,000 tonnes",Domestic material consumption,2.4685
2007,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.05112565499244
2007,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.193867854141633
2007,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,894.1935
2007,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,18.5198413520287
2007,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,70.22701034328391
2007,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,247.4982
2007,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,5.12599051425968
2007,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,19.4376929057795
2008,,"1,000 tonnes",Domestic material consumption,1561.195
2008,,"1,000 tonnes",Domestic material consumption per capita,32.2198144651168
2008,,"1,000 tonnes",Domestic material consumption per unit of GDP,122.989750821274
2008,Biomass,"1,000 tonnes",Domestic material consumption,456.164
2008,Biomass,"1,000 tonnes",Domestic material consumption per capita,9.41427524791299
2008,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,35.9362518414647
2008,Metallic minerals,"1,000 tonnes",Domestic material consumption,0.088
2008,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.001816136788121
2008,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.006932572851099
2008,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,891.2596
2008,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,18.3937425832482
2008,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,70.2127512072918
2008,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,204.9187
2008,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,4.22909533686242
2008,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,16.1433388216202
2009,,"1,000 tonnes",Domestic material consumption,926.8357
2009,,"1,000 tonnes",Domestic material consumption per capita,19.0919066452437
2009,,"1,000 tonnes",Domestic material consumption per unit of GDP,75.29801200757181
2009,Biomass,"1,000 tonnes",Domestic material consumption,298.3463
2009,Biomass,"1,000 tonnes",Domestic material consumption per capita,6.14564124747662
2009,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,24.2382584958851
2009,Metallic minerals,"1,000 tonnes",Domestic material consumption,-1.5869
2009,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,-0.0326885840234
2009,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,-0.128922974433134
2009,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,402.9478
2009,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,8.30032958431179
2009,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,32.7362965009059
2009,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,219.035
2009,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,4.5119062332633
2009,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,17.7948476305762
2010,,"1,000 tonnes",Domestic material consumption,831.0762
2010,,"1,000 tonnes",Domestic material consumption per capita,17.1497358646306
2010,,"1,000 tonnes",Domestic material consumption per unit of GDP,63.372237727044
2010,Biomass,"1,000 tonnes",Domestic material consumption,343.9836
2010,Biomass,"1,000 tonnes",Domestic material consumption per capita,7.09829962855964
2010,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,26.2298577114883
2010,Metallic minerals,"1,000 tonnes",Domestic material consumption,-3.2023
