Year,Series,sex,age,Units,Value
2015,Total unemployment out of total labour force (national estimate) (%),,,pct.,2.9
2016,Total unemployment out of total labour force (national estimate) (%),,,pct.,3.2
2017,Total unemployment out of total labour force (national estimate) (%),,,pct.,2.5
2018,Total unemployment out of total labour force (national estimate) (%),,,pct.,1.5
2019,Total unemployment out of total labour force (national estimate) (%),,,pct.,0.9
2020,Total unemployment out of total labour force (national estimate) (%),,,pct.,1.5
2021,Total unemployment out of total labour force (national estimate) (%),,,pct.,1.3
2022,Total unemployment out of total labour force (national estimate) (%),,,pct.,1.9
2023,Total unemployment out of total labour force (national estimate) (%),,,pct.,1.5
2024,Total unemployment out of total labour force (national estimate) (%),,,pct.,1.4
2025,Total unemployment out of total labour force (national estimate) (%),,,pct.,1.0
2015,Total unemployment out of total labour force (national estimate) (%),,Age 15 - 24,pct.,8.7
2016,Total unemployment out of total labour force (national estimate) (%),,Age 15 - 24,pct.,9.6
2017,Total unemployment out of total labour force (national estimate) (%),,Age 15 - 24,pct.,7.4
2018,Total unemployment out of total labour force (national estimate) (%),,Age 15 - 24,pct.,4.5
2019,Total unemployment out of total labour force (national estimate) (%),,Age 15 - 24,pct.,1.9
2020,Total unemployment out of total labour force (national estimate) (%),,Age 15 - 24,pct.,3.5
2021,Total unemployment out of total labour force (national estimate) (%),,Age 15 - 24,pct.,3.9
2022,Total unemployment out of total labour force (national estimate) (%),,Age 15 - 24,pct.,8.8
2023,Total unemployment out of total labour force (national estimate) (%),,Age 15 - 24,pct.,5.7
2024,Total unemployment out of total labour force (national estimate) (%),,Age 15 - 24,pct.,4.7
2025,Total unemployment out of total labour force (national estimate) (%),,Age 15 - 24,pct.,2.2
2015,Total unemployment out of total labour force (national estimate) (%),,Age 25 - 54,pct.,1.8
2016,Total unemployment out of total labour force (national estimate) (%),,Age 25 - 54,pct.,2.0
2017,Total unemployment out of total labour force (national estimate) (%),,Age 25 - 54,pct.,1.7
2018,Total unemployment out of total labour force (national estimate) (%),,Age 25 - 54,pct.,0.9
2019,Total unemployment out of total labour force (national estimate) (%),,Age 25 - 54,pct.,0.7
2020,Total unemployment out of total labour force (national estimate) (%),,Age 25 - 54,pct.,1.1
2021,Total unemployment out of total labour force (national estimate) (%),,Age 25 - 54,pct.,0.8
2022,Total unemployment out of total labour force (national estimate) (%),,Age 25 - 54,pct.,0.5
2023,Total unemployment out of total labour force (national estimate) (%),,Age 25 - 54,pct.,0.8
2024,Total unemployment out of total labour force (national estimate) (%),,Age 25 - 54,pct.,0.8
2025,Total unemployment out of total labour force (national estimate) (%),,Age 25 - 54,pct.,0.9
