Year,Series,age,Units,sex,Age,Sex,Value
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",15-24 years,pct.,,,,4.40759001942328
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",15-24 years,pct.,Males,,,4.18746533555186
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",15-24 years,pct.,Females,,,4.66472303206997
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",15-19 years,pct.,,,,2.99450549450549
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",15-19 years,pct.,Males,,,3.18230852211435
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",15-19 years,pct.,Females,,,2.79955207166853
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",20-24 years,pct.,,,,6.09236816246315
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",20-24 years,pct.,Males,,,5.25114155251142
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",20-24 years,pct.,Females,,,7.22521137586472
2017,"Proportion of youth (aged 15-24 years) not in education, employment or training",15-24 years,pct.,,,,2.34484914803814
2018,"Proportion of youth (aged 15-24 years) not in education, employment or training",15-24 years,pct.,,,,5.19117189928505
2019,"Proportion of youth (aged 15-24 years) not in education, employment or training",15-24 years,pct.,,,,9.89948218093207
2020,"Proportion of youth (aged 15-24 years) not in education, employment or training",15-24 years,pct.,,,,7.42065265981225
2021,"Proportion of youth (aged 15-24 years) not in education, employment or training",15-24 years,pct.,,,,4.39253709416777
2011,,,,,15-24 years,,4.4
2011,,,,,15-24 years,Males,4.2
2011,,,,,15-24 years,Females,4.7
2011,,,,,15-19 years,,3.0
2011,,,,,15-19 years,Males,3.2
2011,,,,,15-19 years,Females,2.8
2011,,,,,20-24 years,,6.1
2011,,,,,20-24 years,Males,5.3
2011,,,,,20-24 years,Females,7.2
2017,,,,,15-24 years,,2.3
2018,,,,,15-24 years,,5.2
2019,,,,,15-24 years,,9.9
2020,,,,,15-24 years,,7.4
2021,,,,,15-24 years,,4.4
