Year,Series,Units,Measure,Value
1998,Manufacturing value added per capita,DKK per capita,,16805.0795077822
1998,Manufacturing value added as a proportion of GDP,pct.,,10.1003687843625
1999,Manufacturing value added per capita,DKK per capita,,18931.8772058334
1999,Manufacturing value added as a proportion of GDP,pct.,,10.8414897673827
2000,Manufacturing value added per capita,DKK per capita,,19860.2805322022
2000,Manufacturing value added as a proportion of GDP,pct.,,10.5302819514005
2001,Manufacturing value added per capita,DKK per capita,,23365.962156296
2001,Manufacturing value added as a proportion of GDP,pct.,,11.2595400084915
2002,Manufacturing value added per capita,DKK per capita,,23988.4973622168
2002,Manufacturing value added as a proportion of GDP,pct.,,11.2700541399692
2003,Manufacturing value added per capita,DKK per capita,,21788.4209867006
2003,Manufacturing value added as a proportion of GDP,pct.,,10.5474869369233
2004,Manufacturing value added per capita,DKK per capita,,20589.9735600601
2004,Manufacturing value added as a proportion of GDP,pct.,,9.6088336623698
2005,Manufacturing value added per capita,DKK per capita,,20052.2723972702
2005,Manufacturing value added as a proportion of GDP,pct.,,9.1604283142234
2006,Manufacturing value added per capita,DKK per capita,,22242.742420784
2006,Manufacturing value added as a proportion of GDP,pct.,,8.9334677923442
2007,Manufacturing value added per capita,DKK per capita,,23584.1143271372
2007,Manufacturing value added as a proportion of GDP,pct.,,8.9429744991322
2008,Manufacturing value added per capita,DKK per capita,,23242.9029894641
2008,Manufacturing value added as a proportion of GDP,pct.,,8.8721176646683
2009,Manufacturing value added per capita,DKK per capita,,21843.650221444
2009,Manufacturing value added as a proportion of GDP,pct.,,8.61490466248
2010,Manufacturing value added per capita,DKK per capita,,22185.9942012237
2010,Manufacturing value added as a proportion of GDP,pct.,,8.1979838648183
2011,Manufacturing value added per capita,DKK per capita,,22215.3215538925
2011,Manufacturing value added as a proportion of GDP,pct.,,7.9768966593818
2012,Manufacturing value added per capita,DKK per capita,,24185.0989522701
2012,Manufacturing value added as a proportion of GDP,pct.,,8.2748319641524
2013,Manufacturing value added per capita,DKK per capita,,24205.4247441551
2013,Manufacturing value added as a proportion of GDP,pct.,,7.7022867922031
2014,Manufacturing value added per capita,DKK per capita,,30725.9623835472
2014,Manufacturing value added as a proportion of GDP,pct.,,9.084794678015
2015,Manufacturing value added per capita,DKK per capita,,33048.4097167484
2015,Manufacturing value added as a proportion of GDP,pct.,,9.3214760062366
2016,Manufacturing value added per capita,DKK per capita,,31710.5236544568
2016,Manufacturing value added as a proportion of GDP,pct.,,8.2785058770105
2017,Manufacturing value added per capita,DKK per capita,,36255.174821686895
2017,Manufacturing value added as a proportion of GDP,pct.,,9.2351476342938
2018,Manufacturing value added per capita,DKK per capita,,35604.5338812265
2018,Manufacturing value added as a proportion of GDP,pct.,,8.9938812404394
2019,Manufacturing value added per capita,DKK per capita,,43897.8606469342
2019,Manufacturing value added as a proportion of GDP,pct.,,10.4125258775413
2020,Manufacturing value added per capita,DKK per capita,,44132.3322026146
2020,Manufacturing value added as a proportion of GDP,pct.,,10.8515144699355
2021,Manufacturing value added per capita,DKK per capita,,46547.9009283271
2021,Manufacturing value added as a proportion of GDP,pct.,,10.7790320194258
2022,Manufacturing value added per capita,DKK per capita,,48501.83269150471
2022,Manufacturing value added as a proportion of GDP,pct.,,10.3861729651105
1998,,per cent,Manufacturing value added as a proportion of GDP,10.1003687843625
1998,,DKK per capita,Manufacturing value added per capita,16805.0795077822
1999,,per cent,Manufacturing value added as a proportion of GDP,10.8414897673827
1999,,DKK per capita,Manufacturing value added per capita,18931.8772058334
2000,,per cent,Manufacturing value added as a proportion of GDP,10.5302819514005
2000,,DKK per capita,Manufacturing value added per capita,19860.2805322022
2001,,per cent,Manufacturing value added as a proportion of GDP,11.2595400084915
2001,,DKK per capita,Manufacturing value added per capita,23365.962156296
2002,,per cent,Manufacturing value added as a proportion of GDP,11.2700541399692
2002,,DKK per capita,Manufacturing value added per capita,23988.4973622168
2003,,per cent,Manufacturing value added as a proportion of GDP,10.5474869369233
2003,,DKK per capita,Manufacturing value added per capita,21788.4209867006
2004,,per cent,Manufacturing value added as a proportion of GDP,9.60883366236984
2004,,DKK per capita,Manufacturing value added per capita,20589.9735600601
2005,,per cent,Manufacturing value added as a proportion of GDP,9.16042831422344
2005,,DKK per capita,Manufacturing value added per capita,20052.2723972702
2006,,per cent,Manufacturing value added as a proportion of GDP,8.93346779234417
2006,,DKK per capita,Manufacturing value added per capita,22242.742420784
2007,,per cent,Manufacturing value added as a proportion of GDP,8.94297449913217
2007,,DKK per capita,Manufacturing value added per capita,23584.1143271372
2008,,per cent,Manufacturing value added as a proportion of GDP,8.8721176646683
2008,,DKK per capita,Manufacturing value added per capita,23242.9029894641
2009,,per cent,Manufacturing value added as a proportion of GDP,8.61490466248
2009,,DKK per capita,Manufacturing value added per capita,21843.650221444
2010,,per cent,Manufacturing value added as a proportion of GDP,8.19798386481829
2010,,DKK per capita,Manufacturing value added per capita,22185.9942012237
2011,,per cent,Manufacturing value added as a proportion of GDP,7.97689665938183
2011,,DKK per capita,Manufacturing value added per capita,22215.3215538925
2012,,per cent,Manufacturing value added as a proportion of GDP,8.27483196415235
2012,,DKK per capita,Manufacturing value added per capita,24185.0989522701
2013,,per cent,Manufacturing value added as a proportion of GDP,7.70228679220306
2013,,DKK per capita,Manufacturing value added per capita,24205.4247441551
2014,,per cent,Manufacturing value added as a proportion of GDP,9.08479467801502
2014,,DKK per capita,Manufacturing value added per capita,30725.9623835472
2015,,per cent,Manufacturing value added as a proportion of GDP,9.32147600623665
2015,,DKK per capita,Manufacturing value added per capita,33048.4097167484
2016,,per cent,Manufacturing value added as a proportion of GDP,8.27850587701049
2016,,DKK per capita,Manufacturing value added per capita,31710.5236544568
2017,,per cent,Manufacturing value added as a proportion of GDP,9.23514763429385
2017,,DKK per capita,Manufacturing value added per capita,36255.1748216869
2018,,per cent,Manufacturing value added as a proportion of GDP,8.99388124043944
2018,,DKK per capita,Manufacturing value added per capita,35604.5338812265
2019,,per cent,Manufacturing value added as a proportion of GDP,10.4125258775413
2019,,DKK per capita,Manufacturing value added per capita,43897.8606469342
2020,,per cent,Manufacturing value added as a proportion of GDP,10.8515144699355
2020,,DKK per capita,Manufacturing value added per capita,44132.3322026146
2021,,per cent,Manufacturing value added as a proportion of GDP,10.7790320194258
2021,,DKK per capita,Manufacturing value added per capita,46547.9009283271
2022,,per cent,Manufacturing value added as a proportion of GDP,10.3861729651105
2022,,DKK per capita,Manufacturing value added per capita,48501.8326915047
