Year,Series,region,sex,age,Units,GeoCode,Value
2009,Carbon dioxide emissions from fuel combustion,Total (region),,,pct.,TOTAL,4.0
2010,Carbon dioxide emissions from fuel combustion,Total (region),,,pct.,TOTAL,4.2
2011,Carbon dioxide emissions from fuel combustion,Total (region),,,pct.,TOTAL,4.4
2012,Carbon dioxide emissions from fuel combustion,Total (region),,,pct.,TOTAL,4.7
2013,Carbon dioxide emissions from fuel combustion,Total (region),,,pct.,TOTAL,3.8
2014,Carbon dioxide emissions from fuel combustion,Total (region),,,pct.,TOTAL,3.5
2015,Carbon dioxide emissions from fuel combustion,Total (region),,,pct.,TOTAL,3.4
2016,Carbon dioxide emissions from fuel combustion,Total (region),,,pct.,TOTAL,3.2
2017,Carbon dioxide emissions from fuel combustion,Total (region),,,pct.,TOTAL,3.0
2018,Carbon dioxide emissions from fuel combustion,Total (region),,,pct.,TOTAL,2.9
2019,Carbon dioxide emissions from fuel combustion,Total (region),,,pct.,TOTAL,2.6
2020,Carbon dioxide emissions from fuel combustion,Total (region),,,pct.,TOTAL,2.4
2021,Carbon dioxide emissions from fuel combustion,Total (region),,,pct.,TOTAL,2.6
2022,Carbon dioxide emissions from fuel combustion,Total (region),,,pct.,TOTAL,2.5
2009,Carbon dioxide emissions from fuel combustion,Total (region),,00-17 years,pct.,TOTAL,5.1
2010,Carbon dioxide emissions from fuel combustion,Total (region),,00-17 years,pct.,TOTAL,5.1
2011,Carbon dioxide emissions from fuel combustion,Total (region),,00-17 years,pct.,TOTAL,5.5
2012,Carbon dioxide emissions from fuel combustion,Total (region),,00-17 years,pct.,TOTAL,6.2
2013,Carbon dioxide emissions from fuel combustion,Total (region),,00-17 years,pct.,TOTAL,5.2
2014,Carbon dioxide emissions from fuel combustion,Total (region),,00-17 years,pct.,TOTAL,4.8
2015,Carbon dioxide emissions from fuel combustion,Total (region),,00-17 years,pct.,TOTAL,4.5
2016,Carbon dioxide emissions from fuel combustion,Total (region),,00-17 years,pct.,TOTAL,4.2
2017,Carbon dioxide emissions from fuel combustion,Total (region),,00-17 years,pct.,TOTAL,3.8
2018,Carbon dioxide emissions from fuel combustion,Total (region),,00-17 years,pct.,TOTAL,3.5
2019,Carbon dioxide emissions from fuel combustion,Total (region),,00-17 years,pct.,TOTAL,3.4
2020,Carbon dioxide emissions from fuel combustion,Total (region),,00-17 years,pct.,TOTAL,3.2
2021,Carbon dioxide emissions from fuel combustion,Total (region),,00-17 years,pct.,TOTAL,3.4
2022,Carbon dioxide emissions from fuel combustion,Total (region),,00-17 years,pct.,TOTAL,3.2
2009,Carbon dioxide emissions from fuel combustion,Total (region),,18-24 years,pct.,TOTAL,3.8
2010,Carbon dioxide emissions from fuel combustion,Total (region),,18-24 years,pct.,TOTAL,4.4
2011,Carbon dioxide emissions from fuel combustion,Total (region),,18-24 years,pct.,TOTAL,5.4
2012,Carbon dioxide emissions from fuel combustion,Total (region),,18-24 years,pct.,TOTAL,5.7
2013,Carbon dioxide emissions from fuel combustion,Total (region),,18-24 years,pct.,TOTAL,4.3
2014,Carbon dioxide emissions from fuel combustion,Total (region),,18-24 years,pct.,TOTAL,4.6
2015,Carbon dioxide emissions from fuel combustion,Total (region),,18-24 years,pct.,TOTAL,4.2
2016,Carbon dioxide emissions from fuel combustion,Total (region),,18-24 years,pct.,TOTAL,3.7
2017,Carbon dioxide emissions from fuel combustion,Total (region),,18-24 years,pct.,TOTAL,3.0
2018,Carbon dioxide emissions from fuel combustion,Total (region),,18-24 years,pct.,TOTAL,3.4
2019,Carbon dioxide emissions from fuel combustion,Total (region),,18-24 years,pct.,TOTAL,3.0
2020,Carbon dioxide emissions from fuel combustion,Total (region),,18-24 years,pct.,TOTAL,2.7
2021,Carbon dioxide emissions from fuel combustion,Total (region),,18-24 years,pct.,TOTAL,3.3
2022,Carbon dioxide emissions from fuel combustion,Total (region),,18-24 years,pct.,TOTAL,3.1
2009,Carbon dioxide emissions from fuel combustion,Total (region),,25-54 years,pct.,TOTAL,3.5
2010,Carbon dioxide emissions from fuel combustion,Total (region),,25-54 years,pct.,TOTAL,3.9
2011,Carbon dioxide emissions from fuel combustion,Total (region),,25-54 years,pct.,TOTAL,4.1
2012,Carbon dioxide emissions from fuel combustion,Total (region),,25-54 years,pct.,TOTAL,4.4
2013,Carbon dioxide emissions from fuel combustion,Total (region),,25-54 years,pct.,TOTAL,3.4
2014,Carbon dioxide emissions from fuel combustion,Total (region),,25-54 years,pct.,TOTAL,3.1
2015,Carbon dioxide emissions from fuel combustion,Total (region),,25-54 years,pct.,TOTAL,3.2
2016,Carbon dioxide emissions from fuel combustion,Total (region),,25-54 years,pct.,TOTAL,3.1
2017,Carbon dioxide emissions from fuel combustion,Total (region),,25-54 years,pct.,TOTAL,2.9
2018,Carbon dioxide emissions from fuel combustion,Total (region),,25-54 years,pct.,TOTAL,2.8
2019,Carbon dioxide emissions from fuel combustion,Total (region),,25-54 years,pct.,TOTAL,2.6
2020,Carbon dioxide emissions from fuel combustion,Total (region),,25-54 years,pct.,TOTAL,2.3
2021,Carbon dioxide emissions from fuel combustion,Total (region),,25-54 years,pct.,TOTAL,2.8
2022,Carbon dioxide emissions from fuel combustion,Total (region),,25-54 years,pct.,TOTAL,2.7
2009,Carbon dioxide emissions from fuel combustion,Total (region),,55-66 years,pct.,TOTAL,4.1
2010,Carbon dioxide emissions from fuel combustion,Total (region),,55-66 years,pct.,TOTAL,3.8
2011,Carbon dioxide emissions from fuel combustion,Total (region),,55-66 years,pct.,TOTAL,3.8
2012,Carbon dioxide emissions from fuel combustion,Total (region),,55-66 years,pct.,TOTAL,4.0
2013,Carbon dioxide emissions from fuel combustion,Total (region),,55-66 years,pct.,TOTAL,3.4
2014,Carbon dioxide emissions from fuel combustion,Total (region),,55-66 years,pct.,TOTAL,3.2
2015,Carbon dioxide emissions from fuel combustion,Total (region),,55-66 years,pct.,TOTAL,2.8
