Year,Series,essential service,Units,Value
1998,Proportion of total government spending,,pct.,57.9327368259905
1999,Proportion of total government spending,,pct.,59.0791532602041
2000,Proportion of total government spending,,pct.,57.4425414330342
2001,Proportion of total government spending,,pct.,57.686316104582
2002,Proportion of total government spending,,pct.,57.595412829352
2003,Proportion of total government spending,,pct.,59.758717493869
2004,Proportion of total government spending,,pct.,59.6353850736043
2005,Proportion of total government spending,,pct.,61.0903106995563
2006,Proportion of total government spending,,pct.,60.4749009823648
2007,Proportion of total government spending,,pct.,61.983232652845
2008,Proportion of total government spending,,pct.,62.6495998388496
2009,Proportion of total government spending,,pct.,65.4307791615846
2010,Proportion of total government spending,,pct.,67.4228703921674
2011,Proportion of total government spending,,pct.,66.5579057067
2012,Proportion of total government spending,,pct.,65.2055485230558
2013,Proportion of total government spending,,pct.,64.1417331765973
2014,Proportion of total government spending,,pct.,64.5460380147189
2015,Proportion of total government spending,,pct.,63.8642966717478
2016,Proportion of total government spending,,pct.,63.75930238174
2017,Proportion of total government spending,,pct.,62.6383111632433
2018,Proportion of total government spending,,pct.,61.0880099757715
2019,Proportion of total government spending,,pct.,60.7495405493263
2020,Proportion of total government spending,,pct.,61.6813480576337
2021,Proportion of total government spending,,pct.,62.5078928869652
2022,Proportion of total government spending,,pct.,61.9143356996597
2023,Proportion of total government spending,,pct.,60.3946672935885
2024,Proportion of total government spending,,pct.,61.311630741748
1998,Proportion of total government spending,Education,pct.,11.8024752058968
1999,Proportion of total government spending,Education,pct.,12.607620582103
2000,Proportion of total government spending,Education,pct.,12.1729505562907
2001,Proportion of total government spending,Education,pct.,12.9812148439067
2002,Proportion of total government spending,Education,pct.,12.9765134865429
2003,Proportion of total government spending,Education,pct.,13.0328980622702
2004,Proportion of total government spending,Education,pct.,12.653351395308
2005,Proportion of total government spending,Education,pct.,13.1896797560359
2006,Proportion of total government spending,Education,pct.,13.0618962753835
2007,Proportion of total government spending,Education,pct.,13.1126886860691
2008,Proportion of total government spending,Education,pct.,12.7008909952622
2009,Proportion of total government spending,Education,pct.,13.0951753024816
2010,Proportion of total government spending,Education,pct.,13.1489354478668
2011,Proportion of total government spending,Education,pct.,13.8441338461247
2012,Proportion of total government spending,Education,pct.,13.6528097466331
2013,Proportion of total government spending,Education,pct.,13.6556373514429
2014,Proportion of total government spending,Education,pct.,13.3549529445527
2015,Proportion of total government spending,Education,pct.,13.2423619464801
2016,Proportion of total government spending,Education,pct.,13.1669157380705
2017,Proportion of total government spending,Education,pct.,13.3385671534809
2018,Proportion of total government spending,Education,pct.,13.0533754577402
2019,Proportion of total government spending,Education,pct.,13.0968818510066
2020,Proportion of total government spending,Education,pct.,13.2848550750465
2021,Proportion of total government spending,Education,pct.,14.77723660904
2022,Proportion of total government spending,Education,pct.,13.6301418195714
2023,Proportion of total government spending,Education,pct.,13.2001255078773
2024,Proportion of total government spending,Education,pct.,13.2644583361547
1998,Proportion of total government spending,Health,pct.,12.4858215092456
1999,Proportion of total government spending,Health,pct.,13.4158236209376
2000,Proportion of total government spending,Health,pct.,13.2078020551192
2001,Proportion of total government spending,Health,pct.,13.5111571508896
2002,Proportion of total government spending,Health,pct.,13.1854027851923
2003,Proportion of total government spending,Health,pct.,13.8211420791398
2004,Proportion of total government spending,Health,pct.,13.8393092429009
2005,Proportion of total government spending,Health,pct.,13.7878181877564
2006,Proportion of total government spending,Health,pct.,14.4284066069211
2007,Proportion of total government spending,Health,pct.,16.2057115550185
2008,Proportion of total government spending,Health,pct.,17.4869830423715
2009,Proportion of total government spending,Health,pct.,16.2848727755907
2010,Proportion of total government spending,Health,pct.,16.4473684963043
2011,Proportion of total government spending,Health,pct.,15.3296359524293
2012,Proportion of total government spending,Health,pct.,14.4542077760391
2013,Proportion of total government spending,Health,pct.,15.4890607413413
2014,Proportion of total government spending,Health,pct.,16.5589645648069
2015,Proportion of total government spending,Health,pct.,15.8056188674361
2016,Proportion of total government spending,Health,pct.,16.0588003197375
2017,Proportion of total government spending,Health,pct.,16.2481495202188
2018,Proportion of total government spending,Health,pct.,16.218989346959
2019,Proportion of total government spending,Health,pct.,14.5454753347564
2020,Proportion of total government spending,Health,pct.,14.3891745482658
2021,Proportion of total government spending,Health,pct.,13.0822913009644
2022,Proportion of total government spending,Health,pct.,13.1183597497326
2023,Proportion of total government spending,Health,pct.,13.263170982572
2024,Proportion of total government spending,Health,pct.,13.3979681950728
1998,Proportion of total government spending,Social protection,pct.,33.644440110848
1999,Proportion of total government spending,Social protection,pct.,33.0557090571634
2000,Proportion of total government spending,Social protection,pct.,32.0617888216242
2001,Proportion of total government spending,Social protection,pct.,31.1939441097857
2002,Proportion of total government spending,Social protection,pct.,31.4334965576168
2003,Proportion of total government spending,Social protection,pct.,32.904677352459
2004,Proportion of total government spending,Social protection,pct.,33.1427244353954
2005,Proportion of total government spending,Social protection,pct.,34.112812755764
2006,Proportion of total government spending,Social protection,pct.,32.9845981000602
2007,Proportion of total government spending,Social protection,pct.,32.6648324117574
2008,Proportion of total government spending,Social protection,pct.,32.461725801216
2009,Proportion of total government spending,Social protection,pct.,36.0507310835123
2010,Proportion of total government spending,Social protection,pct.,37.8265664479963
2011,Proportion of total government spending,Social protection,pct.,37.384135908146
2012,Proportion of total government spending,Social protection,pct.,37.0985310003835
2013,Proportion of total government spending,Social protection,pct.,34.9970350838131
2014,Proportion of total government spending,Social protection,pct.,34.6321205053593
2015,Proportion of total government spending,Social protection,pct.,34.8163158578317
2016,Proportion of total government spending,Social protection,pct.,34.5335863239321
2017,Proportion of total government spending,Social protection,pct.,33.0515944895436
2018,Proportion of total government spending,Social protection,pct.,31.8156451710723
2019,Proportion of total government spending,Social protection,pct.,33.1071833635633
2020,Proportion of total government spending,Social protection,pct.,34.0073184343215
2021,Proportion of total government spending,Social protection,pct.,34.6483649769607
2022,Proportion of total government spending,Social protection,pct.,35.1658341303556
2023,Proportion of total government spending,Social protection,pct.,33.9313708031391
2024,Proportion of total government spending,Social protection,pct.,34.6492042105205
