Year,Units,Series,growth rate of disposable income,Value
2010,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,0.46231458045049
2010,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,1.11862104734931
2011,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,0.65006964421212
2011,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,2.8723171982252
2012,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,2.47797456042508
2012,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,7.81914494985801
2013,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,3.11652474025707
2013,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,2.3229403547156
2014,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,2.20546221513906
2014,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,2.37976356490782
2015,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,1.95726180961168
2015,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,2.68964530101533
2016,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,4.55801483245514
2016,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,3.87072843946727
2017,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,4.30316659397036
2017,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,2.47658393998673
2018,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,4.00859717436266
2018,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,3.26581898874837
2019,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,5.50312903850416
2019,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,2.73948433383327
2020,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,5.77781608556204
2020,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,1.02208083834439
2021,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Bottom 40 per cent of the population,3.35324806943705
2021,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Total population,2.62683691820674
