Year,Series,sex,age,Units,Value
2009,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,,pct.,3.9
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,,pct.,4.1
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,,pct.,4.4
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,,pct.,4.7
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,,pct.,3.7
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,,pct.,3.6
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,,pct.,3.3
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,,pct.,3.3
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,,pct.,3.0
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,,pct.,2.9
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,,pct.,2.6
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,,pct.,2.4
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,,pct.,2.6
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,,pct.,2.5
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,,pct.,2.5
2024,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,,pct.,2.9
2009,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 0 - 17,pct.,5.2
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 0 - 17,pct.,5.4
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 0 - 17,pct.,5.7
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 0 - 17,pct.,6.3
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 0 - 17,pct.,5.2
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 0 - 17,pct.,5.0
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 0 - 17,pct.,4.4
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 0 - 17,pct.,4.4
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 0 - 17,pct.,3.9
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 0 - 17,pct.,3.5
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 0 - 17,pct.,3.4
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 0 - 17,pct.,3.4
