Year,data.location,data.sizeofparticulatematter,Value
2014,data.havnardalur-rural,data.pm10,7.83
2014,data.havnardalur-rural,data.pm25,4.82
2014,data.bokjarabrekka-urban,data.pm10,11.8
2014,data.bokjarabrekka-urban,data.pm25,6.36
2015,data.havnardalur-rural,data.pm10,7.59
2015,data.havnardalur-rural,data.pm25,4.49
2015,data.bokjarabrekka-urban,data.pm10,11.0
2015,data.bokjarabrekka-urban,data.pm25,5.61
2016,data.havnardalur-rural,data.pm10,7.13
2016,data.havnardalur-rural,data.pm25,4.13
2016,data.bokjarabrekka-urban,data.pm10,10.1
2016,data.bokjarabrekka-urban,data.pm25,4.96
2017,data.havnardalur-rural,data.pm10,8.08
2017,data.havnardalur-rural,data.pm25,4.7
2017,data.bokjarabrekka-urban,data.pm10,11.1
2017,data.bokjarabrekka-urban,data.pm25,5.63
2018,data.havnardalur-rural,data.pm10,8.81
2018,data.havnardalur-rural,data.pm25,4.99
2018,data.bokjarabrekka-urban,data.pm10,12.5
2018,data.bokjarabrekka-urban,data.pm25,6.28
2019,data.havnardalur-rural,data.pm10,7.34
2019,data.havnardalur-rural,data.pm25,4.14
2019,data.bokjarabrekka-urban,data.pm10,11.4
2019,data.bokjarabrekka-urban,data.pm25,5.72
2019,data.kaldbak-rural,data.pm10,8.44
2019,data.kaldbak-rural,data.pm25,4.53
2020,data.havnardalur-rural,data.pm10,8.79
2020,data.havnardalur-rural,data.pm25,4.67
2020,data.kaldbak-rural,data.pm10,8.65
2020,data.kaldbak-rural,data.pm25,4.57
2021,data.havnardalur-rural,data.pm10,7.34
2021,data.havnardalur-rural,data.pm25,4.21
2021,data.kaldbak-rural,data.pm10,8.07
2021,data.kaldbak-rural,data.pm25,4.35
