Year,Series,indicator,Units,Value
1998,Total,Domestic material consumption,"1,000 tonnes",816.9804
1998,Total,Domestic material consumption per capita,"1,000 tonnes",18.3619985166206
1998,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",109.453176495807
1998,Biomass,Domestic material consumption,"1,000 tonnes",357.4399
1998,Biomass,Domestic material consumption per capita,"1,000 tonnes",8.0336210190367
1998,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",47.887235068728096
1998,Metallic minerals,Domestic material consumption,"1,000 tonnes",2.6467
1998,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.059485761805228
1998,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.354585889981512
1998,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",287.7992
1998,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",6.46841525633246
1998,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",38.557273384957504
1998,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",169.0946
1998,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",3.80047647944621
1998,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",22.6540821521396
1999,Total,Domestic material consumption,"1,000 tonnes",876.179
1999,Total,Domestic material consumption per capita,"1,000 tonnes",19.4486026947238
1999,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",110.995844840254
1999,Biomass,Domestic material consumption,"1,000 tonnes",364.6673
1999,Biomass,Domestic material consumption per capita,"1,000 tonnes",8.09454396128832
1999,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",46.196673338569504
1999,Metallic minerals,Domestic material consumption,"1,000 tonnes",3.847
1999,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.085392111162904
1999,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.487344498213788
1999,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",311.0436
1999,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",6.90425517746554
1999,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",39.4035318857838
1999,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",196.6212
1999,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",4.36441366451355
1999,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",24.9083077858573
2000,Total,Domestic material consumption,"1,000 tonnes",1134.8877
2000,Total,Domestic material consumption per capita,"1,000 tonnes",24.8146956892499
2000,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",131.428801389693
2000,Biomass,Domestic material consumption,"1,000 tonnes",430.5354
2000,Biomass,Domestic material consumption per capita,"1,000 tonnes",9.41379921066154
2000,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",49.859339895773
2000,Metallic minerals,Domestic material consumption,"1,000 tonnes",5.5322
2000,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.120963386502531
2000,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.640671685002895
2000,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",497.3744
2000,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",10.8752560976943
2000,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",57.5998147075854
2000,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",201.4457
2000,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",4.40467699439154
2000,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",23.3289751013318
2001,Total,Domestic material consumption,"1,000 tonnes",1171.6473
2001,Total,Domestic material consumption per capita,"1,000 tonnes",25.1783061847252
2001,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",121.146826176419
2001,Biomass,Domestic material consumption,"1,000 tonnes",478.6818
2001,Biomass,Domestic material consumption per capita,"1,000 tonnes",10.286710792109
2001,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",49.495083391064306
2001,Metallic minerals,Domestic material consumption,"1,000 tonnes",7.1933
2001,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.154581596252203
2001,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.74377798227746
2001,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",467.5236
2001,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",10.0469248291572
2001,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",48.3413398405592
2001,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",218.2485
2001,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",4.69008681824043
2001,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",22.5666146226464
2002,Total,Domestic material consumption,"1,000 tonnes",1120.9659
2002,Total,Domestic material consumption per capita,"1,000 tonnes",23.7018236792862
2002,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",111.244457455888
2002,Biomass,Domestic material consumption,"1,000 tonnes",467.8751
2002,Biomass,Domestic material consumption per capita,"1,000 tonnes",9.89280148854518
2002,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",46.431842089593694
2002,Metallic minerals,Domestic material consumption,"1,000 tonnes",5.3165
2002,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.112412648405206
2002,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.527608518746403
2002,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",456.5578
2002,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",9.65350727885906
2002,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",45.308715241252
2002,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",191.2165
