Year,Units,Series,Frequency of Chlorophyll-a concentration,Nutrient,Value
1996,pct.,"Nutrients in coastal waters, deviation from mean, nitrogen",,,-0.197566104175421
1996,pct.,"Nutrients in coastal waters, deviation from mean, silica",,,22.9182946896709
1997,pct.,"Nutrients in coastal waters, deviation from mean, nitrogen",,,-8.7286874793917
1997,pct.,"Nutrients in coastal waters, deviation from mean, silica",,,51.4038234364231
1998,pct.,"Nutrients in coastal waters, deviation from mean, nitrogen",,,-5.10588252528154
1998,pct.,"Nutrients in coastal waters, deviation from mean, silica",,,-5.1863755943328
1999,pct.,"Nutrients in coastal waters, deviation from mean, nitrogen",,,-0.197566104175421
2000,pct.,"Nutrients in coastal waters, deviation from mean, nitrogen",,,-0.836669804840281
2000,pct.,"Nutrients in coastal waters, deviation from mean, silica",,,9.75434967394894
2001,pct.,"Nutrients in coastal waters, deviation from mean, nitrogen",,,2.61449017874997
2001,pct.,"Nutrients in coastal waters, deviation from mean, silica",,,13.0881195840666
2002,pct.,"Nutrients in coastal waters, deviation from mean, nitrogen",,,1.26811174328442
2002,pct.,"Nutrients in coastal waters, deviation from mean, silica",,,3.46934609363656
2003,pct.,"Nutrients in coastal waters, deviation from mean, nitrogen",,,-0.759977360760495
2003,pct.,"Nutrients in coastal waters, deviation from mean, silica",,,2.66736219650497
2004,pct.,"Nutrients in coastal waters, deviation from mean, nitrogen",,,-1.93592816998383
2004,pct.,"Nutrients in coastal waters, deviation from mean, silica",,,-5.03705222318012
2005,pct.,"Chlorophyll-a deviations, remote sensing",,,4.89118
2005,pct.,"Nutrients in coastal waters, deviation from mean, nitrogen",,,4.47702095185824
2005,pct.,"Nutrients in coastal waters, deviation from mean, silica",,,6.28803429596037
2006,pct.,"Chlorophyll-a deviations, remote sensing",,,3.70124
2006,pct.,"Nutrients in coastal waters, deviation from mean, nitrogen",,,0.67891899439505
2006,pct.,"Nutrients in coastal waters, deviation from mean, silica",,,-3.66797511244391
2007,pct.,"Chlorophyll-a deviations, remote sensing",,,3.06608
2007,pct.,"Nutrients in coastal waters, deviation from mean, nitrogen",,,0.562054270956175
2008,pct.,"Chlorophyll-a deviations, remote sensing",,,5.38985
2008,pct.,"Nutrients in coastal waters, deviation from mean, nitrogen",,,5.28338723272642
2009,pct.,"Chlorophyll-a deviations, remote sensing",,,8.33331
2009,pct.,"Nutrients in coastal waters, deviation from mean, nitrogen",,,6.54318844747699
2009,pct.,"Nutrients in coastal waters, deviation from mean, phosphate",,,-11.4062390330222
2010,pct.,"Chlorophyll-a deviations, remote sensing",,,10.04076
2010,pct.,"Nutrients in coastal waters, deviation from mean, nitrogen",,,-6.73497614175494
2010,pct.,"Nutrients in coastal waters, deviation from mean, silica",,,23.0827181681397
2010,pct.,"Nutrients in coastal waters, deviation from mean, phosphate",,,10.7650663183037
2011,pct.,"Chlorophyll-a deviations, remote sensing",,,11.6396
2011,pct.,"Nutrients in coastal waters, deviation from mean, nitrogen",,,-1.0503860823426
2011,pct.,"Nutrients in coastal waters, deviation from mean, silica",,,-7.1336193607715
2011,pct.,"Nutrients in coastal waters, deviation from mean, phosphate",,,7.13302112696265
