Year,Source,Series,Units,Value
2002,Police,,,0.0
2002,Chief Medical Officer,,,..
2003,Police,,,0.0
2003,Chief Medical Officer,,,..
2004,Police,,,0.0
2004,Chief Medical Officer,,,..
2005,Police,,,0.0
2005,Chief Medical Officer,,,..
2006,Police,,,0.0
2006,Chief Medical Officer,,,..
2007,Police,,,0.0
2007,Chief Medical Officer,,,0.0
2008,Police,,,0.0
2008,Chief Medical Officer,,,0.0
2009,Police,,,0.0
2009,Chief Medical Officer,,,0.0
2010,Police,,,0.0
2010,Chief Medical Officer,,,0.0
2011,Police,,,4.1
2011,Chief Medical Officer,,,0.0
2012,Police,,,0.0
2012,Chief Medical Officer,,,0.0
2013,Police,,,2.1
2013,Chief Medical Officer,,,2.1
2014,Police,,,2.1
2014,Chief Medical Officer,,,4.1
2015,Police,,,0.0
2015,Chief Medical Officer,,,0.0
2016,Police,,,0.0
2016,Chief Medical Officer,,,0.0
2017,Police,,,0.0
2017,Chief Medical Officer,,,0.0
2018,Police,,,0.0
2018,Chief Medical Officer,,,0.0
2019,Police,,,0.0
2019,Chief Medical Officer,,,0.0
2020,Police,,,0.0
2020,Chief Medical Officer,,,0.0
2021,Police,,,
2021,Chief Medical Officer,,,0.0
2002,,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2003,,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2004,,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2005,,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2006,,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2007,,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2007,,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2008,,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2008,,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2009,,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2009,,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2010,,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2010,,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2011,,The police,"Number of victims of intentional homicide per 100,000 population",4.13860177339086
2011,,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2012,,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2012,,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2013,,The police,"Number of victims of intentional homicide per 100,000 population",2.07867796081692
2013,,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",2.07867796081692
2014,,The police,"Number of victims of intentional homicide per 100,000 population",2.06675622610313
2014,,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",4.13351245220626
2015,,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2015,,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2016,,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2016,,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2017,,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2017,,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2018,,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2018,,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2019,,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2019,,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2020,,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2020,,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2021,,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
