Year,Series,source,Units,Value
1998,Total government revenue,Total,pct.,76.9667252242155
1999,Total government revenue,Total,pct.,41.1013335732937
2000,Total government revenue,Total,pct.,3.65543313775497
2001,Total government revenue,Total,pct.,14.9175713748071
2002,Total government revenue,Total,pct.,17.2923871383597
2003,Total government revenue,Total,pct.,64.9242632804708
2004,Total government revenue,Total,pct.,42.486267050796
2005,Total government revenue,Total,pct.,3.45620392864751
2006,Total government revenue,Total,pct.,14.3802997590251
2007,Total government revenue,Total,pct.,4.6014925420022
2008,Total government revenue,Total,pct.,62.7004266269981
2009,Total government revenue,Total,pct.,41.9506117910975
2010,Total government revenue,Total,pct.,3.06528720673378
2011,Total government revenue,Total,pct.,13.4981614780641
2012,Total government revenue,Total,pct.,4.18636615110275
2013,Total government revenue,Total,pct.,60.9049129606961
2014,Total government revenue,Total,pct.,41.3474914934314
2015,Total government revenue,Total,pct.,2.87261924971896
2016,Total government revenue,Total,pct.,12.2226117535807
2017,Total government revenue,Total,pct.,4.46219046396503
2018,Total government revenue,Total,pct.,57.452800330375
2019,Total government revenue,Total,pct.,42.1714581071165
2020,Total government revenue,Total,pct.,3.04871866886696
2021,Total government revenue,Total,pct.,8.00276233183196
2022,Total government revenue,Total,pct.,4.22986122255964
1998,Total government revenue,Taxes,pct.,57.2206690055544
1999,Total government revenue,Taxes,pct.,42.7386327228677
2000,Total government revenue,Taxes,pct.,2.45393147423849
2001,Total government revenue,Taxes,pct.,8.0763453091597
2002,Total government revenue,Taxes,pct.,3.9517594992885
2003,Total government revenue,Taxes,pct.,54.673363504235
2004,Total government revenue,Taxes,pct.,40.5847746752298
2005,Total government revenue,Taxes,pct.,2.74745869525663
2006,Total government revenue,Taxes,pct.,7.91914565103381
2007,Total government revenue,Taxes,pct.,3.42198448271484
2008,Total government revenue,Taxes,pct.,54.9931271473713
2009,Total government revenue,Taxes,pct.,40.1773718496295
2010,Total government revenue,Taxes,pct.,3.20573713925556
2011,Total government revenue,Taxes,pct.,7.66515155762289
2012,Total government revenue,Taxes,pct.,3.94486660086341
2013,Total government revenue,Taxes,pct.,53.9400836780858
2014,Total government revenue,Taxes,pct.,39.7201904793481
2015,Total government revenue,Taxes,pct.,3.63206508967874
2016,Total government revenue,Taxes,pct.,6.6949010705345
2017,Total government revenue,Taxes,pct.,3.89292703852442
2018,Total government revenue,Taxes,pct.,54.7974861106748
2019,Total government revenue,Taxes,pct.,40.5509093826046
2020,Total government revenue,Taxes,pct.,4.19386547562816
2021,Total government revenue,Taxes,pct.,6.39760827049944
2022,Total government revenue,Taxes,pct.,3.6551029819426
1998,Total government revenue,Social contributions,pct.,56.4170091857637
1999,Total government revenue,Social contributions,pct.,40.7241722686747
2000,Total government revenue,Social contributions,pct.,4.57865302018682
2001,Total government revenue,Social contributions,pct.,6.51032150014175
2002,Total government revenue,Social contributions,pct.,4.60386239676046
2003,Total government revenue,Social contributions,pct.,55.5810871894031
2004,Total government revenue,Social contributions,pct.,39.153087597844
2005,Total government revenue,Social contributions,pct.,4.63243428470746
2006,Total government revenue,Social contributions,pct.,6.75123270885988
2007,Total government revenue,Social contributions,pct.,5.04433259799169
2008,Total government revenue,Social contributions,pct.,52.7947120044163
2009,Total government revenue,Social contributions,pct.,38.4827363037564
2010,Total government revenue,Social contributions,pct.,4.53630685935457
2011,Total government revenue,Social contributions,pct.,6.43501320996692
2012,Total government revenue,Social contributions,pct.,3.34065563133844
2013,Total government revenue,Social contributions,pct.,54.5253737265368
2014,Total government revenue,Social contributions,pct.,39.2644240107074
2015,Total government revenue,Social contributions,pct.,4.52030371271108
2016,Total government revenue,Social contributions,pct.,6.30582739597567
2017,Total government revenue,Social contributions,pct.,4.43481860714262
2018,Total government revenue,Social contributions,pct.,52.6214035376377
2019,Total government revenue,Social contributions,pct.,38.1151855530991
2020,Total government revenue,Social contributions,pct.,4.7050076963826
2021,Total government revenue,Social contributions,pct.,6.02582391591132
2022,Total government revenue,Social contributions,pct.,3.77538637224472
1998,Total government revenue,Grants,pct.,49.8779159178062
1999,Total government revenue,Grants,pct.,35.6375783163359
2000,Total government revenue,Grants,pct.,4.45643472324888
2001,Total government revenue,Grants,pct.,5.63391836689358
2002,Total government revenue,Grants,pct.,4.14998451132786
2003,Total government revenue,Grants,pct.,48.6523952497825
2004,Total government revenue,Grants,pct.,35.3902304518966
2005,Total government revenue,Grants,pct.,4.28620448285755
2006,Total government revenue,Grants,pct.,5.2571734869628
2007,Total government revenue,Grants,pct.,3.71878682806557
2008,Total government revenue,Grants,pct.,49.1100770043114
2009,Total government revenue,Grants,pct.,36.3855985368122
2010,Total government revenue,Grants,pct.,4.39047922797352
2011,Total government revenue,Grants,pct.,5.04301658528117
2012,Total government revenue,Grants,pct.,3.29098265424452
2013,Total government revenue,Grants,pct.,48.1002184704446
2014,Total government revenue,Grants,pct.,34.8074857711705
2015,Total government revenue,Grants,pct.,4.66042976101505
2016,Total government revenue,Grants,pct.,4.62821967542453
2017,Total government revenue,Grants,pct.,4.00408326283448
2018,Total government revenue,Grants,pct.,50.6061690328494
2019,Total government revenue,Grants,pct.,36.1715848973976
2020,Total government revenue,Grants,pct.,4.72682699165009
2021,Total government revenue,Grants,pct.,4.46764176793849
2022,Total government revenue,Grants,pct.,5.24011537586325
1998,Total government revenue,Other revenue,pct.,52.8511763070294
1999,Total government revenue,Other revenue,pct.,36.9255472184497
2000,Total government revenue,Other revenue,pct.,5.04647655364117
2001,Total government revenue,Other revenue,pct.,4.3387480732811
2002,Total government revenue,Other revenue,pct.,6.54040446165738
2003,Total government revenue,Other revenue,pct.,50.3679975835817
2004,Total government revenue,Other revenue,pct.,36.2185231967898
2005,Total government revenue,Other revenue,pct.,5.39630886913629
2006,Total government revenue,Other revenue,pct.,4.04723165185222
2007,Total government revenue,Other revenue,pct.,4.70593386580344
2008,Total government revenue,Other revenue,pct.,51.6579138391583
2009,Total government revenue,Other revenue,pct.,38.0426642563261
2010,Total government revenue,Other revenue,pct.,5.69238890185315
2011,Total government revenue,Other revenue,pct.,4.06592513182251
2012,Total government revenue,Other revenue,pct.,3.85693554915651
2013,Total government revenue,Other revenue,pct.,51.1253687513937
2014,Total government revenue,Other revenue,pct.,36.3293210609129
2015,Total government revenue,Other revenue,pct.,5.3664556959798
2016,Total government revenue,Other revenue,pct.,3.80987022529218
2017,Total government revenue,Other revenue,pct.,5.61972176920882
2018,Total government revenue,Other revenue,pct.,48.8886723048309
2019,Total government revenue,Other revenue,pct.,35.4260557594816
2020,Total government revenue,Other revenue,pct.,5.14023564273205
2021,Total government revenue,Other revenue,pct.,3.53704169014344
2022,Total government revenue,Other revenue,pct.,4.78533921247384
