Year,Units,Import/Export,Country group,Value
1988,per cent,Merchandise import,Developing countries and least developed countries,1.74765089084975
1988,DKK mill.,Merchandise import,Developing countries and least developed countries,56.2864
1988,per cent,Merchandise import,Developing countries and least developed countries excluding China,1.60522794967164
1988,DKK mill.,Merchandise import,Developing countries and least developed countries excluding China,51.6994
1988,per cent,Merchandise import,Least developed countries,0.0
1988,DKK mill.,Merchandise import,Least developed countries,0.0
1988,per cent,Merchandise export,Developing countries and least developed countries,3.93581729623007
1988,DKK mill.,Merchandise export,Developing countries and least developed countries,92.2814
1988,per cent,Merchandise export,Developing countries and least developed countries excluding China,3.93581729623007
1988,DKK mill.,Merchandise export,Developing countries and least developed countries excluding China,92.2814
1988,per cent,Merchandise export,Least developed countries,0.0
1988,DKK mill.,Merchandise export,Least developed countries,0.0
1989,per cent,Merchandise import,Developing countries and least developed countries,1.77911030691784
1989,DKK mill.,Merchandise import,Developing countries and least developed countries,45.0167
1989,per cent,Merchandise import,Developing countries and least developed countries excluding China,1.63539966599913
1989,DKK mill.,Merchandise import,Developing countries and least developed countries excluding China,41.3804
1989,per cent,Merchandise import,Least developed countries,0.0
1989,DKK mill.,Merchandise import,Least developed countries,0.0
1989,per cent,Merchandise export,Developing countries and least developed countries,0.911640274687631
1989,DKK mill.,Merchandise export,Developing countries and least developed countries,23.0665
1989,per cent,Merchandise export,Developing countries and least developed countries excluding China,0.911640274687631
1989,DKK mill.,Merchandise export,Developing countries and least developed countries excluding China,23.0665
1989,per cent,Merchandise export,Least developed countries,0.0
1989,DKK mill.,Merchandise export,Least developed countries,0.0
1990,per cent,Merchandise import,Developing countries and least developed countries,1.60032591777006
1990,DKK mill.,Merchandise import,Developing countries and least developed countries,33.3541
1990,per cent,Merchandise import,Developing countries and least developed countries excluding China,1.42916727021365
1990,DKK mill.,Merchandise import,Developing countries and least developed countries excluding China,29.7868
1990,per cent,Merchandise import,Least developed countries,0.0
1990,DKK mill.,Merchandise import,Least developed countries,0.0
1990,per cent,Merchandise export,Developing countries and least developed countries,0.374552664620874
1990,DKK mill.,Merchandise export,Developing countries and least developed countries,9.6577
1990,per cent,Merchandise export,Developing countries and least developed countries excluding China,0.374552664620874
1990,DKK mill.,Merchandise export,Developing countries and least developed countries excluding China,9.6577
1990,per cent,Merchandise export,Least developed countries,0.0
1990,DKK mill.,Merchandise export,Least developed countries,0.0
1991,per cent,Merchandise import,Developing countries and least developed countries,1.71635361340566
1991,DKK mill.,Merchandise import,Developing countries and least developed countries,33.2322
1991,per cent,Merchandise import,Developing countries and least developed countries excluding China,1.48908997136363
1991,DKK mill.,Merchandise import,Developing countries and least developed countries excluding China,28.8319
1991,per cent,Merchandise import,Least developed countries,0.0
1991,DKK mill.,Merchandise import,Least developed countries,0.0
1991,per cent,Merchandise export,Developing countries and least developed countries,0.672812512628672
1991,DKK mill.,Merchandise export,Developing countries and least developed countries,18.7134
1991,per cent,Merchandise export,Developing countries and least developed countries excluding China,0.672812512628672
1991,DKK mill.,Merchandise export,Developing countries and least developed countries excluding China,18.7134
1991,per cent,Merchandise export,Least developed countries,0.0
1991,DKK mill.,Merchandise export,Least developed countries,0.0
1992,per cent,Merchandise import,Developing countries and least developed countries,2.85819986968174
1992,DKK mill.,Merchandise import,Developing countries and least developed countries,57.2174
1992,per cent,Merchandise import,Developing countries and least developed countries excluding China,2.41371011201336
1992,DKK mill.,Merchandise import,Developing countries and least developed countries excluding China,48.3193
1992,per cent,Merchandise import,Least developed countries,0.0
1992,DKK mill.,Merchandise import,Least developed countries,0.0
1992,per cent,Merchandise export,Developing countries and least developed countries,0.85894353946571
1992,DKK mill.,Merchandise export,Developing countries and least developed countries,22.6652
1992,per cent,Merchandise export,Developing countries and least developed countries excluding China,0.85894353946571
1992,DKK mill.,Merchandise export,Developing countries and least developed countries excluding China,22.6652
1992,per cent,Merchandise export,Least developed countries,0.0
1992,DKK mill.,Merchandise export,Least developed countries,0.0
1993,per cent,Merchandise import,Developing countries and least developed countries,3.19405004347848
1993,DKK mill.,Merchandise import,Developing countries and least developed countries,45.5506
1993,per cent,Merchandise import,Developing countries and least developed countries excluding China,2.44874178174036
1993,DKK mill.,Merchandise import,Developing countries and least developed countries excluding China,34.9217
1993,per cent,Merchandise import,Least developed countries,0.0
1993,DKK mill.,Merchandise import,Least developed countries,0.0
1993,per cent,Merchandise export,Developing countries and least developed countries,1.77046270688178
1993,DKK mill.,Merchandise export,Developing countries and least developed countries,37.7538
1993,per cent,Merchandise export,Developing countries and least developed countries excluding China,1.77046270688178
1993,DKK mill.,Merchandise export,Developing countries and least developed countries excluding China,37.7538
1993,per cent,Merchandise export,Least developed countries,0.0
1993,DKK mill.,Merchandise export,Least developed countries,0.0
1994,per cent,Merchandise import,Developing countries and least developed countries,4.20988229531009
1994,DKK mill.,Merchandise import,Developing countries and least developed countries,65.933
1994,per cent,Merchandise import,Developing countries and least developed countries excluding China,3.1130896097132
1994,DKK mill.,Merchandise import,Developing countries and least developed countries excluding China,48.7556
1994,per cent,Merchandise import,Least developed countries,0.0
1994,DKK mill.,Merchandise import,Least developed countries,0.0
1994,per cent,Merchandise export,Developing countries and least developed countries,0.357895558128469
1994,DKK mill.,Merchandise export,Developing countries and least developed countries,7.4311
1994,per cent,Merchandise export,Developing countries and least developed countries excluding China,0.357895558128469
