Year,Measure,Type of product,Value
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Total,3.65506
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Agricultural products,8.80365
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Industrial products,3.43279
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Clothing,12.95968
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Textiles,8.68377
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)",Total,3.6469
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)",Agricultural products,8.80333
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)",Industrial products,3.42459
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)",Clothing,12.70205
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)",Textiles,8.43693
2001,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",,
2001,"Average tariff applied by developed countries, preferential status, by type of product (%)",,
2002,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",,
2002,"Average tariff applied by developed countries, preferential status, by type of product (%)",,
2003,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",,
2003,"Average tariff applied by developed countries, preferential status, by type of product (%)",,
2004,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",,
2004,"Average tariff applied by developed countries, preferential status, by type of product (%)",,
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Total,3.6273
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Agricultural products,7.72954
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Industrial products,3.41948
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Clothing,12.31428
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Textiles,7.12526
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)",Total,2.19914
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)",Agricultural products,7.72797
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)",Industrial products,1.99135
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)",Clothing,8.48158
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)",Textiles,3.61837
2006,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",,
2006,"Average tariff applied by developed countries, preferential status, by type of product (%)",,
2007,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",,
2007,"Average tariff applied by developed countries, preferential status, by type of product (%)",,
2008,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",,
2008,"Average tariff applied by developed countries, preferential status, by type of product (%)",,
2009,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",,
2009,"Average tariff applied by developed countries, preferential status, by type of product (%)",,
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Total,3.63485
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Agricultural products,8.0428
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Industrial products,3.41774
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Clothing,12.18176
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Textiles,7.47911
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)",Total,2.20609
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)",Agricultural products,7.63392
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)",Industrial products,1.99218
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)",Clothing,8.3488
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)",Textiles,3.92568
