Year,data.measure,Value
1998,data.merchandisetrade,73.1
1998,data.personalremittances,4.2
1998,data.currentaccountbalance,19.2
1998,data.foreigndirectinvestment,..
1998,data.portfolioinvestment,..
1998,data.reservesinmonthsofimports,..
1998,data.debtservice,..
1998,data.externaldebtstocks,..
1998,data.DECalternativeconversionfactor,669.7
1998,data.annualbroadmoneygrowth,..
1998,data.broadmoney,..
1998,data.banknonperformingloans,..
1998,data.bankcapitaltoassetsratio,..
1998,data.taxrevenuegdp,44.4
1998,data.cashsurplusdeficit,31.3
1998,data.grossPSD,..
1998,data.annualGDPgrowth,..
1998,data.annualgrowthofthegrosscapitalformation,..
1998,data.annualgrowthofhouseholdsandNPISHs,..
1998,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,..
1998,data.annualgrowthofexportsofgoodsandservices,..
1998,data.annualgrowthofimportsofgoodsandservices,..
1998,data.annualinflationconsumerprices,4.7
1998,data.totalunemploymentoutoftotallabourforce,..
1999,data.merchandisetrade,82.2
1999,data.personalremittances,4.3
1999,data.currentaccountbalance,14.8
1999,data.foreigndirectinvestment,..
1999,data.portfolioinvestment,..
1999,data.reservesinmonthsofimports,..
1999,data.debtservice,..
1999,data.externaldebtstocks,..
1999,data.DECalternativeconversionfactor,698.3
1999,data.annualbroadmoneygrowth,..
1999,data.broadmoney,..
1999,data.banknonperformingloans,..
1999,data.bankcapitaltoassetsratio,..
1999,data.taxrevenuegdp,45.9
1999,data.cashsurplusdeficit,14.8
1999,data.grossPSD,..
1999,data.annualGDPgrowth,5.8
1999,data.annualgrowthofthegrosscapitalformation,14.5
1999,data.annualgrowthofhouseholdsandNPISHs,9.8
1999,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,9.4
1999,data.annualgrowthofexportsofgoodsandservices,11.1
1999,data.annualgrowthofimportsofgoodsandservices,22.3
1999,data.annualinflationconsumerprices,5.1
1999,data.totalunemploymentoutoftotallabourforce,..
2000,data.merchandisetrade,93.0
2000,data.personalremittances,3.9
2000,data.currentaccountbalance,9.3
2000,data.foreigndirectinvestment,..
2000,data.portfolioinvestment,..
2000,data.reservesinmonthsofimports,..
2000,data.debtservice,..
2000,data.externaldebtstocks,..
2000,data.DECalternativeconversionfactor,809.0
2000,data.annualbroadmoneygrowth,..
2000,data.broadmoney,..
2000,data.banknonperformingloans,..
2000,data.bankcapitaltoassetsratio,..
2000,data.taxrevenuegdp,45.0
2000,data.cashsurplusdeficit,9.3
2000,data.grossPSD,..
2000,data.annualGDPgrowth,9.4
2000,data.annualgrowthofthegrosscapitalformation,42.3
2000,data.annualgrowthofhouseholdsandNPISHs,5.3
2000,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,9.0
2000,data.annualgrowthofexportsofgoodsandservices,15.4
2000,data.annualgrowthofimportsofgoodsandservices,25.5
2000,data.annualinflationconsumerprices,4.9
2000,data.totalunemploymentoutoftotallabourforce,..
2001,data.merchandisetrade,86.2
2001,data.personalremittances,3.2
2001,data.currentaccountbalance,12.5
2001,data.foreigndirectinvestment,..
2001,data.portfolioinvestment,..
2001,data.reservesinmonthsofimports,..
2001,data.debtservice,..
2001,data.externaldebtstocks,..
2001,data.DECalternativeconversionfactor,831.9
2001,data.annualbroadmoneygrowth,..
2001,data.broadmoney,..
2001,data.banknonperformingloans,..
2001,data.bankcapitaltoassetsratio,..
2001,data.taxrevenuegdp,44.2
2001,data.cashsurplusdeficit,12.5
2001,data.grossPSD,..
2001,data.annualGDPgrowth,12.0
2001,data.annualgrowthofthegrosscapitalformation,-5.3
2001,data.annualgrowthofhouseholdsandNPISHs,9.4
2001,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,11.1
2001,data.annualgrowthofexportsofgoodsandservices,12.5
2001,data.annualgrowthofimportsofgoodsandservices,0.9
2001,data.annualinflationconsumerprices,2.7
2001,data.totalunemploymentoutoftotallabourforce,..
2002,data.merchandisetrade,79.7
2002,data.personalremittances,3.0
2002,data.currentaccountbalance,10.1
2002,data.foreigndirectinvestment,..
2002,data.portfolioinvestment,..
2002,data.reservesinmonthsofimports,..
2002,data.debtservice,..
2002,data.externaldebtstocks,..
2002,data.DECalternativeconversionfactor,788.1
2002,data.annualbroadmoneygrowth,..
2002,data.broadmoney,..
2002,data.banknonperformingloans,..
2002,data.bankcapitaltoassetsratio,..
2002,data.taxrevenuegdp,45.2
2002,data.cashsurplusdeficit,10.1
2002,data.grossPSD,..
2002,data.annualGDPgrowth,4.2
2002,data.annualgrowthofthegrosscapitalformation,-6.7
2002,data.annualgrowthofhouseholdsandNPISHs,4.7
2002,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,8.8
2002,data.annualgrowthofexportsofgoodsandservices,-0.8
2002,data.annualgrowthofimportsofgoodsandservices,-3.1
2002,data.annualinflationconsumerprices,0.5
2002,data.totalunemploymentoutoftotallabourforce,..
2003,data.merchandisetrade,87.4
2003,data.personalremittances,3.4
2003,data.currentaccountbalance,-3.5
2003,data.foreigndirectinvestment,..
2003,data.portfolioinvestment,..
2003,data.reservesinmonthsofimports,..
2003,data.debtservice,..
2003,data.externaldebtstocks,61.6
2003,data.DECalternativeconversionfactor,659.0
2003,data.annualbroadmoneygrowth,..
2003,data.broadmoney,..
2003,data.banknonperformingloans,..
2003,data.bankcapitaltoassetsratio,..
2003,data.taxrevenuegdp,45.3
2003,data.cashsurplusdeficit,-3.5
2003,data.grossPSD,..
2003,data.annualGDPgrowth,-1.9
2003,data.annualgrowthofthegrosscapitalformation,32.8
2003,data.annualgrowthofhouseholdsandNPISHs,5.4
2003,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,6.7
2003,data.annualgrowthofexportsofgoodsandservices,-6.3
2003,data.annualgrowthofimportsofgoodsandservices,21.9
2003,data.annualinflationconsumerprices,1.2
2003,data.totalunemploymentoutoftotallabourforce,..
2004,data.merchandisetrade,71.6
2004,data.personalremittances,2.9
2004,data.currentaccountbalance,5.3
2004,data.foreigndirectinvestment,..
2004,data.portfolioinvestment,..
2004,data.reservesinmonthsofimports,..
2004,data.debtservice,..
2004,data.externaldebtstocks,60.3
2004,data.DECalternativeconversionfactor,598.9
2004,data.annualbroadmoneygrowth,..
2004,data.broadmoney,..
2004,data.banknonperformingloans,..
2004,data.bankcapitaltoassetsratio,..
2004,data.taxrevenuegdp,43.8
2004,data.cashsurplusdeficit,5.3
2004,data.grossPSD,..
2004,data.annualGDPgrowth,3.6
2004,data.annualgrowthofthegrosscapitalformation,-34.1
2004,data.annualgrowthofhouseholdsandNPISHs,7.2
2004,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,6.0
2004,data.annualgrowthofexportsofgoodsandservices,-2.4
2004,data.annualgrowthofimportsofgoodsandservices,-15.6
2004,data.annualinflationconsumerprices,0.6
2004,data.totalunemploymentoutoftotallabourforce,..
2005,data.merchandisetrade,75.6
2005,data.personalremittances,3.7
2005,data.currentaccountbalance,-5.7
2005,data.foreigndirectinvestment,..
2005,data.portfolioinvestment,..
2005,data.reservesinmonthsofimports,..
2005,data.debtservice,..
2005,data.externaldebtstocks,75.5
2005,data.DECalternativeconversionfactor,600.3
2005,data.annualbroadmoneygrowth,..
2005,data.broadmoney,..
2005,data.banknonperformingloans,..
2005,data.bankcapitaltoassetsratio,..
2005,data.taxrevenuegdp,43.6
2005,data.cashsurplusdeficit,-5.7
2005,data.grossPSD,..
2005,data.annualGDPgrowth,2.8
2005,data.annualgrowthofthegrosscapitalformation,11.8
2005,data.annualgrowthofhouseholdsandNPISHs,18.1
2005,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,5.2
2005,data.annualgrowthofexportsofgoodsandservices,-1.7
2005,data.annualgrowthofimportsofgoodsandservices,21.0
2005,data.annualinflationconsumerprices,2.0
2005,data.totalunemploymentoutoftotallabourforce,3.5
2006,data.merchandisetrade,71.0
2006,data.personalremittances,3.6
2006,data.currentaccountbalance,-3.1
2006,data.foreigndirectinvestment,..
2006,data.portfolioinvestment,..
2006,data.reservesinmonthsofimports,..
2006,data.debtservice,..
2006,data.externaldebtstocks,84.4
2006,data.DECalternativeconversionfactor,594.7
2006,data.annualbroadmoneygrowth,..
2006,data.broadmoney,..
2006,data.banknonperformingloans,..
2006,data.bankcapitaltoassetsratio,..
2006,data.taxrevenuegdp,43.5
2006,data.cashsurplusdeficit,-3.1
2006,data.grossPSD,..
2006,data.annualGDPgrowth,13.9
2006,data.annualgrowthofthegrosscapitalformation,49.5
2006,data.annualgrowthofhouseholdsandNPISHs,1.3
2006,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,3.9
2006,data.annualgrowthofexportsofgoodsandservices,13.0
2006,data.annualgrowthofimportsofgoodsandservices,7.3
2006,data.annualinflationconsumerprices,1.5
2006,data.totalunemploymentoutoftotallabourforce,1.8
2007,data.merchandisetrade,75.4
2007,data.personalremittances,3.8
2007,data.currentaccountbalance,-3.5
2007,data.foreigndirectinvestment,..
2007,data.portfolioinvestment,..
2007,data.reservesinmonthsofimports,..
2007,data.debtservice,..
2007,data.externaldebtstocks,108.2
2007,data.DECalternativeconversionfactor,544.6
2007,data.annualbroadmoneygrowth,..
2007,data.broadmoney,..
2007,data.banknonperformingloans,..
2007,data.bankcapitaltoassetsratio,..
2007,data.taxrevenuegdp,44.9
2007,data.cashsurplusdeficit,-3.5
2007,data.grossPSD,..
2007,data.annualGDPgrowth,6.0
2007,data.annualgrowthofthegrosscapitalformation,19.2
2007,data.annualgrowthofhouseholdsandNPISHs,1.2
2007,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,8.3
2007,data.annualgrowthofexportsofgoodsandservices,7.0
2007,data.annualgrowthofimportsofgoodsandservices,9.5
2007,data.annualinflationconsumerprices,3.6
2007,data.totalunemploymentoutoftotallabourforce,1.7
2008,data.merchandisetrade,73.8
2008,data.personalremittances,4.5
2008,data.currentaccountbalance,-4.8
2008,data.foreigndirectinvestment,..
2008,data.portfolioinvestment,..
2008,data.reservesinmonthsofimports,..
2008,data.debtservice,..
