Year,Measure,Bandbreidd,Value
2008,Fixed broadband subscriptions per 100 inhabitants,,25.4
2008,Fixed broadband subscriptions per 100 inhabitants,256 Kbit/s to less than 2 Mbit/s,23.7
2008,Fixed broadband subscriptions per 100 inhabitants,2 Mbit/s to less than 10 Mbit/s,1.7
2008,Fixed broadband subscriptions per 100 inhabitants,10 Mbit/s or more,..
2008,Fixed broadband subscriptions (number),,12265
2008,Fixed broadband subscriptions (number),256 Kbit/s to less than 2 Mbit/s,11436
2008,Fixed broadband subscriptions (number),2 Mbit/s to less than 10 Mbit/s,829
2008,Fixed broadband subscriptions (number),10 Mbit/s or more,..
2009,Fixed broadband subscriptions per 100 inhabitants,,29.5
2009,Fixed broadband subscriptions per 100 inhabitants,256 Kbit/s to less than 2 Mbit/s,17.8
2009,Fixed broadband subscriptions per 100 inhabitants,2 Mbit/s to less than 10 Mbit/s,11.7
2009,Fixed broadband subscriptions per 100 inhabitants,10 Mbit/s or more,..
2009,Fixed broadband subscriptions (number),,14328
2009,Fixed broadband subscriptions (number),256 Kbit/s to less than 2 Mbit/s,8657
2009,Fixed broadband subscriptions (number),2 Mbit/s to less than 10 Mbit/s,5671
2009,Fixed broadband subscriptions (number),10 Mbit/s or more,..
2010,Fixed broadband subscriptions per 100 inhabitants,,31.3
2010,Fixed broadband subscriptions per 100 inhabitants,256 Kbit/s to less than 2 Mbit/s,8.8
2010,Fixed broadband subscriptions per 100 inhabitants,2 Mbit/s to less than 10 Mbit/s,22.5
2010,Fixed broadband subscriptions per 100 inhabitants,10 Mbit/s or more,..
2010,Fixed broadband subscriptions (number),,15157
2010,Fixed broadband subscriptions (number),256 Kbit/s to less than 2 Mbit/s,4272
2010,Fixed broadband subscriptions (number),2 Mbit/s to less than 10 Mbit/s,10885
2010,Fixed broadband subscriptions (number),10 Mbit/s or more,..
2011,Fixed broadband subscriptions per 100 inhabitants,,32.6
2011,Fixed broadband subscriptions per 100 inhabitants,256 Kbit/s to less than 2 Mbit/s,5.3
2011,Fixed broadband subscriptions per 100 inhabitants,2 Mbit/s to less than 10 Mbit/s,27.3
2011,Fixed broadband subscriptions per 100 inhabitants,10 Mbit/s or more,..
2011,Fixed broadband subscriptions (number),,15775
2011,Fixed broadband subscriptions (number),256 Kbit/s to less than 2 Mbit/s,2549
2011,Fixed broadband subscriptions (number),2 Mbit/s to less than 10 Mbit/s,13226
2011,Fixed broadband subscriptions (number),10 Mbit/s or more,..
2012,Fixed broadband subscriptions per 100 inhabitants,,33.1
2012,Fixed broadband subscriptions per 100 inhabitants,256 Kbit/s to less than 2 Mbit/s,3.4
2012,Fixed broadband subscriptions per 100 inhabitants,2 Mbit/s to less than 10 Mbit/s,24.7
2012,Fixed broadband subscriptions per 100 inhabitants,10 Mbit/s or more,4.9
2012,Fixed broadband subscriptions (number),,15944
2012,Fixed broadband subscriptions (number),256 Kbit/s to less than 2 Mbit/s,1657
2012,Fixed broadband subscriptions (number),2 Mbit/s to less than 10 Mbit/s,11910
2012,Fixed broadband subscriptions (number),10 Mbit/s or more,2377
2013,Fixed broadband subscriptions per 100 inhabitants,,34.0
2013,Fixed broadband subscriptions per 100 inhabitants,256 Kbit/s to less than 2 Mbit/s,2.6
2013,Fixed broadband subscriptions per 100 inhabitants,2 Mbit/s to less than 10 Mbit/s,24.1
2013,Fixed broadband subscriptions per 100 inhabitants,10 Mbit/s or more,7.3
2013,Fixed broadband subscriptions (number),,16324
2013,Fixed broadband subscriptions (number),256 Kbit/s to less than 2 Mbit/s,1243
2013,Fixed broadband subscriptions (number),2 Mbit/s to less than 10 Mbit/s,11598
2013,Fixed broadband subscriptions (number),10 Mbit/s or more,3483
2014,Fixed broadband subscriptions per 100 inhabitants,,35.0
2014,Fixed broadband subscriptions per 100 inhabitants,256 Kbit/s to less than 2 Mbit/s,2.1
