Year,Units,Series,sex,Value
2003,pct.,Tobacco use,,41
2004,pct.,Tobacco use,,36
2005,pct.,Tobacco use,,32
2006,pct.,Tobacco use,,33
2006,pct.,Tobacco use,Males,31
2006,pct.,Tobacco use,Females,34
2007,pct.,Tobacco use,,28
2007,pct.,Tobacco use,Males,26
2007,pct.,Tobacco use,Females,31
2008,pct.,Tobacco use,,33
2008,pct.,Tobacco use,Males,37
2008,pct.,Tobacco use,Females,28
2009,pct.,Tobacco use,,34
2009,pct.,Tobacco use,Males,36
2009,pct.,Tobacco use,Females,32
2010,pct.,Tobacco use,,27
2010,pct.,Tobacco use,Males,25
2010,pct.,Tobacco use,Females,29
2011,pct.,Tobacco use,,34
2011,pct.,Tobacco use,Males,36
2011,pct.,Tobacco use,Females,32
2012,pct.,Tobacco use,,29
2012,pct.,Tobacco use,Males,28
2012,pct.,Tobacco use,Females,31
2013,pct.,Tobacco use,,33
2013,pct.,Tobacco use,Males,33
2013,pct.,Tobacco use,Females,32
2014,pct.,Tobacco use,,27
2014,pct.,Tobacco use,Males,30
2014,pct.,Tobacco use,Females,23
2015,pct.,Tobacco use,,27
2015,pct.,Tobacco use,Males,26
2015,pct.,Tobacco use,Females,29
2016,pct.,Tobacco use,,34
2016,pct.,Tobacco use,Males,38
2016,pct.,Tobacco use,Females,29
2017,pct.,Tobacco use,,27
2017,pct.,Tobacco use,Males,27
2017,pct.,Tobacco use,Females,26
2018,pct.,Tobacco use,,26
2018,pct.,Tobacco use,Males,29
2018,pct.,Tobacco use,Females,21
2019,pct.,Tobacco use,,29
2019,pct.,Tobacco use,Males,30
2019,pct.,Tobacco use,Females,28
2020,pct.,Tobacco use,,31
2020,pct.,Tobacco use,Males,33
2020,pct.,Tobacco use,Females,28
2021,pct.,Tobacco use,,26
2021,pct.,Tobacco use,Males,28
2021,pct.,Tobacco use,Females,24
2022,pct.,Tobacco use,,27
2022,pct.,Tobacco use,Males,29
2022,pct.,Tobacco use,Females,25
