Year,Age,Value
1985,15-17 years,0.470035252643948
1985,younger than 15 years,0.0
1986,15-17 years,0.510493477027794
1986,younger than 15 years,0.0
1987,15-17 years,0.435492651061513
1987,younger than 15 years,0.0
1988,15-17 years,0.261917234154007
1988,younger than 15 years,0.0
1989,15-17 years,0.203148806500762
1989,younger than 15 years,0.0
1990,15-17 years,0.367068694284216
1990,younger than 15 years,0.0
1991,15-17 years,0.345622119815668
1991,younger than 15 years,0.0
1992,15-17 years,0.181708055723804
1992,younger than 15 years,0.0
1993,15-17 years,0.344115622849277
1993,younger than 15 years,0.0
1994,15-17 years,0.40950040950041
1994,younger than 15 years,0.0
1995,15-17 years,0.268336314847943
1995,younger than 15 years,0.0
1996,15-17 years,0.434404865334492
1996,younger than 15 years,0.0
1997,15-17 years,0.327064595257563
1997,younger than 15 years,0.0
1998,15-17 years,0.3147128245476
1998,younger than 15 years,0.0
1999,15-17 years,0.23094688221709
1999,younger than 15 years,0.0
2000,15-17 years,0.153727901614143
2000,younger than 15 years,0.0
2001,15-17 years,0.0748502994011976
2001,younger than 15 years,0.0
2002,15-17 years,0.145666423889294
2002,younger than 15 years,0.0
2003,15-17 years,0.0719942404607631
2003,younger than 15 years,0.0
2004,15-17 years,0.0745712155108128
2004,younger than 15 years,0.0
2005,15-17 years,0.0
2005,younger than 15 years,0.0
2006,15-17 years,0.0
2006,younger than 15 years,0.0
2007,15-17 years,0.0
2007,younger than 15 years,0.0
2008,15-17 years,0.0
2008,younger than 15 years,0.0
2009,15-17 years,0.0
2009,younger than 15 years,0.0
2010,15-17 years,0.0
2010,younger than 15 years,0.0
2011,15-17 years,0.0
2011,younger than 15 years,0.0
2012,15-17 years,0.0
2012,younger than 15 years,0.0
2013,15-17 years,0.0
2013,younger than 15 years,0.0
2014,15-17 years,0.0
2014,younger than 15 years,0.0
2015,15-17 years,0.0
2015,younger than 15 years,0.0
2016,15-17 years,0.0
2016,younger than 15 years,0.0
2017,15-17 years,0.0722543352601156
2017,younger than 15 years,0.0
2018,15-17 years,0.0732064421669107
2018,younger than 15 years,0.0
2019,15-17 years,0.0749063670411985
2019,younger than 15 years,0.0
2020,15-17 years,0.141143260409315
2020,younger than 15 years,0.0
2021,15-17 years,0.139664804469274
2021,younger than 15 years,0.0
2022,15-17 years,0.0712758374910905
2022,younger than 15 years,0.0
2023,15-17 years,0.0700280112044818
2023,younger than 15 years,0.0
