Year,Series,age,Units,sex,Value
2011,Total,15+ years,pct.,,7.57766395113293
2011,Total,15+ years,pct.,Males,4.74102450834848
2011,Total,15+ years,pct.,Females,10.6458943649836
2011,Total,15-24 years,pct.,,2.88392101200261
2011,Total,15-24 years,pct.,Males,1.94954507038535
2011,Total,15-24 years,pct.,Females,3.97538834127758
2011,Total,25-44 years,pct.,,8.23897011511427
2011,Total,25-44 years,pct.,Males,5.23770619358855
2011,Total,25-44 years,pct.,Females,11.6715500440504
2011,Total,45-54 years,pct.,,9.04427635076694
2011,Total,45-54 years,pct.,Males,5.67876344086019
2011,Total,45-54 years,pct.,Females,12.7926919270703
2011,Total,55-64 years,pct.,,9.14213049098502
2011,Total,55-64 years,pct.,Males,5.41197213382641
2011,Total,55-64 years,pct.,Females,13.2036139595137
2011,Total,65+ years,pct.,,8.25867811780696
2011,Total,65+ years,pct.,Males,5.26202661900699
2011,Total,65+ years,pct.,Females,10.9541316526611
2011,Urban,15+ years,pct.,,7.09924364008306
2011,Urban,15+ years,pct.,Males,4.65073382786949
2011,Urban,15+ years,pct.,Females,9.6090625404548
2011,Urban,15-24 years,pct.,,2.60508524397415
2011,Urban,15-24 years,pct.,Males,1.9078144078144
2011,Urban,15-24 years,pct.,Females,3.3807777389685
2011,Urban,25-44 years,pct.,,7.77948277948281
2011,Urban,25-44 years,pct.,Males,5.09919744378898
2011,Urban,25-44 years,pct.,Females,10.6217844110515
2011,Urban,45-54 years,pct.,,8.40743190280229
2011,Urban,45-54 years,pct.,Males,5.62011718749997
2011,Urban,45-54 years,pct.,Females,11.5098343685301
2011,Urban,55-64 years,pct.,,8.43374243510116
2011,Urban,55-64 years,pct.,Males,5.26384065780544
2011,Urban,55-64 years,pct.,Females,11.5877814845705
2011,Urban,65+ years,pct.,,8.06732859118755
2011,Urban,65+ years,pct.,Males,5.35443230115361
2011,Urban,65+ years,pct.,Females,10.3377250290361
2011,Rural,15+ years,pct.,,7.86201984993558
2011,Rural,15+ years,pct.,Males,4.79251240414975
2011,Rural,15+ years,pct.,Females,11.2900776365306
2011,Rural,15-24 years,pct.,,3.06015664007619
2011,Rural,15-24 years,pct.,Males,1.9749633454453
2011,Rural,15-24 years,pct.,Females,4.36763952892986
2011,Rural,25-44 years,pct.,,8.51748043098498
2011,Rural,25-44 years,pct.,Males,5.31699640287773
2011,Rural,25-44 years,pct.,Females,12.350183150183
2011,Rural,45-54 years,pct.,,9.47763731647797
2011,Rural,45-54 years,pct.,Males,5.71865037194472
2011,Rural,45-54 years,pct.,Females,13.6661591812569
2011,Rural,55-64 years,pct.,,9.56776832813002
2011,Rural,55-64 years,pct.,Males,5.49497863964747
2011,Rural,55-64 years,pct.,Females,14.2497171654839
2011,Rural,65+ years,pct.,,8.35059606860481
2011,Rural,65+ years,pct.,Males,5.22008307250141
2011,Rural,65+ years,pct.,Females,11.2654193702115
