Year,Series,Units,Party/Municipality,Value
1984,Parliament,data.fowomenseats-proportion,All parties,3.1
1984,Parliament,data.fowomenseats-number,All parties,1.0
1984,Parliament,data.foseats-number,All parties,32.0
1984,Parliament,data.fowomenseats-proportion,Conservative Party,0.0
1984,Parliament,data.fowomenseats-number,Conservative Party,0.0
1984,Parliament,data.foseats-number,Conservative Party,7.0
1984,Parliament,data.fowomenseats-proportion,The Progress Party,0.0
1984,Parliament,data.fowomenseats-number,The Progress Party,0.0
1984,Parliament,data.foseats-number,The Progress Party,2.0
1984,Parliament,data.fowomenseats-proportion,Progress,
1984,Parliament,data.fowomenseats-number,Progress,
1984,Parliament,data.foseats-number,Progress,
1984,Parliament,data.fowomenseats-proportion,Social Democratic Party,0.0
1984,Parliament,data.fowomenseats-number,Social Democratic Party,0.0
1984,Parliament,data.foseats-number,Social Democratic Party,8.0
1984,Parliament,data.fowomenseats-proportion,Christian Party,
1984,Parliament,data.fowomenseats-number,Christian Party,
1984,Parliament,data.foseats-number,Christian Party,
1984,Parliament,data.fowomenseats-proportion,The Centre Party,
1984,Parliament,data.fowomenseats-number,The Centre Party,
1984,Parliament,data.foseats-number,The Centre Party,
1984,Parliament,data.fowomenseats-proportion,Unionist Party,0.0
1984,Parliament,data.fowomenseats-number,Unionist Party,0.0
1984,Parliament,data.foseats-number,Unionist Party,7.0
1984,Parliament,data.fowomenseats-proportion,Independence Party,0.0
1984,Parliament,data.fowomenseats-number,Independence Party,0.0
1984,Parliament,data.foseats-number,Independence Party,2.0
1984,Parliament,data.fowomenseats-proportion,Republican Party,16.7
1984,Parliament,data.fowomenseats-number,Republican Party,1.0
1984,Parliament,data.foseats-number,Republican Party,6.0
1984,Parliament,data.fowomenseats-proportion,Workers´ Movement,
1984,Parliament,data.fowomenseats-number,Workers´ Movement,
1984,Parliament,data.foseats-number,Workers´ Movement,
1988,Parliament,data.fowomenseats-proportion,All parties,9.4
1988,Parliament,data.fowomenseats-number,All parties,3.0
1988,Parliament,data.foseats-number,All parties,32.0
1988,Parliament,data.fowomenseats-proportion,Conservative Party,0.0
1988,Parliament,data.fowomenseats-number,Conservative Party,0.0
1988,Parliament,data.foseats-number,Conservative Party,8.0
1988,Parliament,data.fowomenseats-proportion,The Progress Party,
1988,Parliament,data.fowomenseats-number,The Progress Party,
1988,Parliament,data.foseats-number,The Progress Party,
1988,Parliament,data.fowomenseats-proportion,Progress,
1988,Parliament,data.fowomenseats-number,Progress,
1988,Parliament,data.foseats-number,Progress,
1988,Parliament,data.fowomenseats-proportion,Social Democratic Party,14.3
1988,Parliament,data.fowomenseats-number,Social Democratic Party,1.0
1988,Parliament,data.foseats-number,Social Democratic Party,7.0
1988,Parliament,data.fowomenseats-proportion,Christian Party,0.0
1988,Parliament,data.fowomenseats-number,Christian Party,0.0
1988,Parliament,data.foseats-number,Christian Party,2.0
1988,Parliament,data.fowomenseats-proportion,The Centre Party,
1988,Parliament,data.fowomenseats-number,The Centre Party,
1988,Parliament,data.foseats-number,The Centre Party,
1988,Parliament,data.fowomenseats-proportion,Unionist Party,0.0
1988,Parliament,data.fowomenseats-number,Unionist Party,0.0
1988,Parliament,data.foseats-number,Unionist Party,7.0
1988,Parliament,data.fowomenseats-proportion,Independence Party,0.0
1988,Parliament,data.fowomenseats-number,Independence Party,0.0
1988,Parliament,data.foseats-number,Independence Party,2.0
1988,Parliament,data.fowomenseats-proportion,Republican Party,33.3
1988,Parliament,data.fowomenseats-number,Republican Party,2.0
1988,Parliament,data.foseats-number,Republican Party,6.0
1988,Parliament,data.fowomenseats-proportion,Workers´ Movement,
1988,Parliament,data.fowomenseats-number,Workers´ Movement,
1988,Parliament,data.foseats-number,Workers´ Movement,
1990,Parliament,data.fowomenseats-proportion,All parties,9.4
1990,Parliament,data.fowomenseats-number,All parties,3.0
1990,Parliament,data.foseats-number,All parties,32.0
1990,Parliament,data.fowomenseats-proportion,Conservative Party,0.0
1990,Parliament,data.fowomenseats-number,Conservative Party,0.0
1990,Parliament,data.foseats-number,Conservative Party,7.0
1990,Parliament,data.fowomenseats-proportion,The Progress Party,
1990,Parliament,data.fowomenseats-number,The Progress Party,
1990,Parliament,data.foseats-number,The Progress Party,
1990,Parliament,data.fowomenseats-proportion,Progress,
1990,Parliament,data.fowomenseats-number,Progress,
1990,Parliament,data.foseats-number,Progress,
1990,Parliament,data.fowomenseats-proportion,Social Democratic Party,10.0
1990,Parliament,data.fowomenseats-number,Social Democratic Party,1.0
1990,Parliament,data.foseats-number,Social Democratic Party,10.0
1990,Parliament,data.fowomenseats-proportion,Christian Party,0.0
1990,Parliament,data.fowomenseats-number,Christian Party,0.0
1990,Parliament,data.foseats-number,Christian Party,2.0
1990,Parliament,data.fowomenseats-proportion,The Centre Party,
1990,Parliament,data.fowomenseats-number,The Centre Party,
1990,Parliament,data.foseats-number,The Centre Party,
1990,Parliament,data.fowomenseats-proportion,Unionist Party,16.7
1990,Parliament,data.fowomenseats-number,Unionist Party,1.0
1990,Parliament,data.foseats-number,Unionist Party,6.0
1990,Parliament,data.fowomenseats-proportion,Independence Party,33.3
1990,Parliament,data.fowomenseats-number,Independence Party,1.0
1990,Parliament,data.foseats-number,Independence Party,3.0
1990,Parliament,data.fowomenseats-proportion,Republican Party,0.0
1990,Parliament,data.fowomenseats-number,Republican Party,0.0
1990,Parliament,data.foseats-number,Republican Party,4.0
1990,Parliament,data.fowomenseats-proportion,Workers´ Movement,
1990,Parliament,data.fowomenseats-number,Workers´ Movement,
1990,Parliament,data.foseats-number,Workers´ Movement,
1994,Parliament,data.fowomenseats-proportion,All parties,15.6
1994,Parliament,data.fowomenseats-number,All parties,5.0
1994,Parliament,data.foseats-number,All parties,32.0
1994,Parliament,data.fowomenseats-proportion,Conservative Party,0.0
1994,Parliament,data.fowomenseats-number,Conservative Party,0.0
1994,Parliament,data.foseats-number,Conservative Party,6.0
1994,Parliament,data.fowomenseats-proportion,The Progress Party,
1994,Parliament,data.fowomenseats-number,The Progress Party,
1994,Parliament,data.foseats-number,The Progress Party,
1994,Parliament,data.fowomenseats-proportion,Progress,
1994,Parliament,data.fowomenseats-number,Progress,
1994,Parliament,data.foseats-number,Progress,
1994,Parliament,data.fowomenseats-proportion,Social Democratic Party,20.0
1994,Parliament,data.fowomenseats-number,Social Democratic Party,1.0
1994,Parliament,data.foseats-number,Social Democratic Party,5.0
1994,Parliament,data.fowomenseats-proportion,Christian Party,0.0
1994,Parliament,data.fowomenseats-number,Christian Party,0.0
1994,Parliament,data.foseats-number,Christian Party,2.0
1994,Parliament,data.fowomenseats-proportion,The Centre Party,0.0
1994,Parliament,data.fowomenseats-number,The Centre Party,0.0
1994,Parliament,data.foseats-number,The Centre Party,2.0
1994,Parliament,data.fowomenseats-proportion,Unionist Party,25.0
1994,Parliament,data.fowomenseats-number,Unionist Party,2.0
1994,Parliament,data.foseats-number,Unionist Party,8.0
1994,Parliament,data.fowomenseats-proportion,Independence Party,50.0
1994,Parliament,data.fowomenseats-number,Independence Party,1.0
1994,Parliament,data.foseats-number,Independence Party,2.0
1994,Parliament,data.fowomenseats-proportion,Republican Party,0.0
1994,Parliament,data.fowomenseats-number,Republican Party,0.0
1994,Parliament,data.foseats-number,Republican Party,4.0
1994,Parliament,data.fowomenseats-proportion,Workers´ Movement,33.3
1994,Parliament,data.fowomenseats-number,Workers´ Movement,1.0
1994,Parliament,data.foseats-number,Workers´ Movement,3.0
1998,Parliament,data.fowomenseats-proportion,All parties,12.5
1998,Parliament,data.fowomenseats-number,All parties,4.0
1998,Parliament,data.foseats-number,All parties,32.0
1998,Parliament,data.fowomenseats-proportion,Conservative Party,0.0
1998,Parliament,data.fowomenseats-number,Conservative Party,0.0
1998,Parliament,data.foseats-number,Conservative Party,8.0
1998,Parliament,data.fowomenseats-proportion,The Progress Party,
1998,Parliament,data.fowomenseats-number,The Progress Party,
1998,Parliament,data.foseats-number,The Progress Party,
1998,Parliament,data.fowomenseats-proportion,Progress,
1998,Parliament,data.fowomenseats-number,Progress,
1998,Parliament,data.foseats-number,Progress,
1998,Parliament,data.fowomenseats-proportion,Social Democratic Party,14.3
1998,Parliament,data.fowomenseats-number,Social Democratic Party,1.0
1998,Parliament,data.foseats-number,Social Democratic Party,7.0
1998,Parliament,data.fowomenseats-proportion,Christian Party,
1998,Parliament,data.fowomenseats-number,Christian Party,
1998,Parliament,data.foseats-number,Christian Party,
1998,Parliament,data.fowomenseats-proportion,The Centre Party,0.0
1998,Parliament,data.fowomenseats-number,The Centre Party,0.0
1998,Parliament,data.foseats-number,The Centre Party,1.0
1998,Parliament,data.fowomenseats-proportion,Unionist Party,16.7
1998,Parliament,data.fowomenseats-number,Unionist Party,1.0
1998,Parliament,data.foseats-number,Unionist Party,6.0
1998,Parliament,data.fowomenseats-proportion,Independence Party,50.0
1998,Parliament,data.fowomenseats-number,Independence Party,1.0
