Year,Units,material type,Value
1998,"Domestic material consumption (1,000 tonnes)",,886.67
1998,"Domestic material consumption (1,000 tonnes)",Biomass,357.44
1998,"Domestic material consumption (1,000 tonnes)",Metallic minerals,2.65
1998,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,287.8
1998,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,238.78
1998,"Domestic material consumption per capita (1,000 tonnes)",,19.93
1998,"Domestic material consumption per capita (1,000 tonnes)",Biomass,8.03
1998,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.06
1998,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,6.47
1998,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,5.37
1998,"Domestic material consumption per unit of GDP (1,000 tonnes)",,
1998,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,
1998,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,
1998,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,
1998,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,
1998,,,
1998,,Biomass,
1998,,Metallic minerals,
1998,,Non-metallic minerals,
1998,,Fossil energy and other products,
1999,"Domestic material consumption (1,000 tonnes)",,933.86
1999,"Domestic material consumption (1,000 tonnes)",Biomass,364.67
1999,"Domestic material consumption (1,000 tonnes)",Metallic minerals,3.85
1999,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,311.04
1999,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,254.3
1999,"Domestic material consumption per capita (1,000 tonnes)",,20.73
1999,"Domestic material consumption per capita (1,000 tonnes)",Biomass,8.09
1999,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.09
1999,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,6.9
1999,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,5.64
1999,"Domestic material consumption per unit of GDP (1,000 tonnes)",,118.71
1999,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,46.35
1999,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,0.49
1999,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,39.54
1999,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,32.33
1999,,,
1999,,Biomass,
1999,,Metallic minerals,
1999,,Non-metallic minerals,
1999,,Fossil energy and other products,
2000,"Domestic material consumption (1,000 tonnes)",,1161.35
2000,"Domestic material consumption (1,000 tonnes)",Biomass,430.54
2000,"Domestic material consumption (1,000 tonnes)",Metallic minerals,5.53
2000,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,497.37
2000,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,227.91
2000,"Domestic material consumption per capita (1,000 tonnes)",,25.39
2000,"Domestic material consumption per capita (1,000 tonnes)",Biomass,9.41
