Year,Sex,Age,Value
2015,,,3.3
2015,,15-24 years,7.2
2015,,25-54 years,2.6
2015,,55-74 years,2.1
2015,Males,,3.0
2015,Males,15-24 years,6.9
2015,Males,25-54 years,2.3
2015,Males,55-74 years,2.0
2015,Females,,3.6
2015,Females,15-24 years,7.5
2015,Females,25-54 years,3.0
2015,Females,55-74 years,2.2
2016,,,3.5
2016,,15-24 years,8.5
2016,,25-54 years,2.6
2016,,55-74 years,2.1
2016,Males,,3.4
2016,Males,15-24 years,9.1
2016,Males,25-54 years,2.3
2016,Males,55-74 years,2.3
2016,Females,,3.6
2016,Females,15-24 years,7.9
2016,Females,25-54 years,3.0
2016,Females,55-74 years,1.8
2017,,,2.5
2017,,15-24 years,6.2
2017,,25-54 years,1.9
2017,,55-74 years,1.4
2017,Males,,2.1
2017,Males,15-24 years,5.6
2017,Males,25-54 years,1.5
2017,Males,55-74 years,1.3
2017,Females,,2.9
2017,Females,15-24 years,6.7
2017,Females,25-54 years,2.3
2017,Females,55-74 years,1.4
2018,,,1.8
2018,,15-24 years,4.5
2018,,25-54 years,1.4
2018,,55-74 years,1.0
2018,Males,,1.8
2018,Males,15-24 years,4.6
2018,Males,25-54 years,1.3
2018,Males,55-74 years,1.1
2018,Females,,1.8
2018,Females,15-24 years,4.3
2018,Females,25-54 years,1.5
2018,Females,55-74 years,0.8
2019,,,1.3
2019,,15-24 years,3.2
2019,,25-54 years,1.0
2019,,55-74 years,0.6
2019,Males,,1.1
2019,Males,15-24 years,3.4
2019,Males,25-54 years,0.6
2019,Males,55-74 years,0.8
2019,Females,,1.4
2019,Females,15-24 years,2.9
2019,Females,25-54 years,1.5
2019,Females,55-74 years,0.3
2020,,,1.7
2020,,15-24 years,3.4
2020,,25-54 years,1.5
2020,,55-74 years,1.3
2020,Males,,1.7
2020,Males,15-24 years,3.6
2020,Males,25-54 years,1.4
2020,Males,55-74 years,1.5
2020,Females,,1.7
2020,Females,15-24 years,3.2
2020,Females,25-54 years,1.6
2020,Females,55-74 years,1.1
2021,,,2.1
2021,,15-24 years,6.0
2021,,25-54 years,1.4
2021,,55-74 years,0.9
2021,Males,,2.5
2021,Males,15-24 years,6.7
2021,Males,25-54 years,2.0
2021,Males,55-74 years,1.0
2021,Females,,1.6
2021,Females,15-24 years,5.2
2021,Females,25-54 years,0.7
2021,Females,55-74 years,0.8
2022,,,2.0
2022,,15-24 years,6.3
2022,,25-54 years,1.2
2022,,55-74 years,1.5
2022,Males,,2.3
2022,Males,15-24 years,6.8
2022,Males,25-54 years,1.4
2022,Males,55-74 years,1.6
2022,Females,,1.6
2022,Females,15-24 years,5.7
2022,Females,25-54 years,0.9
2022,Females,55-74 years,0.4
