Year,Measure,Value
1998,Manufacturing value added as a proportion of GDP,10.0
1998,Manufacturing value added per capita,16853.4
1999,Manufacturing value added as a proportion of GDP,10.8
1999,Manufacturing value added per capita,18946.6
2000,Manufacturing value added as a proportion of GDP,10.3
2000,Manufacturing value added per capita,19382.6
2001,Manufacturing value added as a proportion of GDP,11.1
2001,Manufacturing value added per capita,23114.4
2002,Manufacturing value added as a proportion of GDP,11.1
2002,Manufacturing value added per capita,23592.5
2003,Manufacturing value added as a proportion of GDP,10.4
2003,Manufacturing value added per capita,21545.8
2004,Manufacturing value added as a proportion of GDP,9.5
2004,Manufacturing value added per capita,20121.3
2005,Manufacturing value added as a proportion of GDP,8.9
2005,Manufacturing value added per capita,19504.7
2006,Manufacturing value added as a proportion of GDP,8.6
2006,Manufacturing value added per capita,21414.4
2007,Manufacturing value added as a proportion of GDP,8.6
2007,Manufacturing value added per capita,22499.7
2008,Manufacturing value added as a proportion of GDP,8.4
2008,Manufacturing value added per capita,22091.5
2009,Manufacturing value added as a proportion of GDP,8.2
2009,Manufacturing value added per capita,20826.5
2010,Manufacturing value added as a proportion of GDP,8.0
2010,Manufacturing value added per capita,21516.2
2011,Manufacturing value added as a proportion of GDP,7.8
2011,Manufacturing value added per capita,21696.6
2012,Manufacturing value added as a proportion of GDP,8.1
2012,Manufacturing value added per capita,23545.2
2013,Manufacturing value added as a proportion of GDP,7.6
2013,Manufacturing value added per capita,23655.2
2014,Manufacturing value added as a proportion of GDP,8.9
2014,Manufacturing value added per capita,30017.3
2015,Manufacturing value added as a proportion of GDP,9.2
2015,Manufacturing value added per capita,32434.9
2016,Manufacturing value added as a proportion of GDP,8.2
2016,Manufacturing value added per capita,31197.4
2017,Manufacturing value added as a proportion of GDP,9.1
2017,Manufacturing value added per capita,35636.3
2018,Manufacturing value added as a proportion of GDP,8.9
2018,Manufacturing value added per capita,35022.4
2019,Manufacturing value added as a proportion of GDP,10.1
2019,Manufacturing value added per capita,42790.8
2020,Manufacturing value added as a proportion of GDP,10.5
2020,Manufacturing value added per capita,42432.8
