Year,Series,Units,Value
2005,Manufacturing employment as a proportion of total employment,pct.,13.1811964581384
2006,Manufacturing employment as a proportion of total employment,pct.,12.1736712204957
2007,Manufacturing employment as a proportion of total employment,pct.,11.9200848656294
2008,Manufacturing employment as a proportion of total employment,pct.,10.8703178010109
2009,Manufacturing employment as a proportion of total employment,pct.,11.0547815303815
2010,Manufacturing employment as a proportion of total employment,pct.,10.3872972563286
2011,Manufacturing employment as a proportion of total employment,pct.,9.1311501096835
2012,Manufacturing employment as a proportion of total employment,pct.,9.4936481088279
2013,Manufacturing employment as a proportion of total employment,pct.,9.618682722131
2014,Manufacturing employment as a proportion of total employment,pct.,10.0809498111171
2015,Manufacturing employment as a proportion of total employment,pct.,10.1529951335644
2016,Manufacturing employment as a proportion of total employment,pct.,10.4139692759912
2017,Manufacturing employment as a proportion of total employment,pct.,11.3040494166095
2018,Manufacturing employment as a proportion of total employment,pct.,10.5542975287979
2019,Manufacturing employment as a proportion of total employment,pct.,11.0936648828788
2020,Manufacturing employment as a proportion of total employment,pct.,11.1687313934505
2021,Manufacturing employment as a proportion of total employment,pct.,10.5258113979044
2022,Manufacturing employment as a proportion of total employment,pct.,10.4396969320581
