Year,Main source,Source,Value
1990,,,
1990,Fuel combustion,,0.7
1990,Fuel combustion,Energy industries,0.1
1990,Fuel combustion,Manufacturing industries and construction,0.1
1990,Fuel combustion,Transport sector,0.1
1990,Fuel combustion,Other sectors,0.4
1990,International Bunkers,,
1990,International Bunkers,Aviation,
1990,International Bunkers,Navigation,
1991,,,0.6
1991,Fuel combustion,,0.6
1991,Fuel combustion,Energy industries,0.1
1991,Fuel combustion,Manufacturing industries and construction,0.1
1991,Fuel combustion,Transport sector,0.1
1991,Fuel combustion,Other sectors,0.4
1991,International Bunkers,,0.0
1991,International Bunkers,Aviation,0.0
1991,International Bunkers,Navigation,
1992,,,0.7
1992,Fuel combustion,,0.6
1992,Fuel combustion,Energy industries,0.1
1992,Fuel combustion,Manufacturing industries and construction,0.0
1992,Fuel combustion,Transport sector,0.1
1992,Fuel combustion,Other sectors,0.4
1992,International Bunkers,,0.1
1992,International Bunkers,Aviation,0.0
1992,International Bunkers,Navigation,0.1
1993,,,0.7
1993,Fuel combustion,,0.5
1993,Fuel combustion,Energy industries,0.1
1993,Fuel combustion,Manufacturing industries and construction,0.0
1993,Fuel combustion,Transport sector,0.1
1993,Fuel combustion,Other sectors,0.3
1993,International Bunkers,,0.1
1993,International Bunkers,Aviation,0.0
1993,International Bunkers,Navigation,0.1
1994,,,0.7
1994,Fuel combustion,,0.5
1994,Fuel combustion,Energy industries,0.1
1994,Fuel combustion,Manufacturing industries and construction,0.0
1994,Fuel combustion,Transport sector,0.1
1994,Fuel combustion,Other sectors,0.3
1994,International Bunkers,,0.1
1994,International Bunkers,Aviation,0.0
1994,International Bunkers,Navigation,0.1
1995,,,0.7
1995,Fuel combustion,,0.5
1995,Fuel combustion,Energy industries,0.1
1995,Fuel combustion,Manufacturing industries and construction,0.0
1995,Fuel combustion,Transport sector,0.1
1995,Fuel combustion,Other sectors,0.3
1995,International Bunkers,,0.1
1995,International Bunkers,Aviation,0.0
1995,International Bunkers,Navigation,0.1
1996,,,0.7
1996,Fuel combustion,,0.6
1996,Fuel combustion,Energy industries,0.1
1996,Fuel combustion,Manufacturing industries and construction,0.0
1996,Fuel combustion,Transport sector,0.1
1996,Fuel combustion,Other sectors,0.3
1996,International Bunkers,,0.1
1996,International Bunkers,Aviation,0.0
1996,International Bunkers,Navigation,0.1
1997,,,0.7
1997,Fuel combustion,,0.6
1997,Fuel combustion,Energy industries,0.1
1997,Fuel combustion,Manufacturing industries and construction,0.0
1997,Fuel combustion,Transport sector,0.1
1997,Fuel combustion,Other sectors,0.3
1997,International Bunkers,,0.1
1997,International Bunkers,Aviation,0.0
1997,International Bunkers,Navigation,0.1
1998,,,0.7
1998,Fuel combustion,,0.6
1998,Fuel combustion,Energy industries,0.1
1998,Fuel combustion,Manufacturing industries and construction,0.1
