Year,Series,Units,Value
1998,Proportion of medium and high-tech industry value added in total value added,pct.,2.32699175830545
1999,Proportion of medium and high-tech industry value added in total value added,pct.,3.7998530260583
2000,Proportion of medium and high-tech industry value added in total value added,pct.,5.36332621525315
2001,Proportion of medium and high-tech industry value added in total value added,pct.,4.45293730114098
2002,Proportion of medium and high-tech industry value added in total value added,pct.,5.14016447318537
2003,Proportion of medium and high-tech industry value added in total value added,pct.,5.04575792428679
2004,Proportion of medium and high-tech industry value added in total value added,pct.,4.47844646246213
2005,Proportion of medium and high-tech industry value added in total value added,pct.,4.07879436719429
2006,Proportion of medium and high-tech industry value added in total value added,pct.,3.78330991998406
2007,Proportion of medium and high-tech industry value added in total value added,pct.,4.14659972318964
2008,Proportion of medium and high-tech industry value added in total value added,pct.,4.00857027894358
2009,Proportion of medium and high-tech industry value added in total value added,pct.,3.45976818303119
2010,Proportion of medium and high-tech industry value added in total value added,pct.,2.510576143741
2011,Proportion of medium and high-tech industry value added in total value added,pct.,2.23622389586501
2012,Proportion of medium and high-tech industry value added in total value added,pct.,2.15978735117058
2013,Proportion of medium and high-tech industry value added in total value added,pct.,2.04425922856031
2014,Proportion of medium and high-tech industry value added in total value added,pct.,1.98471019419211
2015,Proportion of medium and high-tech industry value added in total value added,pct.,1.90407229537808
2016,Proportion of medium and high-tech industry value added in total value added,pct.,2.43932236847855
2017,Proportion of medium and high-tech industry value added in total value added,pct.,2.11682862649783
2018,Proportion of medium and high-tech industry value added in total value added,pct.,2.52266100145839
2019,Proportion of medium and high-tech industry value added in total value added,pct.,2.015394746242
2020,Proportion of medium and high-tech industry value added in total value added,pct.,2.64234739604957
2021,Proportion of medium and high-tech industry value added in total value added,pct.,2.39381993036861
1998,,,2.3
1999,,,3.8
2000,,,5.4
2001,,,4.5
2002,,,5.1
2003,,,5.0
2004,,,4.5
2005,,,4.1
2006,,,3.8
2007,,,4.1
2008,,,4.0
2009,,,3.5
2010,,,2.5
2011,,,2.2
2012,,,2.2
2013,,,2.0
2014,,,2.0
2015,,,1.9
2016,,,2.4
2017,,,2.1
2018,,,2.5
2019,,,2.0
2020,,,2.6
2021,,,2.4
