Year,Units,Series,Technology,Value
2015,pct.,At least a 3G mobile network,,96.0
2015,pct.,At least a 4G mobile network,,58.0
2016,pct.,At least a 3G mobile network,,98.0
2016,pct.,At least a 4G mobile network,,98.0
2017,pct.,At least a 3G mobile network,,99.99
2017,pct.,At least a 4G mobile network,,99.99
2018,pct.,At least a 3G mobile network,,99.99
2018,pct.,At least a 4G mobile network,,99.99
2019,pct.,At least a 3G mobile network,,99.99
2019,pct.,At least a 4G mobile network,,99.99
2020,pct.,At least a 3G mobile network,,100.0
2020,pct.,At least a 4G mobile network,,99.99
2021,pct.,At least a 3G mobile network,,100.0
2021,pct.,At least a 4G mobile network,,100.0
2015,,,At least a 3G mobile network,96.0
2015,,,At least a 4G mobile network,58.0
2016,,,At least a 3G mobile network,98.0
2016,,,At least a 4G mobile network,98.0
2017,,,At least a 3G mobile network,100.0
2017,,,At least a 4G mobile network,100.0
2018,,,At least a 3G mobile network,100.0
2018,,,At least a 4G mobile network,100.0
2019,,,At least a 3G mobile network,100.0
2019,,,At least a 4G mobile network,100.0
2020,,,At least a 3G mobile network,100.0
2020,,,At least a 4G mobile network,100.0
2021,,,At least a 3G mobile network,100.0
2021,,,At least a 4G mobile network,100.0
