Year,Value,Units,Series,GeoCode
2009,4.0,pct.,Carbon dioxide emissions from fuel combustion,TOTAL
2010,4.2,pct.,Carbon dioxide emissions from fuel combustion,TOTAL
2011,4.4,pct.,Carbon dioxide emissions from fuel combustion,TOTAL
2012,4.7,pct.,Carbon dioxide emissions from fuel combustion,TOTAL
2013,3.8,pct.,Carbon dioxide emissions from fuel combustion,TOTAL
2014,3.5,pct.,Carbon dioxide emissions from fuel combustion,TOTAL
2015,3.4,pct.,Carbon dioxide emissions from fuel combustion,TOTAL
2016,3.2,pct.,Carbon dioxide emissions from fuel combustion,TOTAL
2017,3.0,pct.,Carbon dioxide emissions from fuel combustion,TOTAL
2018,2.9,pct.,Carbon dioxide emissions from fuel combustion,TOTAL
2019,2.6,pct.,Carbon dioxide emissions from fuel combustion,TOTAL
2020,2.4,pct.,Carbon dioxide emissions from fuel combustion,TOTAL
2021,2.6,pct.,Carbon dioxide emissions from fuel combustion,TOTAL
2022,2.5,pct.,Carbon dioxide emissions from fuel combustion,TOTAL
