Year,Value,Series
2005,4.89118,"Chlorophyll-a deviations, remote sensing (%)"
2006,3.70124,"Chlorophyll-a deviations, remote sensing (%)"
2007,3.06608,"Chlorophyll-a deviations, remote sensing (%)"
2008,5.38985,"Chlorophyll-a deviations, remote sensing (%)"
2009,8.33331,"Chlorophyll-a deviations, remote sensing (%)"
2010,10.04076,"Chlorophyll-a deviations, remote sensing (%)"
2011,11.6396,"Chlorophyll-a deviations, remote sensing (%)"
2012,3.69643,"Chlorophyll-a deviations, remote sensing (%)"
2013,6.30942,"Chlorophyll-a deviations, remote sensing (%)"
2014,7.05934,"Chlorophyll-a deviations, remote sensing (%)"
2015,4.37811,"Chlorophyll-a deviations, remote sensing (%)"
2016,2.52618,"Chlorophyll-a deviations, remote sensing (%)"
2017,4.39161,"Chlorophyll-a deviations, remote sensing (%)"
2018,3.87649,"Chlorophyll-a deviations, remote sensing (%)"
2019,6.09887,"Chlorophyll-a deviations, remote sensing (%)"
2020,6.08639,"Chlorophyll-a deviations, remote sensing (%)"
2021,3.59289,"Chlorophyll-a deviations, remote sensing (%)"
2022,5.8465,"Chlorophyll-a deviations, remote sensing (%)"
