Year,Value
1998,77.0261631614147
1999,64.9852775462211
2000,62.7838988958652
2001,60.9556549733984
2002,57.5034632994569
2003,57.2691816541391
2004,54.747880700267
2005,55.0888349366308
2006,54.0050908091081
2007,54.7849202216093
2008,56.4177969787817
2009,55.5810871894031
2010,52.7954745370873
2011,54.5268604240249
2012,52.6221148010839
2013,49.9295425193826
2014,48.821153086768
2015,49.1822603402968
2016,48.1635825732456
2017,50.7286467562112
2018,52.4598148736794
2019,50.7085976793091
2020,51.9090117644186
2021,51.5691449979136
