Year,Value,Units,Series
2003,41,pct.,Tobacco use
2004,36,pct.,Tobacco use
2005,32,pct.,Tobacco use
2006,33,pct.,Tobacco use
2007,28,pct.,Tobacco use
2008,33,pct.,Tobacco use
2009,34,pct.,Tobacco use
2010,27,pct.,Tobacco use
2011,34,pct.,Tobacco use
2012,29,pct.,Tobacco use
2013,33,pct.,Tobacco use
2014,27,pct.,Tobacco use
2015,27,pct.,Tobacco use
2016,34,pct.,Tobacco use
2017,27,pct.,Tobacco use
2018,26,pct.,Tobacco use
2019,29,pct.,Tobacco use
2020,31,pct.,Tobacco use
2021,26,pct.,Tobacco use
2022,27,pct.,Tobacco use
