Year,Value,Units
2010,723.4,Full-time equivalent
2010,1492.8,"Per 10,000 population"
2011,712.1,Full-time equivalent
2011,1474.2,"Per 10,000 population"
2012,716.6,Full-time equivalent
2012,1489.7,"Per 10,000 population"
2013,708.2,Full-time equivalent
2013,1473.1,"Per 10,000 population"
2014,720.2,Full-time equivalent
2014,1489.4,"Per 10,000 population"
2015,692.5,Full-time equivalent
2015,1417.8,"Per 10,000 population"
2016,711.4,Full-time equivalent
2016,1438.8,"Per 10,000 population"
2017,698.8,Full-time equivalent
2017,1394.1,"Per 10,000 population"
2018,728.9,Full-time equivalent
2018,1432.9,"Per 10,000 population"
2019,752.0,Full-time equivalent
2019,1454.9,"Per 10,000 population"
2020,789.0,Full-time equivalent
2020,1502.9,"Per 10,000 population"
