Year,Value,Units
1998,817.0,Domestic material consumption
1998,18.4,Domestic material consumption per capita
1998,109.5,Domestic material consumption per unit of GDP
1999,876.2,Domestic material consumption
1999,19.4,Domestic material consumption per capita
1999,111.0,Domestic material consumption per unit of GDP
2000,1134.9,Domestic material consumption
2000,24.8,Domestic material consumption per capita
2000,131.4,Domestic material consumption per unit of GDP
2001,1171.6,Domestic material consumption
2001,25.2,Domestic material consumption per capita
2001,121.1,Domestic material consumption per unit of GDP
2002,1121.0,Domestic material consumption
2002,23.7,Domestic material consumption per capita
2002,111.2,Domestic material consumption per unit of GDP
2003,1183.3,Domestic material consumption
2003,24.7,Domestic material consumption per capita
2003,119.7,Domestic material consumption per unit of GDP
2004,1141.9,Domestic material consumption
2004,23.7,Domestic material consumption per capita
2004,111.6,Domestic material consumption per unit of GDP
2005,1201.5,Domestic material consumption
2005,24.9,Domestic material consumption per capita
2005,114.2,Domestic material consumption per unit of GDP
2006,1333.3,Domestic material consumption
2006,27.7,Domestic material consumption per capita
2006,111.3,Domestic material consumption per unit of GDP
2007,1565.8,Domestic material consumption
2007,32.4,Domestic material consumption per capita
2007,123.3,Domestic material consumption per unit of GDP
2008,1496.3,Domestic material consumption
2008,30.9,Domestic material consumption per capita
2008,117.9,Domestic material consumption per unit of GDP
2009,830.0,Domestic material consumption
2009,17.1,Domestic material consumption per capita
2009,67.4,Domestic material consumption per unit of GDP
2010,756.4,Domestic material consumption
2010,15.6,Domestic material consumption per capita
2010,57.9,Domestic material consumption per unit of GDP
2011,876.7,Domestic material consumption
2011,18.1,Domestic material consumption per capita
2011,65.3,Domestic material consumption per unit of GDP
2012,905.2,Domestic material consumption
2012,18.8,Domestic material consumption per capita
2012,64.7,Domestic material consumption per unit of GDP
2013,1044.4,Domestic material consumption
2013,21.7,Domestic material consumption per capita
2013,69.5,Domestic material consumption per unit of GDP
2014,1407.2,Domestic material consumption
2014,29.1,Domestic material consumption per capita
2014,86.4,Domestic material consumption per unit of GDP
2015,1132.6,Domestic material consumption
2015,23.2,Domestic material consumption per capita
2015,65.7,Domestic material consumption per unit of GDP
2016,1251.4,Domestic material consumption
2016,25.3,Domestic material consumption per capita
2016,66.3,Domestic material consumption per unit of GDP
2017,1524.7,Domestic material consumption
2017,30.4,Domestic material consumption per capita
2017,77.8,Domestic material consumption per unit of GDP
2018,1520.7,Domestic material consumption
2018,29.9,Domestic material consumption per capita
2018,75.7,Domestic material consumption per unit of GDP
2019,1557.7,Domestic material consumption
2019,30.1,Domestic material consumption per capita
2019,71.4,Domestic material consumption per unit of GDP
2020,1788.9,Domestic material consumption
2020,34.1,Domestic material consumption per capita
2020,84.4,Domestic material consumption per unit of GDP
