Year,Value,Units,Series
1998,2.32699175830545,pct.,Proportion of medium and high-tech industry value added in total value added
1999,3.7998530260583,pct.,Proportion of medium and high-tech industry value added in total value added
2000,5.36332621525315,pct.,Proportion of medium and high-tech industry value added in total value added
2001,4.45293730114098,pct.,Proportion of medium and high-tech industry value added in total value added
2002,5.14016447318537,pct.,Proportion of medium and high-tech industry value added in total value added
2003,5.04575792428679,pct.,Proportion of medium and high-tech industry value added in total value added
2004,4.47844646246213,pct.,Proportion of medium and high-tech industry value added in total value added
2005,4.07879436719429,pct.,Proportion of medium and high-tech industry value added in total value added
2006,3.78330991998406,pct.,Proportion of medium and high-tech industry value added in total value added
2007,4.14659972318964,pct.,Proportion of medium and high-tech industry value added in total value added
2008,4.00857027894358,pct.,Proportion of medium and high-tech industry value added in total value added
2009,3.45976818303119,pct.,Proportion of medium and high-tech industry value added in total value added
2010,2.510576143741,pct.,Proportion of medium and high-tech industry value added in total value added
2011,2.23622389586501,pct.,Proportion of medium and high-tech industry value added in total value added
2012,2.15978735117058,pct.,Proportion of medium and high-tech industry value added in total value added
2013,2.04425922856031,pct.,Proportion of medium and high-tech industry value added in total value added
2014,1.98471019419211,pct.,Proportion of medium and high-tech industry value added in total value added
2015,1.90407229537808,pct.,Proportion of medium and high-tech industry value added in total value added
2016,2.43932236847855,pct.,Proportion of medium and high-tech industry value added in total value added
2017,2.11682862649783,pct.,Proportion of medium and high-tech industry value added in total value added
2018,2.52266100145839,pct.,Proportion of medium and high-tech industry value added in total value added
2019,2.015394746242,pct.,Proportion of medium and high-tech industry value added in total value added
2020,2.64234739604957,pct.,Proportion of medium and high-tech industry value added in total value added
2021,2.39381993036861,pct.,Proportion of medium and high-tech industry value added in total value added
1998,2.3,,
1999,3.8,,
2000,5.4,,
2001,4.5,,
2002,5.1,,
2003,5.0,,
2004,4.5,,
2005,4.1,,
2006,3.8,,
2007,4.1,,
2008,4.0,,
2009,3.5,,
2010,2.5,,
2011,2.2,,
2012,2.2,,
2013,2.0,,
2014,2.0,,
2015,1.9,,
2016,2.4,,
2017,2.1,,
2018,2.5,,
2019,2.0,,
2020,2.6,,
2021,2.4,,
