Year,Series,øki,kyn,aldur,Units,GeoCode,Value
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,,%,TOTAL,4.0
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,,%,TOTAL,4.2
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,,%,TOTAL,4.4
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,,%,TOTAL,4.7
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,,%,TOTAL,3.8
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,,%,TOTAL,3.5
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,,%,TOTAL,3.4
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,,%,TOTAL,3.2
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,,%,TOTAL,3.0
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,,%,TOTAL,2.9
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,,%,TOTAL,2.6
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,,%,TOTAL,2.4
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,,%,TOTAL,2.6
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,,%,TOTAL,2.5
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,00-17 ár,%,TOTAL,5.1
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,00-17 ár,%,TOTAL,5.1
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,00-17 ár,%,TOTAL,5.5
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,00-17 ár,%,TOTAL,6.2
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,00-17 ár,%,TOTAL,5.2
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,00-17 ár,%,TOTAL,4.8
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,00-17 ár,%,TOTAL,4.5
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,00-17 ár,%,TOTAL,4.2
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,00-17 ár,%,TOTAL,3.8
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,00-17 ár,%,TOTAL,3.5
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,00-17 ár,%,TOTAL,3.4
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,00-17 ár,%,TOTAL,3.2
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,00-17 ár,%,TOTAL,3.4
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,00-17 ár,%,TOTAL,3.2
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,18-24 ár,%,TOTAL,3.8
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,18-24 ár,%,TOTAL,4.4
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,18-24 ár,%,TOTAL,5.4
