Year,Series,grundleggjandi tænasta,Units,Value
1998,Partur av samlaðu almennu útreiðslunum,,%,60.34
1999,Partur av samlaðu almennu útreiðslunum,,%,61.61
2000,Partur av samlaðu almennu útreiðslunum,,%,60.18
2001,Partur av samlaðu almennu útreiðslunum,,%,60.35
2002,Partur av samlaðu almennu útreiðslunum,,%,60.25
2003,Partur av samlaðu almennu útreiðslunum,,%,62.56
2004,Partur av samlaðu almennu útreiðslunum,,%,62.32
2005,Partur av samlaðu almennu útreiðslunum,,%,63.56
2006,Partur av samlaðu almennu útreiðslunum,,%,62.96
2007,Partur av samlaðu almennu útreiðslunum,,%,64.35
2008,Partur av samlaðu almennu útreiðslunum,,%,64.84
2009,Partur av samlaðu almennu útreiðslunum,,%,67.25
2010,Partur av samlaðu almennu útreiðslunum,,%,69.18
2011,Partur av samlaðu almennu útreiðslunum,,%,68.39
2012,Partur av samlaðu almennu útreiðslunum,,%,66.52
2013,Partur av samlaðu almennu útreiðslunum,,%,65.53
2014,Partur av samlaðu almennu útreiðslunum,,%,65.76
2015,Partur av samlaðu almennu útreiðslunum,,%,65.23
2016,Partur av samlaðu almennu útreiðslunum,,%,65.01
2017,Partur av samlaðu almennu útreiðslunum,,%,63.95
2018,Partur av samlaðu almennu útreiðslunum,,%,61.94
2019,Partur av samlaðu almennu útreiðslunum,,%,61.82
2020,Partur av samlaðu almennu útreiðslunum,,%,62.69
2021,Partur av samlaðu almennu útreiðslunum,,%,64.46
2022,Partur av samlaðu almennu útreiðslunum,,%,63.51
1998,Partur av samlaðu almennu útreiðslunum,Útbúgving,%,12.42
1999,Partur av samlaðu almennu útreiðslunum,Útbúgving,%,13.33
2000,Partur av samlaðu almennu útreiðslunum,Útbúgving,%,12.89
2001,Partur av samlaðu almennu útreiðslunum,Útbúgving,%,13.8
2002,Partur av samlaðu almennu útreiðslunum,Útbúgving,%,13.75
2003,Partur av samlaðu almennu útreiðslunum,Útbúgving,%,13.81
2004,Partur av samlaðu almennu útreiðslunum,Útbúgving,%,13.4
2005,Partur av samlaðu almennu útreiðslunum,Útbúgving,%,13.9
2006,Partur av samlaðu almennu útreiðslunum,Útbúgving,%,13.78
2007,Partur av samlaðu almennu útreiðslunum,Útbúgving,%,13.77
2008,Partur av samlaðu almennu útreiðslunum,Útbúgving,%,13.33
2009,Partur av samlaðu almennu útreiðslunum,Útbúgving,%,13.7
