Year,Inntøkubólkur,Value
2010,Lægstu 40 prosentini av íbúgvunum,0.5
2010,,1.1
2011,Lægstu 40 prosentini av íbúgvunum,0.7
2011,,2.9
2012,Lægstu 40 prosentini av íbúgvunum,2.5
2012,,7.8
2013,Lægstu 40 prosentini av íbúgvunum,3.1
2013,,2.3
2014,Lægstu 40 prosentini av íbúgvunum,2.2
2014,,2.4
2015,Lægstu 40 prosentini av íbúgvunum,2.0
2015,,2.7
2016,Lægstu 40 prosentini av íbúgvunum,4.6
2016,,3.9
2017,Lægstu 40 prosentini av íbúgvunum,4.3
2017,,2.5
2018,Lægstu 40 prosentini av íbúgvunum,4.0
2018,,3.3
2019,Lægstu 40 prosentini av íbúgvunum,5.5
2019,,2.7
2020,Lægstu 40 prosentini av íbúgvunum,5.8
2020,,1.0
2021,Lægstu 40 prosentini av íbúgvunum,3.4
2021,,2.6
