Year,Units,Viðgerð av burturkasti,Value
2012,data.prosent,,
2012,data.prosent,Brenning,69.8
2012,data.prosent,Tyrving,14.2
2012,data.prosent,Endurnýtsla,13.7
2012,data.prosent,Serliga dálkandi,2.3
2012,data.tons,,43866.0
2012,data.tons,Brenning,30638.0
2012,data.tons,Tyrving,6222.0
2012,data.tons,Endurnýtsla,6008.0
2012,data.tons,Serliga dálkandi,998.0
2013,data.prosent,,
2013,data.prosent,Brenning,67.3
2013,data.prosent,Tyrving,15.4
2013,data.prosent,Endurnýtsla,15.6
2013,data.prosent,Serliga dálkandi,1.6
2013,data.tons,,45300.0
2013,data.tons,Brenning,30490.0
2013,data.tons,Tyrving,6993.0
2013,data.tons,Endurnýtsla,7084.0
2013,data.tons,Serliga dálkandi,733.0
2014,data.prosent,,
2014,data.prosent,Brenning,65.4
2014,data.prosent,Tyrving,16.6
2014,data.prosent,Endurnýtsla,15.4
2014,data.prosent,Serliga dálkandi,2.6
2014,data.tons,,51079.0
2014,data.tons,Brenning,33396.0
2014,data.tons,Tyrving,8487.0
2014,data.tons,Endurnýtsla,7869.0
2014,data.tons,Serliga dálkandi,1327.0
2015,data.prosent,,
2015,data.prosent,Brenning,66.7
2015,data.prosent,Tyrving,12.5
2015,data.prosent,Endurnýtsla,18.8
2015,data.prosent,Serliga dálkandi,2.0
2015,data.tons,,49902.0
2015,data.tons,Brenning,33282.0
2015,data.tons,Tyrving,6237.0
2015,data.tons,Endurnýtsla,9385.0
2015,data.tons,Serliga dálkandi,998.0
2016,data.prosent,,
2016,data.prosent,Brenning,64.9
2016,data.prosent,Tyrving,16.8
2016,data.prosent,Endurnýtsla,16.3
2016,data.prosent,Serliga dálkandi,2.0
2016,data.tons,,51885.0
2016,data.tons,Brenning,33677.0
2016,data.tons,Tyrving,8691.0
2016,data.tons,Endurnýtsla,8482.0
2016,data.tons,Serliga dálkandi,1035.0
