Year,Value
0,809351761128308
0,789341161934247
0,778996793660876
0,668028353147834
0,692002948030635
0,680210629879544
0,700730334609207
0,696488147891962
0,741419128742622
0,772974556562638
0,812327109370251
0,989700717746344
0,941031300286704
0,946607194607037
0,950102390678433
0,949090377838692
0,936300376023365
0,963703821935912
0,896294685443783
0,927583949531908
1,473292463915
0,886029770417756
0,978310111582887
0,955989122996107
0,994304512609283
0,973729203552016
0,982210753147299
1,15306808972292
1,27971565298528
1,35253060413846
1,40852944471562
