Year,Mát,Títtleiki av blaðgrøna-a vøkstri,Value
2005,"Blaðgrøni-a grundfrávik, fjarmáting (%)",,4.89118
2006,"Blaðgrøni-a grundfrávik, fjarmáting (%)",,3.70124
2007,"Blaðgrøni-a grundfrávik, fjarmáting (%)",,3.06608
2008,"Blaðgrøni-a grundfrávik, fjarmáting (%)",,5.38985
2009,"Blaðgrøni-a grundfrávik, fjarmáting (%)",,8.33331
2010,"Blaðgrøni-a grundfrávik, fjarmáting (%)",,10.04076
2011,"Blaðgrøni-a grundfrávik, fjarmáting (%)",,11.6396
2012,"Blaðgrøni-a grundfrávik, fjarmáting (%)",,3.69643
2013,"Blaðgrøni-a grundfrávik, fjarmáting (%)",,6.30942
2014,"Blaðgrøni-a grundfrávik, fjarmáting (%)",,7.05934
2015,"Blaðgrøni-a grundfrávik, fjarmáting (%)",,4.37811
2016,"Blaðgrøni-a grundfrávik, fjarmáting (%)",,2.52618
2017,"Blaðgrøni-a grundfrávik, fjarmáting (%)",,4.39161
2018,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",Stórur títtleiki,5.31634
2018,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",Nakað av títtleika,4.91874
2018,"Blaðgrøni-a grundfrávik, fjarmáting (%)",,3.87649
2019,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",Stórur títtleiki,4.5185
2019,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",Nakað av títtleika,5.19455
2019,"Blaðgrøni-a grundfrávik, fjarmáting (%)",,6.09887
2020,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",,5.90088
2020,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",Stórur títtleiki,5.17124
2020,"Blaðgrøni-a grundfrávik, fjarmáting (%)",Nakað av títtleika,6.08639
2021,"Blaðgrøni-a grundfrávik, fjarmáting (%)",,3.59289
