Year,Kyn,Aldur,Value
2013,,,95.4
2013,,15-24 ár,97.0
2013,,25-39 ár,96.1
2013,,40-49 ár,97.8
2013,,50-59 ár,96.6
2013,,60+ ár,91.8
2013,Menn,,97.1
2013,Menn,15-24 ár,97.1
2013,Menn,25-39 ár,95.2
2013,Menn,40-49 ár,97.7
2013,Menn,50-59 ár,100.0
2013,Menn,60+ ár,96.3
2013,Kvinnur,,93.7
2013,Kvinnur,15-24 ár,96.8
2013,Kvinnur,25-39 ár,97.2
2013,Kvinnur,40-49 ár,97.9
2013,Kvinnur,50-59 ár,93.0
2013,Kvinnur,60+ ár,87.5
2017,,,94.3
2017,,15-24 ár,91.4
2017,,25-39 ár,96.5
2017,,40-49 ár,97.0
2017,,50-59 ár,94.7
2017,,60+ ár,92.7
2017,Menn,,98.3
2017,Menn,15-24 ár,100.0
2017,Menn,25-39 ár,100.0
2017,Menn,40-49 ár,100.0
2017,Menn,50-59 ár,100.0
2017,Menn,60+ ár,93.7
2017,Kvinnur,,90.1
2017,Kvinnur,15-24 ár,81.6
2017,Kvinnur,25-39 ár,92.4
2017,Kvinnur,40-49 ár,93.6
2017,Kvinnur,50-59 ár,89.0
2017,Kvinnur,60+ ár,91.7
2020,,,95.5
2020,,15-24 ár,94.2
2020,,25-39 ár,97.5
2020,,40-49 ár,98.7
2020,,50-59 ár,95.8
2020,,60+ ár,92.8
2020,Menn,,98.7
2020,Menn,15-24 ár,100.0
2020,Menn,25-39 ár,97.5
2020,Menn,40-49 ár,100.0
2020,Menn,50-59 ár,100.0
2020,Menn,60+ ár,97.7
2020,Kvinnur,,92.1
2020,Kvinnur,15-24 ár,87.6
2020,Kvinnur,25-39 ár,97.5
2020,Kvinnur,40-49 ár,97.2
2020,Kvinnur,50-59 ár,91.1
2020,Kvinnur,60+ ár,88.1
