Year,Kelda,Value
1998,,76.3
1998,Skattir,40.8
1998,Sosial gjøld,3.6
1998,Ríkisstudningur,14.7
1998,Onnur inntøka,17.1
1999,,64.7
1999,Skattir,42.3
1999,Sosial gjøld,3.4
1999,Ríkisstudningur,14.3
1999,Onnur inntøka,4.6
2000,,62.7
2000,Skattir,41.9
2000,Sosial gjøld,3.1
2000,Ríkisstudningur,13.5
2000,Onnur inntøka,4.3
2001,,60.8
2001,Skattir,41.3
2001,Sosial gjøld,2.9
2001,Ríkisstudningur,12.3
2001,Onnur inntøka,4.3
2002,,57.4
2002,Skattir,42.1
2002,Sosial gjøld,3.0
2002,Ríkisstudningur,8.1
2002,Onnur inntøka,4.1
2003,,57.3
2003,Skattir,42.8
2003,Sosial gjøld,2.5
2003,Ríkisstudningur,8.2
2003,Onnur inntøka,3.9
2004,,55.1
2004,Skattir,41.0
2004,Sosial gjøld,2.8
2004,Ríkisstudningur,8.1
2004,Onnur inntøka,3.2
2005,,55.1
2005,Skattir,40.3
2005,Sosial gjøld,3.2
2005,Ríkisstudningur,7.9
2005,Onnur inntøka,3.7
2006,,53.9
2006,Skattir,39.8
2006,Sosial gjøld,3.6
2006,Ríkisstudningur,6.9
2006,Onnur inntøka,3.7
2007,,54.4
2007,Skattir,40.7
2007,Sosial gjøld,4.2
2007,Ríkisstudningur,6.4
2007,Onnur inntøka,3.1
2008,,55.3
2008,Skattir,40.6
2008,Sosial gjøld,4.6
2008,Ríkisstudningur,6.5
2008,Onnur inntøka,3.6
2009,,54.1
2009,Skattir,39.0
2009,Sosial gjøld,4.6
2009,Ríkisstudningur,6.8
2009,Onnur inntøka,3.8
2010,,52.6
2010,Skattir,38.5
2010,Sosial gjøld,4.6
2010,Ríkisstudningur,6.5
2010,Onnur inntøka,3.1
2011,,53.6
2011,Skattir,39.2
2011,Sosial gjøld,4.5
2011,Ríkisstudningur,6.3
2011,Onnur inntøka,3.5
2012,,52.1
2012,Skattir,38.2
2012,Sosial gjøld,4.7
2012,Ríkisstudningur,6.1
2012,Onnur inntøka,3.1
2013,,49.3
2013,Skattir,35.7
2013,Sosial gjøld,4.5
2013,Ríkisstudningur,5.7
2013,Onnur inntøka,3.4
2014,,48.6
2014,Skattir,35.4
2014,Sosial gjøld,4.3
2014,Ríkisstudningur,5.3
2014,Onnur inntøka,3.6
2015,,49.0
2015,Skattir,36.4
2015,Sosial gjøld,4.4
2015,Ríkisstudningur,5.1
2015,Onnur inntøka,3.2
2016,,47.9
2016,Skattir,34.7
2016,Sosial gjøld,4.7
2016,Ríkisstudningur,4.6
2016,Onnur inntøka,3.9
2017,,50.3
2017,Skattir,36.1
2017,Sosial gjøld,4.7
2017,Ríkisstudningur,4.5
2017,Onnur inntøka,4.9
2018,,51.9
2018,Skattir,36.8
2018,Sosial gjøld,5.1
2018,Ríkisstudningur,4.3
2018,Onnur inntøka,5.7
2019,,51.1
2019,Skattir,36.0
2019,Sosial gjøld,5.4
2019,Ríkisstudningur,4.3
2019,Onnur inntøka,5.4
2020,,51.9
2020,Skattir,38.1
2020,Sosial gjøld,5.7
2020,Ríkisstudningur,4.4
2020,Onnur inntøka,3.8
