Year,Units,Series,Value
1998,%,Tilsamans,76.817814582913
1999,%,Tilsamans,81.049491985742
2000,%,Tilsamans,80.012825048647
2001,%,Tilsamans,83.242296626777
2002,%,Tilsamans,80.10113589192
2003,%,Tilsamans,77.529655501164
2004,%,Tilsamans,71.793949976889
2005,%,Tilsamans,71.634452929648
2006,%,Tilsamans,77.251876225828
2007,%,Tilsamans,77.558469649858
2008,%,Tilsamans,69.746481913731
2009,%,Tilsamans,65.970815309642
2010,%,Tilsamans,68.526464437987
2011,%,Tilsamans,70.638975072216
2012,%,Tilsamans,70.492903090017
2013,%,Tilsamans,68.695696551372
2014,%,Tilsamans,71.990945161009
2015,%,Tilsamans,76.032629025835
2016,%,Tilsamans,75.439459830625
2017,%,Tilsamans,75.536476131853
2018,%,Tilsamans,70.947764184972
2019,%,Tilsamans,71.74043497236
2020,%,Tilsamans,67.870488801946
2021,%,Tilsamans,71.308135810378
2022,%,Tilsamans,74.115954802072
1998,,,76.8178145829126
1999,,,81.0494919857417
2000,,,80.0128250486467
2001,,,83.2422966267773
2002,,,80.1011358919204
2003,,,77.5296555011642
2004,,,71.7939499768887
2005,,,71.6344529296479
2006,,,77.2518762258279
2007,,,77.5584696498581
2008,,,69.746481913731
2009,,,65.9708153096424
2010,,,68.5264644379871
2011,,,70.6389750722157
2012,,,70.492903090017
2013,,,68.6956965513722
2014,,,71.9909451610095
2015,,,76.0326290258353
2016,,,75.4394598306249
2017,,,75.5364761318532
2018,,,70.9477641849724
2019,,,71.7404349723596
2020,,,67.8704888019462
2021,,,71.308135810378
2022,,,74.115954802072
