Year,landabólkur,Units,Series,Value
1988,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,56.2864
1988,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,92.2814
1988,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,1.74765089084975
1988,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,3.93581729623007
1989,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,45.0167
1989,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,23.0665
1989,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,1.77911030691784
1989,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.911640274687631
1990,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,33.3541
1990,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,9.6577
1990,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,1.60032591777006
1990,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.374552664620874
1991,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,33.2322
1991,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,18.7134
1991,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,1.71635361340566
1991,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.672812512628672
1992,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,57.2174
1992,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,22.6652
1992,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,2.85819986968174
1992,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.85894353946571
1993,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,45.5506
1993,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,37.7538
1993,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,3.19405004347848
